token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Veruntreute,VERB,VVFIN,veruntreuen,Veruntreuen
die,DET,ART,d,die
AWO,NOUN,NN,AWO,AWO
Spendengeld,NOUN,NN,Spendengeld,Spendengeld
?,PUNCT,$.,?,?
_,UNK,--,--,_
Landesvorsitzende,NOUN,NN,Landesvorsitzende,landesvorsitzend
Ute,PROPN,NE,Ute,ute
Wedemeier,PROPN,NE,Wedemeier,wedemeier
_,UNK,--,--,_
:,PUNCT,$.,:,:
_,UNK,--,--,_
In,ADP,APPR,in,in
einer,DET,ART,ein,einer
anonymen,ADJ,ADJA,anonym,anonym
Anzeige,NOUN,NN,Anzeige,Anzeige
werden,AUX,VAFIN,werden,werden
der,DET,ART,d,der
Bremer,ADJ,ADJA,Bremer,Bremer
Staatsanwaltschaft,NOUN,NN,Staatsanwaltschaft,Staatsanwalt
Details,NOUN,NN,Detail,Detail
über,ADP,APPR,über,über
dubiose,ADJ,ADJA,dubios,dubiose
finanzielle,ADJ,ADJA,finanziell,finanziell
Transaktionen,NOUN,NN,Transaktion,Transaktion
mitgeteilt,VERB,VVPP,mitteilen,miteilen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Verantwortlich,ADJ,ADJD,verantwortlich,verantwortlich
",",PUNCT,"$,",",",","
so,ADV,ADV,so,so
_,UNK,--,--,_
das,DET,ART,d,der
Schreiben,NOUN,NN,Schreiben,schreiben
einer,DET,ART,ein,ein
Mitarbeiterin,NOUN,NN,Mitarbeiterin,Mitarbeiterin
der,DET,ART,d,der
AWO,PROPN,NE,AWO,AWO
",",PUNCT,"$,",",",","
sei,AUX,VAFIN,sein,sein
die,DET,ART,d,die
Landesvorsitzende,NOUN,NN,Landesvorsitzende,Landesvorsitzende
Ute,PROPN,NE,Ute,Ute
Wedemeier,PROPN,NE,Wedemeier,Wedemeier
",",PUNCT,"$,",",",","
die,PRON,PRELS,d,der
sich,PRON,PRF,sich,sich
jetzt,ADV,ADV,jetzt,jetzt
als,ADP,APPR,als,als
"""",PUNCT,$(,"""",
Sauberfrau,NOUN,NN,Sauberfrau,Sauberfrau
"""",PUNCT,$(,"""",
gebe,VERB,VVFIN,geben,geben
",",PUNCT,"$,",",",","
"""",PUNCT,$(,"""",
wo,SCONJ,KOUS,wo,wo
doch,ADV,ADV,doch,doch
alle,PRON,PIS,alle,all
wissen,VERB,VVFIN,wissen,wissen
",",PUNCT,"$,",",",","
wie,SCONJ,KOUS,wie,wie
eng,ADJ,ADJD,eng,eng
sie,PRON,PPER,sie,sie
mit,ADP,APPR,mit,mit
Taake,PROPN,NE,Taake,Taake
zusammenhing,VERB,VVFIN,zusammenhängen,zusammenhängen
"""",PUNCT,$(,"""",
.,PUNCT,$.,.,.
165.000,NUM,CARD,165.000,165000
Mark,NOUN,NN,Mark,Mark
aus,ADP,APPR,aus,aus
der,DET,ART,d,der
bundesweiten,ADJ,ADJA,bundesweit,bundesweiten
Geldsammlung,NOUN,NN,Geldsammlung,Geldsammlung
für,ADP,APPR,für,für
die,DET,ART,d,die
Flutopfer,NOUN,NN,Flutopfer,Flutopfer
in,ADP,APPR,in,in
Südpolen,NOUN,NN,Südpolen,Südpolen
seien,AUX,VAFIN,sein,sein
über,ADP,APPR,über,über
das,DET,ART,d,das
Konto,NOUN,NN,Konto,Konto
des,DET,ART,d,des
Bremer,ADJ,ADJA,Bremer,Bremer
Landesverbandes,NOUN,NN,Landesverband,Landesverbandes
der,DET,ART,d,der
AWO,PROPN,NE,AWO,AWO
an,ADP,APPR,an,an
die,DET,ART,d,die
Caritas,PROPN,NE,Caritas,Caritas
in,ADP,APPR,in,in
Danzig,PROPN,NE,Danzig,Danzig
geflossen,VERB,VVPP,fließen,fließen
",",PUNCT,"$,",",",","
"""",PUNCT,$(,"""",
damit,SCONJ,KOUS,damit,damit
dort,ADV,ADV,dort,dort
ein,DET,ART,ein,ein
Altenheim,NOUN,NN,Altenheim,Altenheim
gebaut,VERB,VVPP,bauen,bauen
wird,AUX,VAFIN,werden,wird
"""",PUNCT,$(,"""",
.,PUNCT,$.,.,.
_,UNK,--,--,_
Das,DET,ART,d,das
Altenheim,NOUN,NN,Altenheim,Altenheim
sei,AUX,VAFIN,sein,sein
"""",PUNCT,$(,"""",
ein,DET,ART,ein,ein
Prestigeobjekt,NOUN,NN,Prestigeobjekt,Prestigeobjekt
von,ADP,APPR,von,von
ihr,PRON,PPER,sie,ihr
und,CONJ,KON,und,und
anderen,PRON,PIS,ander,anderen
"""",PUNCT,$(,"""",
.,PUNCT,$.,.,.
_,UNK,--,--,_
In,ADP,APPR,in,in
der,DET,ART,d,der
Tat,NOUN,NN,Tat,Tat
sitzt,VERB,VVFIN,sitzen,sitzen
Ute,PROPN,NE,Ute,Ute
Wedemeier,PROPN,NE,Wedemeier,Wedemeier
im,ADP,APPRART,im,im
Kuratorium,NOUN,NN,Kuratorium,Kuratorium
für,ADP,APPR,für,für
das,DET,ART,d,das
Altenheim,NOUN,NN,Altenheim,Altenheim
",",PUNCT,"$,",",",","
eine,DET,ART,ein,ein
derartige,ADJ,ADJA,derartig,derartiges
Umleitung,NOUN,NN,Umleitung,Umleitung
von,ADP,APPR,von,von
Geldern,NOUN,NN,Geld,Geld
habe,AUX,VAFIN,haben,haben
es,PRON,PPER,es,es
aber,ADV,ADV,aber,aber
nicht,PART,PTKNEG,nicht,nicht
gegeben,VERB,VVPP,geben,geben
",",PUNCT,"$,",",",","
sagt,VERB,VVFIN,sagen,sagen
sie,PRON,PPER,sie,sie
.,PUNCT,$.,.,.
_,UNK,--,--,_
"""",PUNCT,$(,"""",
Wenn,SCONJ,KOUS,wenn,Wenn
da,ADV,ADV,da,sei
was,PRON,PIS,was,was
