token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,
na,INTJ,ITJ,na,
_,UNK,--,--,
_,UNK,--,--,
ist,AUX,VAFIN,sein,
doch,ADV,ADV,doch,doch
voll,ADV,ADV,voll,voll
egal,ADJ,ADJD,egal,egal
_,UNK,--,--,
_,UNK,--,--,
darauf,ADV,PAV,darauf,darauf
kommt,VERB,VVFIN,kommen,kommen
es,PRON,PPER,es,
doch,ADV,ADV,doch,doch
gar,ADV,ADV,gar,gar
nicht,PART,PTKNEG,nicht,
an,PART,PTKVZ,an,
_,UNK,--,--,
_,UNK,--,--,
nein,PART,PTKANT,nein,
_,UNK,--,--,
_,UNK,--,--,
er,PRON,PPER,er,
hat,AUX,VAFIN,haben,
es,PRON,PPER,es,
halt,ADV,ADV,halt,halt
falsch,ADJ,ADJD,falsch,falsch
beschrieben,VERB,VVPP,beschreiben,beschreiben
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
mit,ADP,APPR,mit,
Handbreiten,NOUN,NN,Handbreite,Handbreiten
und,CONJ,KON,und,
Zentimetern,NOUN,NN,Zentimeter,Zentimeter
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
hallo,INTJ,ITJ,hallo,
_,UNK,--,--,
_,UNK,--,--,
ich,PRON,PPER,ich,
bin,AUX,VAFIN,sein,
anwesend,ADJ,ADJD,anwesend,anwesend
_,UNK,--,--,
_,UNK,--,--,
man,PRON,PIS,man,
redet,VERB,VVFIN,reden,reden
nicht,PART,PTKNEG,nicht,
von,ADP,APPR,von,
anwesenden,ADJ,ADJA,anwesend,anwesend
Personen,NOUN,NN,Person,Person
_,UNK,--,--,
_,UNK,--,--,
wir,PRON,PPER,wir,
haben,AUX,VAFIN,haben,
alles,PRON,PIS,alles,
total,ADJ,ADJD,total,total
_,UNK,--,--,
_,UNK,--,--,
okay,ADV,ADV,okay,okay
_,UNK,--,--,
danke,PART,PTKANT,Danke,
_,PUNCT,$.,.,
hallo,INTJ,ITJ,Hallo,
_,PUNCT,"$,",",",
Therese,PROPN,NE,Therese,
_,PUNCT,$.,.,
hallo,INTJ,ITJ,Hallo,
_,PUNCT,"$,",",",
Alex,PROPN,NE,Alex,
_,PUNCT,$.,.,
da,ADV,ADV,Da,da
bin,AUX,VAFIN,bin,
ich,PRON,PPER,ich,
schon,ADV,ADV,schon,schon
wieder,ADV,ADV,wieder,wieder
_,PUNCT,$.,.,
na,INTJ,ITJ,Na,
_,PUNCT,"$,",",",
Mensch,NOUN,NN,Mensch,Mensch
_,PUNCT,$.,.,
so,ADV,ADV,So,so
_,PUNCT,$.,.,
jetzt,ADV,ADV,Jetzt,jetzt
beschreibe,VERB,VVFIN,beschreibe,beschreiben
ich,PRON,PPER,ich,
dir,PRON,PPER,dir,
mal,ADV,ADV,mal,mal
einen,DET,ART,einen,
Weg,NOUN,NN,Weg,Weg
_,PUNCT,$.,.,
tue,VERB,VVFIN,Tue,tun
dies,PRON,PDS,dies,
_,PUNCT,$.,!,
so,ADV,ADV,So,so
_,PUNCT,$.,.,
hast,AUX,VAFIN,Hast,
du,PRON,PPER,du,
unten,ADV,ADV,unten,unten
links,ADV,ADV,links,links
so,ADV,ADV,so,so
einen,DET,ART,einen,
Startpunkt,NOUN,NN,Startpunkt,Startpunkt
_,PUNCT,$.,?,
nein,PART,PTKANT,Nein,
_,PUNCT,$.,.,
nein,PART,PTKANT,Nein,
_,PUNCT,$.,.,
doch,PART,PTKANT,Doch,
_,PUNCT,$.,.,
_,PRON,PPER,Du,
_,AUX,VAFIN,hast,
_,DET,ART,den,
auf,ADP,APPR,auf,
jeden,DET,PIAT,jeden,
Fall,NOUN,NN,Fall,Fall
_,PUNCT,$.,.,
_,PRON,PDS,Das,
ist,AUX,VAFIN,ist,
doch,ADV,ADV,doch,doch
immer,ADV,ADV,immer,immer
gleich,ADJ,ADJD,gleich,gleich
_,PUNCT,$.,.,
ja,PART,PTKANT,Ja,
_,PUNCT,$.,.,
wer,PRON,PWS,Wer,
weiß,VERB,VVFIN,weiß,wissen
_,PRON,PDS,das,
_,PUNCT,$.,?,
weißt,VERB,VVFIN,Weißt,weißen
du,PRON,PPER,du,
_,PUNCT,"$,",",",
irgendwie,ADV,ADV,irgendwie,irgendwie
verarschen,VERB,VVFIN,verarschen,verarschen
die,PRON,PDS,die,
einen,PRON,PIS,einen,
ja,ADV,ADV,ja,ja
doch,ADV,ADV,doch,doch
hier,ADV,ADV,hier,hier
so,ADV,ADV,so,so
ein,DET,ART,ein,
bisschen,PRON,PIS,bisschen,
_,PUNCT,$.,.,
also,ADV,ADV,Also,also
_,PUNCT,$.,.,
von,ADP,APPR,Von,
diesem,DET,PDAT,diesem,
Startpunkt,NOUN,NN,Startpunkt,Startpunkt
gehst,VERB,VVFIN,gehst,gehen
du,PRON,PPER,du,
rechts,ADV,ADV,rechts,rechts
_,PUNCT,$.,.,
aber,CONJ,KON,Aber,
warte,VERB,VVFIN,warte,warten
_,PUNCT,$.,.,
_,UNK,--,--,
ich,PRON,PPER,ich,
will,VERB,VMFIN,wollen,wollen
es,PRON,PPER,es,
dir,PRON,PPER,du,
erst,ADV,ADV,erst,erst
zu,ADP,APPR,zu,
Ende,NOUN,NN,Ende,Ende
erklären,VERB,VVINF,erklären,erklären
_,UNK,--,--,
okay,PART,PTKANT,Okay,
_,PUNCT,$.,.,
okay,PART,PTKANT,Okay,
_,PUNCT,$.,.,
ich,PRON,PPER,Ich,
bin,AUX,VAFIN,bin,
nicht,PART,PTKNEG,nicht,
_,PUNCT,$.,.,
du,PRON,PPER,Du,
gehst,VERB,VVFIN,gehst,gehen
so,ADV,ADV,so,so
bis,ADP,APPR,bis,
zur,ADP,APPRART,zur,
Hälfte,NOUN,NN,Hälfte,Hälfte
des,DET,ART,des,
Bildes,NOUN,NN,Bildes,Bild
parallel,ADJ,ADJD,parallel,parallel
nach,ADP,APPR,nach,
rechts,ADV,ADV,rechts,rechts
_,PUNCT,$.,.,
also,ADV,ADV,Also,also
_,VERB,VVFIN,gehst,_en
_,PRON,PPER,du,
einfach,ADJ,ADJD,einfach,einfach
eine,DET,ART,eine,
senkrechte,ADJ,ADJA,senkrechte,senkrecht
Linie,NOUN,NN,Linie,Linie
_,PUNCT,$.,.,
boah,INTJ,ITJ,Boah,
_,PUNCT,$.,.,
fick,VERB,VVIMP,Fick,ficken
dich,PRON,PPER,dich,
_,PUNCT,$.,.,
Mann,NOUN,NN,Mann,Mann
_,PUNCT,$.,.,
ich,PRON,PPER,Ich,
will,VERB,VMFIN,will,wollen
jetzt,ADV,ADV,jetzt,jetzt
nach,ADP,APPR,nach,
rechts,ADV,ADV,rechts,rechts
gehen,VERB,VVINF,gehen,gehen
_,PUNCT,$.,.,
ja,PART,PTKANT,Ja,
_,PUNCT,$.,.,
du,PRON,PPER,Du,
machst,VERB,VVFIN,machst,machen
es,PRON,PPER,es,
jetzt,ADV,ADV,jetzt,jetzt
so,ADV,ADV,so,so
_,PUNCT,$.,.,
okay,PART,PTKANT,Okay,
_,PUNCT,$.,.,
da,ADV,ADV,Da,da
ist,AUX,VAFIN,ist,
ein,DET,ART,ein,
Bild,NOUN,NN,Bild,Bild
_,PUNCT,$.,.,
_,UNK,--,--,
oder,CONJ,KON,oder,
ist,AUX,VAFIN,sein,
da,ADV,ADV,da,da
ein,DET,ART,ein,
Bild,NOUN,NN,Bild,Bild
_,UNK,--,--,
_,PRON,PDS,Das,
_,AUX,VAFIN,ist,
_,DET,ART,ein,
Käsebild,NOUN,NN,Käsebild,Käsebild
so,ADV,ADV,so,so
_,PUNCT,$.,.,
genau,PART,PTKANT,Genau,
_,PUNCT,$.,.,
du,PRON,PPER,Du,
gehst,VERB,VVFIN,gehst,gehen
so,ADV,ADV,so,so
_,PUNCT,$.,.,
_,PRON,PDS,Das,
_,AUX,VAFIN,ist,
ein,DET,ART,ein,
Gouda,NOUN,NN,Gouda,Gouda
_,PUNCT,$.,.,
oder,CONJ,KON,Oder,
was,PRON,PWS,was,
_,PRON,PDS,das,
_,AUX,VAFIN,ist,
_,PUNCT,$.,.,
_,PRON,PPER,Du,
_,VERB,VVFIN,gehst,_en
so,ADV,ADV,so,so
unten,ADV,ADV,unten,unten
rechts,ADV,ADV,rechts,rechts
vom,ADP,APPRART,vom,
Käse,NOUN,NN,Käse,Käse
praktisch,ADJ,ADJD,praktisch,praktisch
_,PART,PTKVZ,entlang,
_,PUNCT,$.,.,
ja,PART,PTKANT,Ja,
_,PUNCT,$.,.,
_,UNK,--,--,
so,ADV,ADV,so,so
dass,SCONJ,KOUS,dass,
_,UNK,--,--,
_,PRON,PPER,Du,
_,VERB,VVFIN,gehst,_en
so,ADV,ADV,so,so
einen,DET,ART,einen,
halben,ADJ,ADJA,halben,halb
Zentimeter,NOUN,NN,Zentimeter,Zentimeter
rechts,ADV,ADV,rechts,rechts
neben,ADP,APPR,neben,
dem,DET,ART,dem,
Käse,NOUN,NN,Käse,Käse
_,PUNCT,"$,",",",
dass,SCONJ,KOUS,dass,
du,PRON,PPER,du,
da,ADV,ADV,da,da
bist,AUX,VAFIN,bist,
aber,CONJ,KON,aber,
unten,ADV,ADV,unten,unten
bleibst,VERB,VVFIN,bleibst,bleiben
_,PUNCT,$.,.,
du,PRON,PPER,Du,
_,PUNCT,$.,.,
ja,PART,PTKANT,Ja,
_,PUNCT,$.,.,
parallel,ADJ,ADJD,Parallel,parallel
also,ADV,ADV,also,also
bleibst,VERB,VVFIN,bleibst,bleiben
du,PRON,PPER,du,
auf,ADP,APPR,auf,
der,DET,ART,der,
