token,tag,tag_STTS,lemma_gold,lemma_pred
Heute,_,ADV,heute,Heute
wird,_,VAFIN,werden,wird
von,_,APPR,von,von
Monaco,_,NE,Monaco,Monaco
aus,_,APZR,aus,aus
z.B.,_,ADV,z.B.,z.B.
nach,_,APPR,nach,nach
Europa,_,NE,Europa,Europa
und,_,KON,und,und
North,_,FM,North,North
Afrika,_,NE,Afrika,Afrika
in,_,APPR,in,in
mehr,_,ADV,mehr,mehr
als,_,KOKOM,als,als
20,_,CARD,20,20
Sprachen,_,NN,Sprache,Sprachen
",",_,"$,",",",","
das,_,ART,der,das
Evangelium,_,NN,Evangelium,Evangelium
verbreitet,_,VVPP,verbreiten,verbreitet
.,_,$.,.,.
Auch,_,ADV,auch,Auch
für,_,APPR,für,für
uns,_,PPER,wir,uns
als,_,KOKOM,als,als
Gemeinde,_,NN,Gemeinde,Gemeinde
wird,_,VAFIN,werden,wird
Gott,_,NN,Gott,Gott
sorgen,_,VVINF,sorgen,sorgen
",",_,"$,",",",","
wenn,_,KOUS,wenn,wenn
wir,_,PPER,wir,wir
ganz,_,ADV,ganz,ganz
und,_,KON,und,und
gar,_,ADV,gar,gar
ihm,_,PPER,er,ihm
dienen,_,VVFIN,dienen,dienen
.,_,$.,.,.
Und,_,KON,und,Und
als,_,KOKOM,als,als
Zweites,_,NN,Zweite,Zweites
sagt,_,VVFIN,sagen,sagt
Jesus,_,NE,Jesus,Jesus
",",_,"$,",",",","
lohnt,_,VVFIN,lohnen,lohnt
es,_,PPER,es,es
sich,_,PRF,sich,sich
",",_,"$,",",",","
weil,_,KOUS,weil,weil
wir,_,PPER,wir,wir
in,_,APPR,in,in
der,_,ART,der,der
neuen,_,ADJA,neu,neuen
Welt,_,NN,Welt,Welt
im,_,APPRART,in,im
neuen,_,ADJA,neu,neuen
Zeitalter,_,NN,Zeitalter,Zeitalter
",",_,"$,",",",","
das,_,ART,der,das
ewige,_,ADJA,ewig,ewige
Leben,_,NN,Leben,Leben
bekommen,_,VVFIN,bekommen,bekommen
.,_,$.,.,.
Das,_,ART,der,Das
ewige,_,ADJA,ewig,ewige
Leben,_,NN,Leben,Leben
ist,_,VAFIN,sein,ist
das,_,ART,der,das
höchste,_,ADJA,hoch,höchste
Gut,_,NN,Gut,Gut
",",_,"$,",",",","
das,_,PRELS,der,das
