token,tag,tag_STTS,lemma_gold,lemma_pred
Nun,_,ADV,nun,
nahm,_,VVFIN,nehmen,
der,_,ART,der,
junge,_,ADJA,jung,
Graf,_,NN,Graf,
wieder,_,ADV,wieder,
das,_,ART,der,
Wort,_,NN,Wort,
.,_,$.,.,
»,_,$(,»,
Die,_,ART,der,
Sache,_,NN,Sache,
hat,_,VAFIN,haben,
sich,_,PRF,sich,
ja,_,ADV,ja,
für,_,APPR,für,
Sie,_,PPER,Sie,
durchaus,_,ADV,durchaus,
befriedigend,_,ADJD,befriedigend,
aufgeklärt,_,VVPP,aufklären,
",",_,"$,",",",
Herr,_,NN,Herr,
Bilsfeld,_,NE,Bilsfeld,
",",_,"$,",",",
«,_,$(,«,
sagte,_,VVFIN,sagen,
er,_,PPER,er,
.,_,$.,.,
»,_,$(,»,
An,_,APPR,an,
der,_,ART,der,
Richtigkeit,_,NN,Richtigkeit,
der,_,ART,der,
Erzählung,_,NN,Erzählung,
ist,_,VAFIN,sein,
nicht,_,PTKNEG,nicht,
zu,_,PTKZU,zu,
zweifeln,_,VVINF,zweifeln,
.,_,$.,.,
Die,_,ART,der,
falsche,_,ADJA,falsch,
Eintragung,_,NN,Eintragung,
ins,_,APPRART,in,
Kirchenbuch,_,NN,Kirchenbuch,
ist,_,VAFIN,sein,
freilich,_,ADV,freilich,
nun,_,ADV,nun,
einmal,_,ADV,einmal,
erfolgt,_,VVPP,erfolgen,
",",_,"$,",",",
der,_,ART,der,
Taufschein,_,NN,Taufschein,
muß,_,VMFIN,müssen,
vorgelegt,_,VVPP,vorlegen,
werden,_,VAINF,werden,
",",_,"$,",",",
wenn,_,KOUS,wenn,
das,_,ART,der,
Aufgebot,_,NN,Aufgebot,
für,_,APPR,für,
Paula,_,NE,Paula,
erfolgen,_,VVINF,erfolgen,
soll,_,VMFIN,sollen,
",",_,"$,",",",
und,_,KON,und,
die,_,ART,der,
Einwilligung,_,NN,Einwilligung,
der,_,ART,der,
Mutter,_,NN,Mutter,
läßt,_,VVFIN,lassen,
sich,_,PRF,sich,
dann,_,ADV,dann,
nicht,_,PTKNEG,nicht,
entbehren,_,VVINF,entbehren,
.,_,$.,.,
Das,_,ART,der,
einfachste,_,NN,Einfachste,
scheint,_,VVFIN,scheinen,
doch,_,ADV,doch,
",",_,"$,",",",
wir,_,PPER,wir,
rühren,_,VVFIN,rühren,
an,_,APPR,an,
der,_,ART,der,
alten,_,ADJA,alt,
Geschichte,_,NN,Geschichte,
gar,_,ADV,gar,
nicht,_,PTKNEG,nicht,
und,_,KON,und,
lassen,_,VVFIN,lassen,
den,_,ART,der,
Taufschein,_,NN,Taufschein,
gelten,_,VVINF,gelten,
",",_,"$,",",",
soviel,_,ADV,soviel,
er,_,PPER,er,
gilt,_,VVFIN,gelten,
.,_,$.,.,
Ihre,_,PPOSAT,Ihr,
Frau,_,NN,Frau,
erfüllt,_,VVFIN,erfüllen,
die,_,ART,der,
Form,_,NN,Form,
und,_,KON,und,
giebt,_,VVFIN,geben,
den,_,ART,der,
Konsens,_,NN,Konsens,
.,_,$.,.,
Mehr,_,PIS,mehr,
verlangt,_,VVFIN,verlangen,
die,_,ART,der,
Behörde,_,NN,Behörde,
nicht,_,PTKNEG,nicht,
",",_,"$,",",",
als,_,KOUS,als,
daß,_,KOUS,dass,
der,_,ART,der,
Form,_,NN,Form,
genügt,_,VVPP,genügen,
wird,_,VAFIN,werden,
.,_,$.,.,
Die,_,ART,der,
Papiere,_,NN,Papier,
kommen,_,VVFIN,kommen,
in,_,APPR,in,
die,_,ART,der,
Akten,_,NN,Akte,
",",_,"$,",",",
und,_,KON,und,
kein,_,PIAT,kein,
Mensch,_,NN,Mensch,
fragt,_,VVFIN,fragen,
weiter,_,ADV,weiter,
danach,_,PAV,danach,
.,_,$.,.,
So,_,ADV,so,
ruhig,_,ADJD,ruhig,
aber,_,ADV,aber,
die,_,ART,der,
Tochter,_,NN,Tochter,
blieb,_,VVFIN,bleiben,
",",_,"$,",",",
so,_,ADV,so,
bewegt,_,ADJD,bewegt,
gebärdete,_,VVFIN,gebärden,
sich,_,PRF,sich,
der,_,ART,der,
Vater,_,NN,Vater,
.,_,$.,.,
Aus,_,APPR,aus,
dem,_,ART,der,
seligsten,_,ADJA,selig,
Lachen,_,NN,Lachen,
in,_,APPR,in,
das,_,ART,der,
lauteste,_,ADJA,laut,
Schluchzen,_,NN,Schluchzen,
der,_,ART,der,
Rührung,_,NN,Rührung,
überspringend,_,ADJD,überspringend,
",",_,"$,",",",
streifte,_,VVFIN,streifen,
er,_,PPER,er,
mehr,_,ADV,mehr,
als,_,KOKOM,als,
einmal,_,ADV,einmal,
ans,_,APPRART,an,
Lächerliche,_,NN,Lächerliche,
und,_,KON,und,
machte,_,VVFIN,machen,
endlich,_,ADV,endlich,
nach,_,APPR,nach,
vollzogener,_,ADJA,vollzogen,
Feierlichkeit,_,NN,Feierlichkeit,
seinem,_,PPOSAT,sein,
Entzücken,_,NN,Entzücken,
mit,_,APPR,mit,
dem,_,ART,der,
wiederholten,_,ADJA,wiederholt,
Ausrufe,_,NN,Ausruf,
:,_,$.,:,
»,_,$(,»,
Sie,_,PPER,sie,
ist,_,VAFIN,sein,
versorgt,_,VVPP,versorgen,
",",_,"$,",",",
sie,_,PPER,sie,
ist,_,VAFIN,sein,
versorgt,_,VVPP,versorgen,
!,_,$.,!,
«,_,$(,«,
in,_,APPR,in,
verschwenderischen,_,ADJA,verschwenderisch,
Küssen,_,NN,Kuss,
und,_,KON,und,
Umarmungen,_,NN,Umarmung,
Luft,_,NN,Luft,
.,_,$.,.,
Plötzlich,_,ADV,plötzlich,
nahmen,_,VVFIN,nehmen,
aber,_,ADV,aber,
alle,_,PIS,alle,
diese,_,PDAT,dieser,
Verhältnisse,_,NN,Verhältnis,
eine,_,ART,ein,
neue,_,ADJA,neu,
Gestalt,_,NN,Gestalt,
an,_,PTKVZ,an,
.,_,$.,.,
Einige,_,PIAT,einiger,
Worte,_,NN,Wort,
",",_,"$,",",",
welche,_,PRELS,welcher,
Uriel,_,NE,Uriel,
eines,_,ART,ein,
Abends,_,NN,Abend,
im,_,APPRART,in,
Mondschein,_,NN,Mondschein,
mit,_,APPR,mit,
Judith,_,NE,Judith,
wechselte,_,VVFIN,wechseln,
",",_,"$,",",",
gaben,_,VVFIN,geben,
dazu,_,PAV,dazu,
die,_,ART,der,
Ursache,_,NN,Ursache,
her,_,PTKVZ,her,
.,_,$.,.,
Sie,_,PPER,sie,
hatte,_,VAFIN,haben,
ihn,_,PPER,er,
gefragt,_,VVPP,fragen,
",",_,"$,",",",
ob,_,KOUS,ob,
er,_,PPER,er,
denn,_,ADV,denn,
in,_,APPR,in,
Wahrheit,_,NN,Wahrheit,
den,_,ART,der,
Namen,_,NN,Name,
eines,_,ART,ein,
Sadducäers,_,NN,Sadduzäer,
verdiene,_,VVFIN,verdienen,
",",_,"$,",",",
den,_,PRELS,der,
man,_,PIS,man,
ihm,_,PPER,er,
allgemein,_,ADV,allgemein,
gäbe,_,VVFIN,geben,
.,_,$.,.,
Wir,_,PPER,wir,
durchzogen,_,VVFIN,durchziehen,
das,_,ART,der,
südliche,_,ADJA,südlich,
Deutschland,_,NE,Deutschland,
.,_,$.,.,
In,_,APPR,in,
einer,_,ART,ein,
kleinen,_,ADJA,klein,
Stadt,_,NN,Stadt,
trafen,_,VVFIN,treffen,
wir,_,PPER,wir,
auf,_,APPR,auf,
einen,_,ART,ein,
italienischen,_,ADJA,italienisch,
Tenor,_,NN,Tenor,
",",_,"$,",",",
der,_,PRELS,der,
von,_,APPR,von,
Mailand,_,NE,Mailand,
nach,_,APPR,nach,
Berlin,_,NE,Berlin,
wollte,_,VMFIN,wollen,
.,_,$.,.,
Meine,_,PPOSAT,mein,
Damen,_,NN,Dame,
waren,_,VAFIN,sein,
entzückt,_,ADJD,entzückt,
über,_,APPR,über,
den,_,ART,der,
Landsmann,_,NN,Landsmann,
;,_,$.,;,
er,_,PPER,er,
trennte,_,VVFIN,trennen,
sich,_,PRF,sich,
nicht,_,PTKNEG,nicht,
von,_,APPR,von,
ihnen,_,PPER,sie,
",",_,"$,",",",
vorzüglich,_,ADV,vorzüglich,
hielt,_,VVFIN,halten,
er,_,PPER,er,
sich,_,PRF,sich,
an,_,APPR,an,
Teresina,_,NE,Teresina,
",",_,"$,",",",
und,_,KON,und,
zu,_,APPR,zu,
meinem,_,PPOSAT,mein,
nicht,_,PTKNEG,nicht,
geringen,_,ADJA,gering,
Ärger,_,NN,Ärger,
spielte,_,VVFIN,spielen,
ich,_,PPER,ich,
eine,_,ART,ein,
ziemlich,_,ADV,ziemlich,
untergeordnete,_,ADJA,untergeordnet,
Rolle,_,NN,Rolle,
.,_,$.,.,
Einst,_,ADV,einst,
wollte,_,VMFIN,wollen,
ich,_,PPER,ich,
mit,_,APPR,mit,
einer,_,ART,ein,
Partitur,_,NN,Partitur,
unter,_,APPR,unter,
dem,_,ART,der,
Arm,_,NN,Arm,
gerade,_,ADV,gerade,
ins,_,APPRART,in,
Zimmer,_,NN,Zimmer,
treten,_,VVINF,treten,
",",_,"$,",",",
als,_,KOUS,als,
ich,_,PPER,ich,
drinnen,_,ADV,drinnen,
ein,_,ART,ein,
lebhaftes,_,ADJA,lebhaft,
Gespräch,_,NN,Gespräch,
zwischen,_,APPR,zwischen,
meinen,_,PPOSAT,mein,
Damen,_,NN,Dame,
und,_,KON,und,
dem,_,ART,der,
Tenor,_,NN,Tenor,
vernahm,_,VVFIN,vernehmen,
.,_,$.,.,
Mein,_,PPOSAT,mein,
Name,_,NN,Name,
wurde,_,VAFIN,werden,
genannt,_,VVPP,nennen,
–,_,$(,-,
ich,_,PPER,ich,
stutzte,_,VVFIN,stutzen,
",",_,"$,",",",
ich,_,PPER,ich,
horchte,_,VVFIN,horchen,
.,_,$.,.,
Das,_,ART,der,
Italienische,_,NN,Italienisch,
verstand,_,VVFIN,verstehen,
ich,_,PPER,ich,
jetzt,_,ADV,jetzt,
so,_,ADV,so,
gut,_,ADJD,gut,
",",_,"$,",",",
daß,_,KOUS,dass,
mir,_,PPER,ich,
kein,_,PIAT,kein,
Wort,_,NN,Wort,
entging,_,VVFIN,entgehen,
.,_,$.,.,
Lauretta,_,NE,Lauretta,
erzählte,_,VVFIN,erzählen,
eben,_,ADV,eben,
den,_,ART,der,
tragischen,_,ADJA,tragisch,
Vorfall,_,NN,Vorfall,
im,_,APPRART,in,
Konzert,_,NN,Konzert,
",",_,"$,",",",
wie,_,KOUS,wie,
ich,_,PPER,ich,
ihr,_,PPER,sie,
durch,_,APPR,durch,
unzeitiges,_,ADJA,unzeitig,
Niederschlagen,_,NN,Niederschlagen,
den,_,ART,der,
Triller,_,NN,Triller,
abgeschnitten,_,VVPP,abschneiden,
.,_,$.,.,
›,_,$(,›,
Asino,_,FM,Asino,
tedesco,_,FM,tedesco,
‹,_,$(,‹,
",",_,"$,",",",
rief,_,VVFIN,rufen,
der,_,ART,der,
Tenor,_,NN,Tenor,
–,_,$(,-,
es,_,PPER,es,
war,_,VAFIN,sein,
mir,_,PPER,ich,
zumute,_,ADV,zumute,
",",_,"$,",",",
als,_,KOUS,als,
müßte,_,VMFIN,müssen,
ich,_,PPER,ich,
hinein,_,ADV,hinein,
und,_,KON,und,
den,_,ART,der,
luftigen,_,ADJA,luftig,
Theaterhelden,_,NN,Theaterheld,
zum,_,APPRART,zu,
Fenster,_,NN,Fenster,
hinauswerfen,_,VVINF,hinauswerfen,
–,_,$(,-,
ich,_,PPER,ich,
hielt,_,VVFIN,halten,
an,_,APPR,an,
mich,_,PRF,ich,
.,_,$.,.,
Lauretta,_,NE,Lauretta,
sprach,_,VVFIN,sprechen,
weiter,_,PTKVZ,weiter,
",",_,"$,",",",
daß,_,KOUS,dass,
sie,_,PPER,sie,
mich,_,PPER,ich,
gleich,_,ADV,gleich,
fortjagen,_,VVINF,fortjagen,
wollen,_,VMFIN,wollen,
",",_,"$,",",",
indessen,_,ADV,indessen,
sei,_,VAFIN,sein,
sie,_,PPER,sie,
durch,_,APPR,durch,
mein,_,PPOSAT,mein,
flehentliches,_,ADJA,flehentlich,
Bitten,_,NN,Bitten,
bewogen,_,VVPP,bewegen,
worden,_,VAPP,werden,
",",_,"$,",",",
mich,_,PPER,ich,
noch,_,ADV,noch,
ferner,_,ADV,ferner,
um,_,APPR,um,
sich,_,PRF,sich,
zu,_,PTKZU,zu,
dulden,_,VVINF,dulden,
aus,_,APPR,aus,
Mitleid,_,NN,Mitleid,
",",_,"$,",",",
da,_,KOUS,da,
ich,_,PPER,ich,
bei,_,APPR,bei,
ihr,_,PPER,sie,
den,_,ART,der,
Gesang,_,NN,Gesang,
studieren,_,VVINF,studieren,
wollen,_,VMFIN,wollen,
.,_,$.,.,
Teresina,_,NE,Teresina,
bestätigte,_,VVFIN,bestätigen,
dies,_,PDS,dieser,
zu,_,APPR,zu,
meinem,_,PPOSAT,mein,
nicht,_,PTKNEG,nicht,
geringen,_,ADJA,gering,
Erstaunen,_,NN,Erstaunen,
.,_,$.,.,
›,_,$(,›,
Es,_,PPER,es,
ist,_,VAFIN,sein,
ein,_,ART,ein,
gutes,_,ADJA,gut,
Kind,_,NN,Kind,
‹,_,$(,‹,
",",_,"$,",",",
fügte,_,VVFIN,fügen,
sie,_,PPER,sie,
hinzu,_,PTKVZ,hinzu,
",",_,"$,",",",
›,_,$(,›,
jetzt,_,ADV,jetzt,
ist,_,VAFIN,sein,
er,_,PPER,er,
in,_,APPR,in,
mich,_,PPER,ich,
verliebt,_,ADJD,verliebt,
und,_,KON,und,
setzt,_,VVFIN,setzen,
alles,_,PIS,alle,
für,_,APPR,für,
den,_,ART,der,
Alt,_,NN,Alt,
.,_,$.,.,
Einiges,_,PIAT,einiger,
Talent,_,NN,Talent,
ist,_,VAFIN,sein,
in,_,APPR,in,
ihm,_,PPER,er,
",",_,"$,",",",
aber,_,KON,aber,
er,_,PPER,er,
muß,_,VMFIN,müssen,
sich,_,PRF,sich,
aus,_,APPR,aus,
dem,_,ART,der,
Steifen,_,NN,Steife,
und,_,KON,und,
Ungelenken,_,NN,Ungelenke,
herausarbeiten,_,VVINF,herausarbeiten,
",",_,"$,",",",
das,_,PRELS,der,
den,_,ART,der,
Deutschen,_,NN,Deutsche,
eigen,_,ADJD,eigen,
.,_,$.,.,
Ich,_,PPER,ich,
hoffe,_,VVFIN,hoffen,
mir,_,PRF,ich,
aus,_,APPR,aus,
ihm,_,PPER,er,
einen,_,ART,ein,
Compositore,_,FM,Compositore,
zu,_,PTKZU,zu,
bilden,_,VVINF,bilden,
",",_,"$,",",",
der,_,PRELS,der,
mir,_,PPER,ich,
",",_,"$,",",",
da,_,KOUS,da,
wenig,_,PIS,wenig,
für,_,APPR,für,
den,_,ART,der,
Alt,_,NN,Alt,
geschrieben,_,VVPP,schreiben,
wird,_,VAFIN,werden,
",",_,"$,",",",
einige,_,PIAT,einiger,
tüchtige,_,ADJA,tüchtig,
Sachen,_,NN,Sache,
setzt,_,VVFIN,setzen,
",",_,"$,",",",
nachher,_,ADV,nachher,
lasse,_,VVFIN,lassen,
ich,_,PPER,ich,
ihn,_,PPER,er,
laufen,_,VVINF,laufen,
.,_,$.,.,
–,_,$(,-,
Nun,_,ADV,nun,
fing,_,VVFIN,fangen,
Lauretta,_,NE,Lauretta,
ein,_,ART,ein,
Duett,_,NN,Duett,
an,_,PTKVZ,an,
",",_,"$,",",",
das,_,PRELS,der,
ich,_,PPER,ich,
komponiert,_,VVPP,komponieren,
und,_,KON,und,
das,_,PRELS,der,
sie,_,PPER,sie,
sonst,_,ADV,sonst,
hoch,_,ADV,hoch,
gerühmt,_,VVPP,rühmen,
hatte,_,VAFIN,haben,
.,_,$.,.,
Teresina,_,NE,Teresina,
nahm,_,VVFIN,nehmen,
die,_,ART,der,
zweite,_,ADJA,zweiter,
Stimme,_,NN,Stimme,
auf,_,PTKVZ,auf,
