token,tag,tag_STTS,lemma_gold,lemma_pred
kann,VERB,VMFIN,können,können
ich,PRON,PPER,ich,ich
einen,DET,ART,ein,eine
Laptop,NOUN,NN,Laptop,Laptop
mit,PART,PTKVZ,mit,mit
in,ADP,APPR,in,in
die,DET,ART,der,die
Bibliothek,NOUN,NN,Bibliothek,Bibliothek
nehmen,VERB,VVINF,nehmen,nehmen
",",PUNCT,"$,",",",","
damit,SCONJ,KOUS,damit,damit
ich,PRON,PPER,ich,ich
im,ADP,APPRART,in,in+die
Katalog,NOUN,NN,Katalog,Katalog
nach,ADP,APPR,nach,nach
Büchern,NOUN,NN,Buch,Buch
suchen,VERB,VVINF,suchen,suchen
kann,VERB,VMFIN,können,können
",",PUNCT,"$,",",",","
oder,CONJ,KON,oder,oder
ist,AUX,VAFIN,sein,sein
es,PRON,PPER,es,es
jederzeit,ADV,ADV,jederzeit,jederzeit
möglich,ADJ,ADJD,möglich,möglich
einen,DET,ART,ein,eine
freien,ADJ,ADJA,frei,frei
EDV-Platz,NOUN,NN,EDV-Platz,EDV-Platz
...,PUNCT,$(,...,...
Sie,PRON,PPER,sie,Sie
können,VERB,VMFIN,können,können
auf,ADP,APPR,auf,auf
Jedenfall,NOUN,NN,Jedenfall,<unknown>
Ihr,DET,PPOSAT,ihr,ihr
Laptop,NOUN,NN,Laptop,Laptop
mitnehmen,VERB,VVINF,mitnehmen,mitnehmen
.,PUNCT,$.,.,.
wir,PRON,PPER,wir,wir
haben,AUX,VAFIN,haben,haben
...,PUNCT,$(,...,...
einen,DET,ART,ein,eine
Notebook-Arbeitspool,NOUN,NN,Notebook-Arbeitspool,<unknown>
eingerichtet,VERB,VVPP,einrichten,einrichten
",",PUNCT,"$,",",",","
für,ADP,APPR,für,für
die,DET,ART,der,die
Nutzung,NOUN,NN,Nutzung,Nutzung
mit,ADP,APPR,mit,mit
Kabel,NOUN,NN,Kabel,Kabel
und,CONJ,KON,und,und
Funknetz,NOUN,NN,Funknetz,Funknetz
.,PUNCT,$.,.,.
doch,CONJ,KON,doch,doch
...,PUNCT,$(,...,...
gibt,VERB,VVFIN,geben,geben
es,PRON,PPER,es,es
einen,DET,ART,ein,eine
bibliothekseigenen,ADJ,ADJA,bibliothekseigen,bibliothekseigen
Internet-Pool,NOUN,NN,Internet-Pool,Internet-Pool
",",PUNCT,"$,",",",","
sowie,CONJ,KON,sowie,sowie
einen,DET,ART,ein,eine
Recherche-Pool,NOUN,NN,Recherche-Pool,Recherche-Pool
",",PUNCT,"$,",",",","
die,PRON,PRELS,der,die
Sie,PRON,PPER,sie,Sie
jederzeit,ADV,ADV,jederzeit,jederzeit
nutzen,VERB,VVINF,nutzen,nutzen
können,VERB,VMFIN,können,können
.,PUNCT,$.,.,.
evtl.,ADJ,ADJD,evtl.,eventuell
im,ADP,APPRART,in,in+die
Internet-Pool,NOUN,NN,Internet-Pool,Internet-Pool
müsste,VERB,VMFIN,müssen,müssen
man,PRON,PIS,man,man
etwas,ADV,ADV,etwas,etwas
warten,VERB,VVINF,warten,warten
",",PUNCT,"$,",",",","
bis,SCONJ,KOUS,bis,bis
ein,DET,ART,ein,eine
Platz,NOUN,NN,Platz,Platz
frei,ADJ,ADJD,frei,frei
wird,AUX,VAFIN,werden,werden
.,PUNCT,$.,.,.
nochmals,ADV,ADV,nochmals,nochmals
vielen,DET,PIAT,vieler,viele
Dank,NOUN,NN,Dank,Dank
!,PUNCT,$.,!,!
bitte,PART,PTKANT,bitte,bitte
schön,ADJ,ADJD,schön,schön
:),UNK,EMOASC,:),<unknown>
wie,ADV,PWAV,wie,wie
bekomme,VERB,VVFIN,bekommen,bekommen
ich,PRON,PPER,ich,ich
heraus,PART,PTKVZ,heraus,heraus
",",PUNCT,"$,",",",","
ob,SCONJ,KOUS,ob,ob
die,DET,ART,der,die
Uni,NOUN,NN,Uni,Uni
Dortmund,PROPN,NE,Dortmund,Dortmund
eine,DET,ART,ein,eine
bestimmte,ADJ,ADJA,bestimmt,bestimmt
Zeitschrift,NOUN,NN,Zeitschrift,Zeitschrift
abonniert,VERB,VVPP,abonnieren,abonnieren
hat,AUX,VAFIN,haben,haben
und,CONJ,KON,und,und
in,ADP,APPR,in,in
welcher,DET,PWAT,welcher,welche
Bibliothek,NOUN,NN,Bibliothek,Bibliothek
die,PRON,PDS,der,die
steht,VERB,VVFIN,stehen,stehen
?,PUNCT,$.,?,?
Sie,PRON,PPER,sie,Sie
können,VERB,VMFIN,können,können
unter,ADP,APPR,unter,unter
dem,DET,ART,der,die
Link,NOUN,NN,Link,Link
