token,tag,tag_STTS,lemma_gold,lemma_pred
Nun,_,ADV,nun,Nun
nahm,_,VVFIN,nehmen,nahm
der,_,ART,der,der
junge,_,ADJA,jung,junge
Graf,_,NN,Graf,Graf
wieder,_,ADV,wieder,wieder
das,_,ART,der,das
Wort,_,NN,Wort,Wort
.,_,$.,.,.
»,_,$(,»,»
Die,_,ART,der,Die
Sache,_,NN,Sache,Sache
hat,_,VAFIN,haben,hat
sich,_,PRF,sich,sich
ja,_,ADV,ja,ja
für,_,APPR,für,für
Sie,_,PPER,Sie,Sie
durchaus,_,ADV,durchaus,durchaus
befriedigend,_,ADJD,befriedigend,befriedigend
aufgeklärt,_,VVPP,aufklären,aufgeklärt
",",_,"$,",",",","
Herr,_,NN,Herr,Herr
Bilsfeld,_,NE,Bilsfeld,Bilsfeld
",",_,"$,",",",","
«,_,$(,«,«
sagte,_,VVFIN,sagen,sagte
er,_,PPER,er,er
.,_,$.,.,.
»,_,$(,»,»
An,_,APPR,an,An
der,_,ART,der,der
Richtigkeit,_,NN,Richtigkeit,Richtigkeit
der,_,ART,der,der
Erzählung,_,NN,Erzählung,Erzählung
ist,_,VAFIN,sein,ist
nicht,_,PTKNEG,nicht,nicht
zu,_,PTKZU,zu,zu
zweifeln,_,VVINF,zweifeln,zweifeln
.,_,$.,.,.
Die,_,ART,der,Die
falsche,_,ADJA,falsch,falsche
Eintragung,_,NN,Eintragung,Eintragung
ins,_,APPRART,in,ins
Kirchenbuch,_,NN,Kirchenbuch,Kirchenbuch
ist,_,VAFIN,sein,ist
freilich,_,ADV,freilich,freilich
nun,_,ADV,nun,nun
einmal,_,ADV,einmal,einmal
erfolgt,_,VVPP,erfolgen,erfolgt
",",_,"$,",",",","
der,_,ART,der,der
Taufschein,_,NN,Taufschein,Taufschein
muß,_,VMFIN,müssen,muß
vorgelegt,_,VVPP,vorlegen,vorgelegt
werden,_,VAINF,werden,werden
",",_,"$,",",",","
wenn,_,KOUS,wenn,wenn
das,_,ART,der,das
Aufgebot,_,NN,Aufgebot,Aufgebot
für,_,APPR,für,für
Paula,_,NE,Paula,Paula
erfolgen,_,VVINF,erfolgen,erfolgen
soll,_,VMFIN,sollen,soll
",",_,"$,",",",","
und,_,KON,und,und
die,_,ART,der,die
Einwilligung,_,NN,Einwilligung,Einwilligung
der,_,ART,der,der
Mutter,_,NN,Mutter,Mutter
läßt,_,VVFIN,lassen,läßt
sich,_,PRF,sich,sich
dann,_,ADV,dann,dann
nicht,_,PTKNEG,nicht,nicht
entbehren,_,VVINF,entbehren,entbehren
.,_,$.,.,.
Das,_,ART,der,Das
einfachste,_,NN,Einfachste,einfachste
scheint,_,VVFIN,scheinen,scheint
doch,_,ADV,doch,doch
",",_,"$,",",",","
wir,_,PPER,wir,wir
rühren,_,VVFIN,rühren,rühren
an,_,APPR,an,an
der,_,ART,der,der
alten,_,ADJA,alt,alten
Geschichte,_,NN,Geschichte,Geschichte
gar,_,ADV,gar,gar
nicht,_,PTKNEG,nicht,nicht
und,_,KON,und,und
lassen,_,VVFIN,lassen,lassen
den,_,ART,der,den
Taufschein,_,NN,Taufschein,Taufschein
gelten,_,VVINF,gelten,gelten
",",_,"$,",",",","
soviel,_,ADV,soviel,soviel
er,_,PPER,er,er
gilt,_,VVFIN,gelten,gilt
.,_,$.,.,.
Ihre,_,PPOSAT,Ihr,Ihre
Frau,_,NN,Frau,Frau
erfüllt,_,VVFIN,erfüllen,erfüllt
die,_,ART,der,die
Form,_,NN,Form,Form
und,_,KON,und,und
giebt,_,VVFIN,geben,giebt
den,_,ART,der,den
Konsens,_,NN,Konsens,Konsens
.,_,$.,.,.
Mehr,_,PIS,mehr,Mehr
verlangt,_,VVFIN,verlangen,verlangt
die,_,ART,der,die
Behörde,_,NN,Behörde,Behörde
nicht,_,PTKNEG,nicht,nicht
",",_,"$,",",",","
als,_,KOUS,als,als
daß,_,KOUS,dass,daß
der,_,ART,der,der
Form,_,NN,Form,Form
genügt,_,VVPP,genügen,genügt
wird,_,VAFIN,werden,wird
.,_,$.,.,.
Die,_,ART,der,Die
Papiere,_,NN,Papier,Papiere
kommen,_,VVFIN,kommen,kommen
in,_,APPR,in,in
die,_,ART,der,die
Akten,_,NN,Akte,Akten
",",_,"$,",",",","
und,_,KON,und,und
kein,_,PIAT,kein,kein
Mensch,_,NN,Mensch,Mensch
fragt,_,VVFIN,fragen,fragt
weiter,_,ADV,weiter,weiter
danach,_,PAV,danach,danach
.,_,$.,.,.
So,_,ADV,so,So
ruhig,_,ADJD,ruhig,ruhig
aber,_,ADV,aber,aber
die,_,ART,der,die
Tochter,_,NN,Tochter,Tochter
blieb,_,VVFIN,bleiben,blieb
",",_,"$,",",",","
so,_,ADV,so,so
bewegt,_,ADJD,bewegt,bewegt
gebärdete,_,VVFIN,gebärden,gebärdete
sich,_,PRF,sich,sich
der,_,ART,der,der
Vater,_,NN,Vater,Vater
.,_,$.,.,.
Aus,_,APPR,aus,Aus
dem,_,ART,der,dem
seligsten,_,ADJA,selig,seligsten
Lachen,_,NN,Lachen,Lachen
in,_,APPR,in,in
das,_,ART,der,das
lauteste,_,ADJA,laut,lauteste
Schluchzen,_,NN,Schluchzen,Schluchzen
der,_,ART,der,der
Rührung,_,NN,Rührung,Rührung
überspringend,_,ADJD,überspringend,überspringend
",",_,"$,",",",","
streifte,_,VVFIN,streifen,streifte
er,_,PPER,er,er
mehr,_,ADV,mehr,mehr
als,_,KOKOM,als,als
einmal,_,ADV,einmal,einmal
ans,_,APPRART,an,ans
Lächerliche,_,NN,Lächerliche,Lächerliche
und,_,KON,und,und
machte,_,VVFIN,machen,machte
endlich,_,ADV,endlich,endlich
nach,_,APPR,nach,nach
vollzogener,_,ADJA,vollzogen,vollzogener
Feierlichkeit,_,NN,Feierlichkeit,Feierlichkeit
seinem,_,PPOSAT,sein,seinem
Entzücken,_,NN,Entzücken,Entzücken
mit,_,APPR,mit,mit
dem,_,ART,der,dem
wiederholten,_,ADJA,wiederholt,wiederholten
Ausrufe,_,NN,Ausruf,Ausrufe
:,_,$.,:,:
»,_,$(,»,»
Sie,_,PPER,sie,Sie
ist,_,VAFIN,sein,ist
versorgt,_,VVPP,versorgen,versorgt
",",_,"$,",",",","
sie,_,PPER,sie,sie
ist,_,VAFIN,sein,ist
versorgt,_,VVPP,versorgen,versorgt
!,_,$.,!,!
«,_,$(,«,«
in,_,APPR,in,in
