token,tag,tag_STTS,lemma_gold,lemma_pred
Als,_,KOKOM,als,als
nächstes,_,ADJD,nächster,nächster
also,_,ADV,also,also
",",_,"$,",",",--
die,_,ART,der,der
wissenschaftliche,_,ADJA,wissenschaftlich,wissenschaftlich
Methodik,_,NN,Methodik,Methodik
ein,_,ART,ein,ein
Grundsatz,_,NN,Grundsatz,Grundsatz
der,_,ART,der,der
Physik,_,NN,Physik,Physik
",",_,"$,",",",--
aller,_,PIAT,aller,aller
Wissenschaften,_,NN,Wissenschaft,Wissenschaft
—,_,$(,-,—
sagt,_,VVFIN,sagen,sagen
",",_,"$,",",",--
daß,_,KOUS,dass,daß
man,_,PIS,man,man
eine,_,ART,ein,ein
Hypothese,_,NN,Hypothese,Hypothese
nicht,_,PTKNEG,nicht,nicht
durch,_,APPR,durch,durch
Beobachtung,_,NN,Beobachtung,Beobachtung
beweisen,_,VVINF,beweisen,beweisen
kann,_,VMFIN,können,können
.,_,$.,.,--
Man,_,PIS,man,man
kann,_,VMFIN,können,können
sie,_,PPER,sie,sie
nur,_,ADV,nur,nur
widerlegen,_,VVINF,widerlegen,widerlegen
.,_,$.,.,--
Das,_,PDS,der,der
heißt,_,VVFIN,heißen,heißen
",",_,"$,",",",--
daß,_,KOUS,dass,daß
man,_,PIS,man,man
mehr,_,ADV,mehr,mehr
und,_,KON,und,und
mehr,_,ADV,mehr,mehr
Information,_,NN,Information,Information
um,_,APPR,um,um
eine,_,ART,ein,ein
Hypothese,_,NN,Hypothese,Hypothese
oder,_,KON,oder,oder
einen,_,ART,ein,ein
Standpunkt,_,NN,Standpunkt,Standpunkt
sammeln,_,VVINF,sammeln,sammeln
kann,_,VMFIN,können,können
die,_,PRELS,der,der
sie,_,PPER,sie,sie
bestärkt,_,VVFIN,bestärken,bestärken
",",_,"$,",",",--
aber,_,KON,aber,aber
nicht,_,PTKNEG,nicht,nicht
endgültig,_,ADJD,endgültig,endgültig
beweist,_,VVFIN,beweisen,beweisen
.,_,$.,.,--
Und,_,KON,und,und
nur,_,ADV,nur,nur
eine,_,ART,ein,ein
einzige,_,ADJA,einziger,einzig
gegenteilige,_,ADJA,gegenteilig,gegenteilig
Information,_,NN,Information,Information
kann,_,VMFIN,können,können
die,_,ART,der,der
ganze,_,ADJA,ganz,ganz
Theorie,_,NN,Theorie,Theorie
kippen,_,VVINF,kippen,kippen
.,_,$.,.,--
Das,_,PDS,der,der
klingt,_,VVFIN,klingen,klingen
vielleicht,_,ADV,vielleicht,vielleicht
zu,_,PTKA,zu,zu
simpel,_,ADJD,simpel,simpel
",",_,"$,",",",--
um,_,KOUI,um,um
Verhalten,_,NN,Verhalten,verhalten
zu,_,PTKZU,zu,zu
beeinflussen,_,VVINF,beeinflussen,beeinflussen
",",_,"$,",",",--
aber,_,KON,aber,aber
in,_,APPR,in,in
einer,_,ART,ein,ein
Studie,_,NN,Studie,Studie
fanden,_,VVFIN,finden,finden
wir,_,PPER,wir,wir
heraus,_,PTKVZ,heraus,heraus
",",_,"$,",",",--
dass,_,KOUS,dass,dass
Achtsamkeitstraining,_,NN,Achtsamkeitstraining,Achtsamkeitstraining
Menschen,_,NN,Mensch,Mensch
doppelt,_,ADJD,doppelt,doppelt
so,_,ADV,so,so
gut,_,ADJD,gut,gut
hilft,_,VVFIN,helfen,helfen
das,_,ART,der,der
Rauchen,_,NN,Rauchen,rauchen
aufzugeben,_,VVIZU,aufgeben,aufgeben
wie,_,KOKOM,wie,wie
die,_,ART,der,der
beste,_,ADJA,gut,gut
Standardtherapie,_,NN,Standardtherapie,Standardtherapie
.,_,$.,.,--
Es,_,PPER,es,es
funktioniert,_,VVFIN,funktionieren,funktionieren
also,_,ADV,also,also
.,_,$.,.,--
Als,_,KOUS,als,als
wir,_,PPER,wir,wir
die,_,ART,der,der
Gehirne,_,NN,Gehirn,Gehirn
geübter,_,ADJA,geübt,geübt
Meditierender,_,NN,Meditierende,Meditierend
untersuchten,_,VVFIN,untersuchen,untersuchen
",",_,"$,",",",--
erkannten,_,VVFIN,erkennen,erkennen
wir,_,PPER,wir,wir
",",_,"$,",",",--
Teile,_,NN,Teil,Teil
der,_,ART,der,der
neuronalen,_,ADJA,neuronal,neuronal
Netze,_,NN,Netz,Netz
selbstreferenzieller,_,ADJA,selbstreferenziell,selbstreferenziell
Verarbeitung,_,NN,Verarbeitung,Verarbeitung
",",_,"$,",",",--
Bewusstseinsnetzwerk,_,NN,Bewusstseinsnetzwerk,Bewusstseinsnetzwerk
genannt,_,VVPP,nennen,nennen
",",_,"$,",",",--
spielten,_,VVFIN,spielen,spielen
hier,_,ADV,hier,hier
eine,_,ART,ein,ein
Rolle,_,NN,Rolle,Rolle
.,_,$.,.,--
Eine,_,ART,ein,ein
aktuelle,_,ADJA,aktuell,aktuell
Hypothese,_,NN,Hypothese,Hypothese
sagt,_,VVFIN,sagen,sagen
",",_,"$,",",",--
dass,_,KOUS,dass,dass
eine,_,ART,ein,ein
Region,_,NN,Region,Region
dieses,_,PDAT,dieser,dieser
Netzes,_,NN,Netz,Netz
",",_,"$,",",",--
namens,_,ADV,namens,namens
posteriorer,_,FM,posteriorer,posterior
Gyrus,_,FM,Gyrus,Gyrus
cinguli,_,FM,cinguli,cinguli
",",_,"$,",",",--
nicht,_,PTKNEG,nicht,nicht
unbedingt,_,ADV,unbedingt,unbedingt
durch,_,APPR,durch,durch
das,_,ART,der,der
Verlangen,_,NN,Verlangen,verlangen
selbst,_,ADV,selbst,selbst
aktiviert,_,VVPP,aktivieren,aktivieren
wird,_,VAFIN,werden,werden
",",_,"$,",",",--
sondern,_,KON,sondern,sondern
wenn,_,KOUS,wenn,wenn
wir,_,PPER,wir,wir
davon,_,PAV,davon,davon
gefangen,_,VVPP,fangen,gefangen
sind,_,VAFIN,sein,sein
",",_,"$,",",",--
hineingesaugt,_,VVPP,hineinsaugen,hineinsaugen
werden,_,VAFIN,werden,werden
",",_,"$,",",",--
und,_,KON,und,und
es,_,PPER,es,es
uns,_,PPER,wir,uns
hereinlegt,_,VVFIN,hereinlegen,hereinlegen
.,_,$.,.,--
Um,_,KOUI,um,um
darauf,_,PAV,darauf,darauf
zu,_,PTKZU,zu,zu
achten,_,VVINF,achten,achten
",",_,"$,",",",--
was,_,PWS,was,was
am,_,PTKA,am,am
besten,_,ADJD,gut,gut
für,_,APPR,für,für
sie,_,PPER,sie,sie
ist,_,VAFIN,sein,sein
",",_,"$,",",",--
oder,_,KON,oder,oder
was,_,PWS,was,was
sie,_,PPER,sie,sie
für,_,APPR,für,für
das,_,ART,der,der
beste,_,NN,Beste,gut
für,_,APPR,für,für
sich,_,PRF,sich,sich
halten,_,VVFIN,halten,halten
",",_,"$,",",",--
haben,_,VAFIN,haben,haben
Menschen,_,NN,Mensch,Mensch
Werte,_,NN,Wert,Wert
—,_,$(,-,—
diese,_,PDS,dieser,dieser
identifizieren,_,VVFIN,identifizieren,identifizieren
",",_,"$,",",",--
was,_,PWS,was,was
sie,_,PPER,sie,sie
wollen,_,VMFIN,wollen,wollen
und,_,KON,und,und
was,_,PWS,was,was
sie,_,PPER,sie,sie
nicht,_,PTKNEG,nicht,nicht
wollen,_,VMFIN,wollen,wollen
.,_,$.,.,--
Und,_,KON,und,und
sie,_,PPER,sie,sie
glauben,_,VVFIN,glauben,glauben
zu,_,PTKZU,zu,zu
wissen,_,VVINF,wissen,wissen
",",_,"$,",",",--
was,_,PWS,was,was
andere,_,ADJA,anderer,anderer
Leute,_,NN,Leute,Leute
wollen,_,VMFIN,wollen,wollen
",",_,"$,",",",--
und,_,KON,und,und
was,_,PWS,was,was
andere,_,ADJA,anderer,anderer
Leute,_,NN,Leute,Leute
nicht,_,PTKNEG,nicht,nicht
wollen,_,VMFIN,wollen,wollen
",",_,"$,",",",--
wie,_,PWAV,wie,wie
viel,_,PIAT,viel,viel
Macht,_,NN,Macht,Macht
andere,_,ADJA,anderer,anderer
Leute,_,NN,Leute,Leute
haben,_,VAFIN,haben,haben
",",_,"$,",",",--
wie,_,PWAV,wie,wie
sehr,_,ADV,sehr,sehr
jene,_,PDAT,jener,jener
Leute,_,NN,Leute,Leute
dem,_,PDS,der,der
im,_,APPRART,in,in
Weg,_,NN,Weg,Weg
stehen,_,VVINF,stehen,stehen
könnten,_,VMFIN,können,können
",",_,"$,",",",--
was,_,PWS,was,wer
sie,_,PPER,sie,sie
selbst,_,ADV,selbst,selbst
wollen,_,VMFIN,wollen,wollen
.,_,$.,.,--
Im,_,APPRART,in,in
verschneiten,_,ADJA,verschneit,verschneit
Nordamerika,_,NE,Nordamerika,Nordamerika
waren,_,VAFIN,sein,sein
unsere,_,PPOSAT,unser,unser
Rituale,_,NN,Ritual,Ritual
aus,_,APPR,aus,aus
dem,_,ART,der,der
globalen,_,ADJA,global,global
Süden,_,NN,Süden,Süden
.,_,$.,.,--
Bei,_,APPR,bei,bei
meinem,_,PPOSAT,mein,mein
ersten,_,ADJA,erster,erster
Besuch,_,NN,Besuch,Besuch
in,_,APPR,in,in
Delhi,_,NE,Delhi,Delhi
oder,_,KON,oder,oder
in,_,APPR,in,in
Süditalien,_,NE,Süditalien,Süditalien
war,_,VAFIN,sein,sein
ich,_,PPER,ich,ich
schockiert,_,ADJD,schockiert,schockiert
",",_,"$,",",",--
wie,_,PWAV,wie,wie
sehr,_,ADV,sehr,sehr
ich,_,PPER,ich,ich
mich,_,PRF,ich,sich
zu,_,APPR,zu,zu
Hause,_,NN,Haus,Haus
fühlte,_,VVFIN,fühlen,fühlen
.,_,$.,.,--
Die,_,ART,der,der
Rituale,_,NN,Ritual,Ritual
waren,_,VAFIN,sein,sein
vertraut,_,ADJD,vertraut,vertraut
.,_,$.,.,--
"""",_,$(,"""",--
R,_,XY,R,R
"""",_,$(,"""",""""
Nummer,_,NN,Nummer,Nummer
eins,_,CARD,eins,eins
:,_,$.,:,--
Rituale,_,NN,Ritual,Ritual
.,_,$.,.,--
Denken,_,VVIMP,denken,denken
Sie,_,PPER,Sie,sie
jetzt,_,ADV,jetzt,jetzt
an,_,APPR,an,an
Beziehungen,_,NN,Beziehung,Beziehung
...,_,$(,...,--
Menschen,_,NN,Mensch,Mensch
",",_,"$,",",",--
die,_,PRELS,der,der
Ihren,_,PPOSAT,Ihr,ihr
Alltag,_,NN,Alltag,Alltag
bestimmen,_,VVFIN,bestimmen,bestimmen
.,_,$.,.,--
Mit,_,APPR,mit,mit
wem,_,PWS,wem,wem
sprechen,_,VVFIN,sprechen,sprechen
Sie,_,PPER,Sie,sie
mindestens,_,ADV,mindestens,mindestens
einmal,_,ADV,einmal,einmal
pro,_,APPR,pro,pro
Woche,_,NN,Woche,Woche
",",_,"$,",",",--
entweder,_,KON,entweder,entweder
persönlich,_,ADJD,persönlich,persönlich
oder,_,KON,oder,oder
über,_,APPR,über,über
FaceTime,_,NE,FaceTime,FaceTime
?,_,$.,?,--
Schätzen,_,VVIMP,schätzen,Schätzen
Sie,_,PPER,Sie,sie
es,_,PPER,es,es
realistisch,_,ADJD,realistisch,realistisch
ein,_,PTKVZ,ein,ein
;,_,$.,;,--
ich,_,PPER,ich,ich
spreche,_,VVFIN,sprechen,sprechen
nicht,_,PTKNEG,nicht,nicht
von,_,APPR,von,von
Facebook-Freunden,_,NN,Facebook-Freund,Facebook-Freund
.,_,$.,.,--
Ich,_,PPER,ich,ich
spreche,_,VVFIN,sprechen,sprechen
von,_,APPR,von,von
Leuten,_,NN,Leute,Leute
",",_,"$,",",",--
die,_,PRELS,der,der
Ihr,_,PPOSAT,Ihr,ihr
wöchentliches,_,ADJA,wöchentlich,wöchentlich
emotionales,_,ADJA,emotional,emotional
Erleben,_,NN,Erleben,erleben
formen,_,VVFIN,formen,formen
.,_,$.,.,--
Der,_,ART,der,der
Bildungsminister,_,NN,Bildungsminister,Bildungsminister
im,_,APPRART,in,in
Süden,_,NN,Süden,Süden
von,_,APPR,von,von
London,_,NE,London,London
bezeichnete,_,VVFIN,bezeichnen,bezeichnen
sich,_,PRF,sich,sich
selber,_,ADV,selber,selber
als,_,KOKOM,als,als
«,_,$(,«,--
grossen,_,ADJA,groß,gross
Fan,_,NN,Fan,Fan
»,_,$(,»,»
.,_,$.,.,--
Und,_,KON,und,und
die,_,ART,der,der
Geschäftsorganisationen,_,NN,Geschäftsorganisation,Geschäftsorganisation
dachten,_,VVFIN,denken,denken
",",_,"$,",",",--
wir,_,PPER,wir,wir
seien,_,VAFIN,sein,sein
auf,_,APPR,auf,auf
