token,tag,tag_STTS,lemma_gold,lemma_pred
Du,PRON,PPER,du,du
willst,VERB,VMFIN,wollen,wollen
alles,PRON,PIS,alle,all
wissen,VERB,VVINF,wissen,wissen
.,PUNCT,$.,.,.
Es,PRON,PPER,es,Es
ist,AUX,VAFIN,sein,sein
mein,DET,PPOSAT,mein,mein
Töff,NOUN,NN,Töff,Töff
",",PUNCT,"$,",",",","
oder,CONJ,KON,oder,oder
!,PUNCT,$.,!,!
Gut,ADJ,ADJD,gut,Gut
",",PUNCT,"$,",",",","
also,ADV,ADV,also,also
das,DET,ART,der,der
Benzin,NOUN,NN,Benzin,Benzin
geht,VERB,VVFIN,gehen,gehen
hier,ADV,ADV,hier,hier
durch,PART,PTKVZ,durch,durch
",",PUNCT,"$,",",",","
da,ADV,ADV,da,da
hinein,PART,PTKVZ,hinein,herein
.,PUNCT,$.,.,.
Da,ADV,ADV,da,Da
drin,ADV,PAV,drin,drin
ist,AUX,VAFIN,sein,sein
es,PRON,PPER,es,es
sehr,ADV,ADV,sehr,sehr
heiss,ADJ,ADJD,heiß,heiß
.,PUNCT,$.,.,.
Dann,ADV,ADV,dann,dann
die,DET,ART,der,der
Kerze,NOUN,NN,Kerze,Kerze
maken,VERB,VVFIN,machen,machen
ein,DET,ART,ein,ein
...,PUNCT,$.,...,...
Ja,PART,PTKANT,ja,Ja
",",PUNCT,"$,",",",","
wie,CONJ,KOKOM,wie,weiß
ein,DET,ART,ein,ein
Messer,NOUN,NN,Messer,Messer
auf,ADP,APPR,auf,auf
dem,DET,ART,der,dem
Schleifstein,NOUN,NN,Schleifstein,Schleifstein
.,PUNCT,$.,.,.
Wie,CONJ,KOKOM,wie,wie
ein,DET,ART,ein,ein
Feuerzeug,NOUN,NN,Feuerzeug,Feuerzeug
.,PUNCT,$.,.,.
Ein,DET,ART,ein,Ein
Funke,NOUN,NN,Funke,Funk
.,PUNCT,$.,.,.
Funke,NOUN,NN,Funke,Funke
...,PUNCT,$(,...,...
gut,ADJ,ADJD,gut,gut
.,PUNCT,$.,.,.
Anateo,PROPN,NE,Anateo,Anateo
hat,AUX,VAFIN,haben,haben
uns,PRON,PPER,wir,uns
alle,PRON,PIS,alle,all
verraten,VERB,VVPP,verraten,verraten
und,CONJ,KON,und,und
er,PRON,PPER,er,er
wird,AUX,VAFIN,werden,werden
dafür,ADV,PAV,dafür,dafür
bezahlen,VERB,VVINF,bezahlen,bezahlen
.,PUNCT,$.,.,.
Und,CONJ,KON,und,Und
wegen,ADP,APPR,wegen,wegen
der,DET,ART,der,der
Tau'ri,PROPN,NE,Tau'ri,Tau'ri
...,PUNCT,$(,...,...
sie,PRON,PPER,sie,sie
befanden,VERB,VVFIN,befinden,befinden
sich,PRON,PRF,sich,sich
schon,ADV,ADV,schon,schon
im,ADP,APPRART,in,im
Krieg,NOUN,NN,Krieg,Krieg
gegen,ADP,APPR,gegen,gegen
uns,PRON,PPER,wir,uns
und,CONJ,KON,und,und
wir,PRON,PPER,wir,wir
gegen,ADP,APPR,gegen,gegen
sie,PRON,PPER,sie,sie
...,PUNCT,$.,...,...
und,CONJ,KON,und,und
ich,PRON,PPER,ich,ich
werde,AUX,VAFIN,werden,werden
mich,PRON,PRF,ich,mich
nicht,PART,PTKNEG,nicht,nicht
ängstlich,ADJ,ADJD,ängstlich,ängstlich
verkriechen,VERB,VVINF,verkriechen,verkriechen
.,PUNCT,$.,.,.
Sagt,VERB,VVIMP,sagen,sagen
das,PRON,PDS,der,das
weiter,PART,PTKVZ,weiter,weiter
.,PUNCT,$.,.,.
Sofort,ADV,ADV,sofort,Dad
!,PUNCT,$.,!,!
Kefflin,PROPN,NE,Kefflin,Kefflin
.,PUNCT,$.,.,.
Es,PRON,PPER,es,Es
gab,VERB,VVFIN,geben,geben
Gerüchte,NOUN,NN,Gerücht,Gerücht
wegen,ADP,APPR,wegen,wegen
der,DET,ART,der,der
Stärke,NOUN,NN,Stärke,Stärke
deiner,DET,PPOSAT,dein,dein
Führung,NOUN,NN,Führung,Führung
.,PUNCT,$.,.,.
Jetzt,ADV,ADV,jetzt,Jetzt
werden,AUX,VAFIN,werden,werden
diese,DET,PDAT,dieser,dies
Gerüchte,NOUN,NN,Gerücht,Gerücht
aufhören,VERB,VVINF,aufhören,aufhören
.,PUNCT,$.,.,.
Und,CONJ,KON,und,und
?,PUNCT,$.,?,?
Wirst,AUX,VAFIN,werden,Werden
du,PRON,PPER,du,du
es,PRON,PPER,es,es
so,ADV,ADV,so,so
lassen,VERB,VVINF,lassen,lassen
oder,CONJ,KON,oder,oder
wirst,AUX,VAFIN,werden,werden
du,PRON,PPER,du,du
das,PRON,PDS,der,das
in,ADP,APPR,in,in
Ordnung,NOUN,NN,Ordnung,Ordnung
bringen,VERB,VVINF,bringen,bringen
?,PUNCT,$.,?,?
Bist,AUX,VAFIN,sein,Sein
du,PRON,PPER,du,Du
glücklich,ADJ,ADJD,glücklich,glücklich
?,PUNCT,$.,?,?
Ja,PART,PTKANT,ja,Ok
.,PUNCT,$.,.,.
-,PUNCT,$(,-,-
Es,PRON,PPER,es,Es
ist,AUX,VAFIN,sein,sein
nett,ADJ,ADJD,nett,netto
von,ADP,APPR,von,von
dir,PRON,PPER,du,dir
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
du,PRON,PPER,du,du
hilfst,VERB,VVFIN,helfen,helfen
.,PUNCT,$.,.,.
-,PUNCT,$(,-,-
Einmal,ADV,ADV,einmal,einmal
ein,DET,ART,ein,ein
Pfadfinder,NOUN,NN,Pfadfinder,Pfadfinder
",",PUNCT,"$,",",",","
immer,ADV,ADV,immer,immer
ein,DET,ART,ein,ein
Pfadfinder,NOUN,NN,Pfadfinder,Pfadfinder
.,PUNCT,$.,.,.
-,PUNCT,$(,-,-
Du,PRON,PPER,du,Du
warst,AUX,VAFIN,sein,sein
nie,ADV,ADV,nie,nie
ein,DET,ART,ein,ein
Pfandfinder,NOUN,NN,Pfadfinder,Pfandfinder
.,PUNCT,$.,.,.
-,PUNCT,$(,-,-
Offensichtlich,ADV,ADV,offensichtlich,offensichtlich
habe,AUX,VAFIN,haben,haben
ich,PRON,PPER,ich,ich
mein,DET,PPOSAT,mein,mein
...,PUNCT,$.,...,...
Verdienstabzeichen,NOUN,NN,Verdienstabzeichen,Verdienstabzeichen
für,ADP,APPR,für,für
