token,tag,tag_STTS,lemma_gold,lemma_pred
Du,_,PPER,du,Du
willst,_,VMFIN,wollen,wollen
alles,_,PIS,alle,alle
wissen,_,VVINF,wissen,wissen
.,_,$.,.,.
Es,_,PPER,es,ich
ist,_,VAFIN,sein,sein
mein,_,PPOSAT,mein,meinen
Töff,_,NN,Töff,Töff
",",_,"$,",",",","
oder,_,KON,oder,oder
!,_,$.,!,!
Gut,_,ADJD,gut,Gut
",",_,"$,",",",","
also,_,ADV,also,also
das,_,ART,der,der
Benzin,_,NN,Benzin,Benzin
geht,_,VVFIN,gehen,gehen
hier,_,ADV,hier,hier
durch,_,PTKVZ,durch,durch
",",_,"$,",",",","
da,_,ADV,da,da
hinein,_,PTKVZ,hinein,hinein
.,_,$.,.,.
Da,_,ADV,da,da
drin,_,PAV,drin,drin
ist,_,VAFIN,sein,sein
es,_,PPER,es,ich
sehr,_,ADV,sehr,sehr
heiss,_,ADJD,heiß,heiss
.,_,$.,.,.
Dann,_,ADV,dann,Dann
die,_,ART,der,der
Kerze,_,NN,Kerze,Kerze
maken,_,VVFIN,machen,maken
ein,_,ART,ein,einen
...,_,$.,...,...
Ja,_,PTKANT,ja,Ja
",",_,"$,",",",","
wie,_,KOKOM,wie,wie
ein,_,ART,ein,einen
Messer,_,NN,Messer,Messer
auf,_,APPR,auf,auf
dem,_,ART,der,der
Schleifstein,_,NN,Schleifstein,Schleifstein
.,_,$.,.,.
Wie,_,KOKOM,wie,Wie
ein,_,ART,ein,einen
Feuerzeug,_,NN,Feuerzeug,Feuerzeug
.,_,$.,.,.
Ein,_,ART,ein,Ein
Funke,_,NN,Funke,Funke
.,_,$.,.,.
Funke,_,NN,Funke,Funke
...,_,$(,...,...
gut,_,ADJD,gut,gut
.,_,$.,.,.
Anateo,_,NE,Anateo,Anateo
hat,_,VAFIN,haben,haben
uns,_,PPER,wir,sich
alle,_,PIS,alle,all
verraten,_,VVPP,verraten,verraten
und,_,KON,und,und
er,_,PPER,er,ich
wird,_,VAFIN,werden,werden
dafür,_,PAV,dafür,dafür
bezahlen,_,VVINF,bezahlen,bezahlen
.,_,$.,.,.
Und,_,KON,und,und
wegen,_,APPR,wegen,wegen
der,_,ART,der,der
Tau'ri,_,NE,Tau'ri,Tau'ri
...,_,$(,...,...
sie,_,PPER,sie,ich
befanden,_,VVFIN,befinden,befinden
sich,_,PRF,sich,sich
schon,_,ADV,schon,schon
im,_,APPRART,in,im
Krieg,_,NN,Krieg,Krieg
gegen,_,APPR,gegen,gegen
uns,_,PPER,wir,sich
und,_,KON,und,und
wir,_,PPER,wir,ich
gegen,_,APPR,gegen,gegen
sie,_,PPER,sie,ich
...,_,$.,...,...
und,_,KON,und,und
ich,_,PPER,ich,ich
werde,_,VAFIN,werden,werden
mich,_,PRF,ich,sich
nicht,_,PTKNEG,nicht,nicht
ängstlich,_,ADJD,ängstlich,ängstlich
verkriechen,_,VVINF,verkriechen,verkriechen
.,_,$.,.,.
Sagt,_,VVIMP,sagen,Sagt
das,_,PDS,der,der
weiter,_,PTKVZ,weiter,weit
.,_,$.,.,.
Schickt,_,VVIMP,schicken,Schickt
alle,_,PIAT,aller,all
verfügbaren,_,ADJA,verfügbar,verfügbar
Schiffe,_,NN,Schiff,Schiffe
.,_,$.,.,.
Ich,_,PPER,ich,Ich
will,_,VMFIN,wollen,wollen
",",_,"$,",",",","
dass,_,KOUS,dass,dass
die,_,ART,der,der
0dyssey,_,NE,Odyssey,0dyssey
gefunden,_,VVPP,finden,finden
wird,_,VAFIN,werden,werden
.,_,$.,.,.
Sofort,_,ADV,sofort,Sofort
!,_,$.,!,!
Kefflin,_,NE,Kefflin,Kefflin
.,_,$.,.,.
War,_,VAFIN,sein,sein
es,_,PPER,es,ich
wirklich,_,ADV,wirklich,wirklich
nötig,_,ADJD,nötig,nötigen
",",_,"$,",",",","
mich,_,PPER,ich,sich
so,_,ADV,so,so
zu,_,PTKZU,zu,zu
blamieren,_,VVINF,blamieren,blamieren
?,_,$.,?,?
Es,_,PPER,es,ich
