token,tag,tag_STTS,lemma_gold,lemma_pred
Heute,_,ADV,heute,
wird,_,VAFIN,werden,
von,_,APPR,von,
Monaco,_,NE,Monaco,
aus,_,APZR,aus,
z.B.,_,ADV,z.B.,
nach,_,APPR,nach,
Europa,_,NE,Europa,
und,_,KON,und,
North,_,FM,North,
Afrika,_,NE,Afrika,
in,_,APPR,in,
mehr,_,ADV,mehr,
als,_,KOKOM,als,
20,_,CARD,20,
Sprachen,_,NN,Sprache,
",",_,"$,",",",
das,_,ART,der,
Evangelium,_,NN,Evangelium,
verbreitet,_,VVPP,verbreiten,
.,_,$.,.,
Auch,_,ADV,auch,
für,_,APPR,für,
uns,_,PPER,wir,
als,_,KOKOM,als,
Gemeinde,_,NN,Gemeinde,
wird,_,VAFIN,werden,
Gott,_,NN,Gott,
sorgen,_,VVINF,sorgen,
",",_,"$,",",",
wenn,_,KOUS,wenn,
wir,_,PPER,wir,
ganz,_,ADV,ganz,
und,_,KON,und,
gar,_,ADV,gar,
ihm,_,PPER,er,
dienen,_,VVFIN,dienen,
.,_,$.,.,
Und,_,KON,und,
als,_,KOKOM,als,
Zweites,_,NN,Zweite,
sagt,_,VVFIN,sagen,
Jesus,_,NE,Jesus,
",",_,"$,",",",
lohnt,_,VVFIN,lohnen,
es,_,PPER,es,
sich,_,PRF,sich,
",",_,"$,",",",
weil,_,KOUS,weil,
wir,_,PPER,wir,
in,_,APPR,in,
der,_,ART,der,
neuen,_,ADJA,neu,
Welt,_,NN,Welt,
im,_,APPRART,in,
neuen,_,ADJA,neu,
Zeitalter,_,NN,Zeitalter,
",",_,"$,",",",
das,_,ART,der,
ewige,_,ADJA,ewig,
Leben,_,NN,Leben,
bekommen,_,VVFIN,bekommen,
.,_,$.,.,
Das,_,ART,der,
ewige,_,ADJA,ewig,
Leben,_,NN,Leben,
ist,_,VAFIN,sein,
das,_,ART,der,
höchste,_,ADJA,hoch,
Gut,_,NN,Gut,
",",_,"$,",",",
das,_,PRELS,der,
ein,_,ART,ein,
Mensch,_,NN,Mensch,
bekommen,_,VVINF,bekommen,
kann,_,VMFIN,können,
.,_,$.,.,
Es,_,PPER,es,
gibt,_,VVFIN,geben,
nichts,_,PIAT,nichts,
anstrebenswerteres,_,NN,Anstrebenswertere,
als,_,KOKOM,als,
das,_,ART,der,
ewige,_,ADJA,ewig,
Leben,_,NN,Leben,
.,_,$.,.,
Es,_,PPER,es,
war,_,VAFIN,sein,
am,_,APPRART,an,
Ende,_,NN,Ende,
meines,_,PPOSAT,mein,
Theologiestudiums,_,NN,Theologiestudium,
.,_,$.,.,
Ich,_,PPER,ich,
war,_,VAFIN,sein,
voll,_,ADJD,voll,
getankt,_,ADJD,getankt,
mit,_,APPR,mit,
Erkenntnissen,_,NN,Erkenntnis,
",",_,"$,",",",
voll,_,ADJD,voll,
gepumpt,_,ADJD,gepumpt,
mit,_,APPR,mit,
theoretischem,_,ADJA,theoretisch,
Wissen,_,NN,Wissen,
.,_,$.,.,
Zuhause,_,ADV,zuhause,
lag,_,VVFIN,liegen,
nach,_,APPR,nach,
langem,_,ADJA,lang,
Krebsleiden,_,NN,Krebsleiden,
die,_,ART,der,
schwer,_,ADJD,schwer,
geprüfte,_,ADJA,geprüft,
Großmutter,_,NN,Großmutter,
mit,_,APPR,mit,
ihrem,_,PPOSAT,ihr,
zerfressenen,_,ADJA,zerfressen,
Gesicht,_,NN,Gesicht,
.,_,$.,.,
Mir,_,PPER,ich,
aber,_,ADV,aber,
war,_,VAFIN,sein,
der,_,ART,der,
Mund,_,NN,Mund,
verschlossen,_,VVPP,verschlossen,
.,_,$.,.,
Kein,_,PIAT,kein,
Gebetssatz,_,NN,Gebetssatz,
war,_,VAFIN,sein,
abrufbar,_,ADJD,abrufbar,
",",_,"$,",",",
keine,_,PIS,keiner,
der,_,ART,der,
vielen,_,PIAT,vieler,
einst,_,ADV,einst,
auswendig,_,ADV,auswendig,
gelernten,_,ADJA,gelernt,
Liedzeilen,_,NN,Liedzeile,
.,_,$.,.,
Schrecklich,_,ADJD,schrecklich,
",",_,"$,",",",
unvorstellbar,_,ADJD,unvorstellbar,
schrecklich,_,ADJD,schrecklich,
!,_,$.,!,
Seit,_,APPR,seit,
jenem,_,PDAT,jener,
Augenblick,_,NN,Augenblick,
weiß,_,VVFIN,wissen,
ich,_,PPER,ich,
:,_,$.,:,
Es,_,PPER,es,
kann,_,VMFIN,können,
die,_,ART,der,
ganze,_,ADJA,ganz,
Quintessenz,_,NN,Quintessenz,
meiner,_,PPOSAT,mein,
Frömmigkeit,_,NN,Frömmigkeit,
null,_,ADJD,null,
und,_,KON,und,
nichtig,_,ADJD,nichtig,
sein,_,VAINF,sein,
!,_,$.,!,
Unbrauchbar,_,ADJD,unbrauchbar,
.,_,$.,.,
Das,_,PDS,der,
ist,_,VAFIN,sein,
ein,_,ART,ein,
wunderbares,_,ADJA,wunderbar,
Geheimnis,_,NN,Geheimnis,
.,_,$.,.,
Das,_,PDS,der,
heißt,_,VVFIN,heißen,
",",_,"$,",",",
ich,_,PPER,ich,
verstehe,_,VVFIN,verstehen,
es,_,PPER,es,
nicht,_,PTKNEG,nicht,
mit,_,APPR,mit,
meinem,_,PPOSAT,mein,
Kopf,_,NN,Kopf,
",",_,"$,",",",
aber,_,KON,aber,
es,_,PPER,es,
ist,_,VAFIN,sein,
trotzdem,_,ADV,trotzdem,
wahr,_,ADJD,wahr,
und,_,KON,und,
ein,_,ART,ein,
Faktum,_,NN,Faktum,
",",_,"$,",",",
dass,_,KOUS,dass,
dieser,_,PDAT,dieser,
Jesus,_,NE,Jesus,
Christus,_,NE,Christus,
mich,_,PPER,ich,
schon,_,ADV,schon,
gekannt,_,VVPP,kennen,
hat,_,VAFIN,haben,
",",_,"$,",",",
bevor,_,KOUS,bevor,
ich,_,PPER,ich,
geboren,_,VVPP,gebären,
wurde,_,VAFIN,werden,
.,_,$.,.,
Bevor,_,KOUS,bevor,
ich,_,PPER,ich,
gezeugt,_,VVPP,zeugen,
wurde,_,VAFIN,werden,
",",_,"$,",",",
er,_,PPER,er,
kennt,_,VVFIN,kennen,
mich,_,PPER,ich,
.,_,$.,.,
Gott,_,NN,Gott,
hat,_,VAFIN,haben,
einen,_,ART,ein,
Plan,_,NN,Plan,
für,_,APPR,für,
mein,_,PPOSAT,mein,
Leben,_,NN,Leben,
",",_,"$,",",",
er,_,PPER,er,
sucht,_,VVFIN,suchen,
mich,_,PPER,ich,
.,_,$.,.,
Warum,_,PWAV,warum,
nicht,_,PTKNEG,nicht,
",",_,"$,",",",
wenn,_,KOUS,wenn,
man,_,PIS,man,
arbeitslos,_,ADJD,arbeitslos,
ist,_,VAFIN,sein,
",",_,"$,",",",
in,_,APPR,in,
der,_,ART,der,
Gemeinde,_,NN,Gemeinde,
oder,_,KON,oder,
in,_,APPR,in,
einem,_,ART,ein,
christlichen,_,ADJA,christlich,
Werk,_,NN,Werk,
zupacken,_,VVINF,zupacken,
?,_,$.,?,
Warum,_,PWAV,warum,
nicht,_,PTKNEG,nicht,
Verantwortung,_,NN,Verantwortung,
übernehmen,_,VVINF,übernehmen,
und,_,KON,und,
auch,_,ADV,auch,
Opfer,_,NN,Opfer,
bringen,_,VVINF,bringen,
",",_,"$,",",",
die,_,PRELS,der,
uns,_,PPER,wir,
etwas,_,PIS,etwas,
kosten,_,VVFIN,kosten,
",",_,"$,",",",
z.B.,_,ADV,z.B.,
die,_,ART,der,
Kinder,_,NN,Kind,
während,_,APPR,während,
dem,_,ART,der,
Gottesdienst,_,NN,Gottesdienst,
hüten,_,VVINF,hüten,
und,_,KON,und,
in,_,APPR,in,
Kauf,_,NN,Kauf,
nehmen,_,VVINF,nehmen,
",",_,"$,",",",
dass,_,KOUS,dass,
man,_,PIS,man,
deshalb,_,PAV,deshalb,
nicht,_,PTKNEG,nicht,
am,_,APPRART,an,
Gottesdienst,_,NN,Gottesdienst,
teilnehmen,_,VVINF,teilnehmen,
kann,_,VMFIN,können,
.,_,$.,.,
Ich,_,PPER,ich,
weiss,_,VVFIN,wissen,
",",_,"$,",",",
viele,_,PIS,viele,
von,_,APPR,von,
uns,_,PPER,wir,
tun,_,VVFIN,tun,
dies,_,PDS,dieser,
",",_,"$,",",",
sonst,_,ADV,sonst,
würde,_,VAFIN,werden,
unsere,_,PPOSAT,unser,
Gemeinde,_,NN,Gemeinde,
gar,_,ADV,gar,
nicht,_,PTKNEG,nicht,
funktionieren,_,VVINF,funktionieren,
.,_,$.,.,
Aber,_,KON,aber,
trotzdem,_,ADV,trotzdem,
hört,_,VVFIN,hören,
man,_,PIS,man,
aus,_,APPR,aus,
vielen,_,PIAT,vieler,
Gemeinden,_,NN,Gemeinde,
immer,_,ADV,immer,
wieder,_,ADV,wieder,
die,_,ART,der,
Klage,_,NN,Klage,
",",_,"$,",",",
dass,_,KOUS,dass,
Mitarbeiter,_,NN,Mitarbeiter,
fehlen,_,VVFIN,fehlen,
",",_,"$,",",",
auch,_,ADV,auch,
wenn,_,KOUS,wenn,
die,_,ART,der,
Gemeinden,_,NN,Gemeinde,
gross,_,ADJD,groß,
sind,_,VAFIN,sein,
.,_,$.,.,
Vor,_,APPR,vor,
allem,_,PIS,alle,
Mitarbeiten,_,NN,Mitarbeiter,
",",_,"$,",",",
die,_,PRELS,der,
Verantwortung,_,NN,Verantwortung,
übernehmen,_,VVFIN,übernehmen,
und,_,KON,und,
nicht,_,PTKNEG,nicht,
nur,_,ADV,nur,
punktuell,_,ADJD,punktuell,
einen,_,ART,ein,
Dienst,_,NN,Dienst,
tun,_,VVFIN,tun,
.,_,$.,.,
wer,_,PWS,wer,
unter,_,APPR,unter,
euch,_,PPER,ihr,
der,_,ART,der,
Erste,_,NN,Erste,
sein,_,VAINF,sein,
will,_,VMFIN,wollen,
",",_,"$,",",",
soll,_,VMFIN,sollen,
zum,_,APPRART,zu,
Dienst,_,NN,Dienst,
an,_,APPR,an,
den,_,ART,der,
anderen,_,PIS,anderer,
bereit,_,ADJD,bereit,
sein,_,VAINF,sein,
.,_,$.,.,
Matthäus,_,NE,Matthäus,
20,_,CARD,20,
",",_,"$,",",",
27,_,CARD,27,
.,_,$.,.,
Jesus,_,NE,Jesus,
lebte,_,VVFIN,leben,
selbst,_,ADV,selbst,
nach,_,APPR,nach,
diesen,_,PDAT,dieser,
Regeln,_,NN,Regel,
",",_,"$,",",",
eben,_,ADV,eben,
den,_,ART,der,
Regeln,_,NN,Regel,
des,_,ART,der,
Reiches,_,NN,Reich,
Gottes,_,NN,Gott,
.,_,$.,.,
Denn,_,KON,denn,
auch,_,ADV,auch,
der,_,ART,der,
Menschensohn,_,NN,Menschensohn,
ist,_,VAFIN,sein,
nicht,_,PTKNEG,nicht,
gekommen,_,VVPP,kommen,
",",_,"$,",",",
um,_,KOUI,um,
sich,_,PRF,sich,
dienen,_,VVINF,dienen,
zu,_,PTKZU,zu,
lassen,_,VVINF,lassen,
",",_,"$,",",",
sondern,_,KON,sondern,
um,_,KOUI,um,
zu,_,PTKZU,zu,
dienen,_,VVINF,dienen,
und,_,KON,und,
sein,_,PPOSAT,sein,
Leben,_,NN,Leben,
als,_,KOKOM,als,
Lösegeld,_,NN,Lösegeld,
für,_,APPR,für,
viele,_,PIS,viele,
hinzugeben,_,VVIZU,hingeben,
.,_,$.,.,
Matthäus,_,NE,Matthäus,
20,_,CARD,20,
",",_,"$,",",",
28,_,CARD,28,
.,_,$.,.,
Wir,_,PPER,wir,
sehen,_,VVFIN,sehen,
",",_,"$,",",",
das,_,ART,der,
Reich,_,NN,Reich,
Gottes,_,NN,Gott,
