token,tag,tag_STTS,lemma_gold,lemma_pred
Du,_,PPER,du,
willst,_,VMFIN,wollen,
alles,_,PIS,alle,
wissen,_,VVINF,wissen,
.,_,$.,.,
Es,_,PPER,es,
ist,_,VAFIN,sein,
mein,_,PPOSAT,mein,
Töff,_,NN,Töff,
",",_,"$,",",",
oder,_,KON,oder,
!,_,$.,!,
Gut,_,ADJD,gut,
",",_,"$,",",",
also,_,ADV,also,
das,_,ART,der,
Benzin,_,NN,Benzin,
geht,_,VVFIN,gehen,
hier,_,ADV,hier,
durch,_,PTKVZ,durch,
",",_,"$,",",",
da,_,ADV,da,
hinein,_,PTKVZ,hinein,
.,_,$.,.,
Da,_,ADV,da,
drin,_,PAV,drin,
ist,_,VAFIN,sein,
es,_,PPER,es,
sehr,_,ADV,sehr,
heiss,_,ADJD,heiß,
.,_,$.,.,
Dann,_,ADV,dann,
die,_,ART,der,
Kerze,_,NN,Kerze,
maken,_,VVFIN,machen,
ein,_,ART,ein,
...,_,$.,...,
Ja,_,PTKANT,ja,
",",_,"$,",",",
wie,_,KOKOM,wie,
ein,_,ART,ein,
Messer,_,NN,Messer,
auf,_,APPR,auf,
dem,_,ART,der,
Schleifstein,_,NN,Schleifstein,
.,_,$.,.,
Wie,_,KOKOM,wie,
ein,_,ART,ein,
Feuerzeug,_,NN,Feuerzeug,
.,_,$.,.,
Ein,_,ART,ein,
Funke,_,NN,Funke,
.,_,$.,.,
Funke,_,NN,Funke,
...,_,$(,...,
gut,_,ADJD,gut,
.,_,$.,.,
Anateo,_,NE,Anateo,
hat,_,VAFIN,haben,
uns,_,PPER,wir,
alle,_,PIS,alle,
verraten,_,VVPP,verraten,
und,_,KON,und,
er,_,PPER,er,
wird,_,VAFIN,werden,
dafür,_,PAV,dafür,
bezahlen,_,VVINF,bezahlen,
.,_,$.,.,
Und,_,KON,und,
wegen,_,APPR,wegen,
der,_,ART,der,
Tau'ri,_,NE,Tau'ri,
...,_,$(,...,
sie,_,PPER,sie,
befanden,_,VVFIN,befinden,
sich,_,PRF,sich,
schon,_,ADV,schon,
im,_,APPRART,in,
Krieg,_,NN,Krieg,
gegen,_,APPR,gegen,
uns,_,PPER,wir,
und,_,KON,und,
wir,_,PPER,wir,
gegen,_,APPR,gegen,
sie,_,PPER,sie,
...,_,$.,...,
und,_,KON,und,
ich,_,PPER,ich,
werde,_,VAFIN,werden,
mich,_,PRF,ich,
nicht,_,PTKNEG,nicht,
ängstlich,_,ADJD,ängstlich,
verkriechen,_,VVINF,verkriechen,
.,_,$.,.,
Sagt,_,VVIMP,sagen,
das,_,PDS,der,
weiter,_,PTKVZ,weiter,
.,_,$.,.,
Schickt,_,VVIMP,schicken,
alle,_,PIAT,aller,
verfügbaren,_,ADJA,verfügbar,
Schiffe,_,NN,Schiff,
.,_,$.,.,
Ich,_,PPER,ich,
will,_,VMFIN,wollen,
",",_,"$,",",",
dass,_,KOUS,dass,
die,_,ART,der,
0dyssey,_,NE,Odyssey,
gefunden,_,VVPP,finden,
wird,_,VAFIN,werden,
.,_,$.,.,
Sofort,_,ADV,sofort,
!,_,$.,!,
Kefflin,_,NE,Kefflin,
.,_,$.,.,
War,_,VAFIN,sein,
es,_,PPER,es,
wirklich,_,ADV,wirklich,
nötig,_,ADJD,nötig,
",",_,"$,",",",
mich,_,PPER,ich,
so,_,ADV,so,
zu,_,PTKZU,zu,
blamieren,_,VVINF,blamieren,
?,_,$.,?,
Es,_,PPER,es,
gab,_,VVFIN,geben,
Gerüchte,_,NN,Gerücht,
wegen,_,APPR,wegen,
der,_,ART,der,
Stärke,_,NN,Stärke,
deiner,_,PPOSAT,dein,
Führung,_,NN,Führung,
.,_,$.,.,
Jetzt,_,ADV,jetzt,
werden,_,VAFIN,werden,
diese,_,PDAT,dieser,
Gerüchte,_,NN,Gerücht,
aufhören,_,VVINF,aufhören,
.,_,$.,.,
Und,_,KON,und,
?,_,$.,?,
Wirst,_,VAFIN,werden,
du,_,PPER,du,
es,_,PPER,es,
so,_,ADV,so,
lassen,_,VVINF,lassen,
oder,_,KON,oder,
wirst,_,VAFIN,werden,
du,_,PPER,du,
das,_,PDS,der,
in,_,APPR,in,
Ordnung,_,NN,Ordnung,
bringen,_,VVINF,bringen,
?,_,$.,?,
Bist,_,VAFIN,sein,
du,_,PPER,du,
glücklich,_,ADJD,glücklich,
?,_,$.,?,
Ja,_,PTKANT,ja,
.,_,$.,.,
-,_,$(,-,
Es,_,PPER,es,
ist,_,VAFIN,sein,
nett,_,ADJD,nett,
von,_,APPR,von,
dir,_,PPER,du,
",",_,"$,",",",
dass,_,KOUS,dass,
du,_,PPER,du,
hilfst,_,VVFIN,helfen,
.,_,$.,.,
-,_,$(,-,
Einmal,_,ADV,einmal,
ein,_,ART,ein,
Pfadfinder,_,NN,Pfadfinder,
",",_,"$,",",",
immer,_,ADV,immer,
ein,_,ART,ein,
Pfadfinder,_,NN,Pfadfinder,
.,_,$.,.,
-,_,$(,-,
Du,_,PPER,du,
warst,_,VAFIN,sein,
nie,_,ADV,nie,
ein,_,ART,ein,
Pfandfinder,_,NN,Pfadfinder,
.,_,$.,.,
-,_,$(,-,
Offensichtlich,_,ADV,offensichtlich,
habe,_,VAFIN,haben,
ich,_,PPER,ich,
mein,_,PPOSAT,mein,
...,_,$.,...,
Verdienstabzeichen,_,NN,Verdienstabzeichen,
für,_,APPR,für,
Biberfallen,_,NN,Biberfalle,
bekommen,_,VVPP,bekommen,
.,_,$.,.,
-,_,$(,-,
Konzentriere,_,VVIMP,konzentrieren,
dich,_,PRF,du,
lieber,_,ADV,lieber,
da,_,ADV,da,
drauf,_,PAV,drauf,
.,_,$.,.,
Kommt,_,VVIMP,kommen,
mit,_,APPR,mit,
mir,_,PPER,ich,
.,_,$.,.,
Wisst,_,VVFIN,wissen,
ihr,_,PPER,ihr,
",",_,"$,",",",
wie,_,PWAV,wie,
wertvoll,_,ADJD,wertvoll,
diese,_,PDAT,dieser,
Mohnblumen,_,NN,Mohnblume,
waren,_,VAFIN,sein,
?,_,$.,?,
In,_,APPR,in,
Rauch,_,NN,Rauch,
aufgegangen,_,VVPP,aufgehen,
.,_,$.,.,
-,_,$(,-,
Was,_,PWS,was,
?,_,$.,?,
Hat,_,VAFIN,haben,
sie,_,PPER,sie,
jemand,_,PIS,jemand,
angezündet,_,VVPP,anzünden,
?,_,$.,?,
-,_,$(,-,
Ja,_,PTKANT,ja,
.,_,$.,.,
Betrunkene,_,ADJA,betrunken,
irische,_,ADJA,irisch,
Familie,_,NN,Familie,
",",_,"$,",",",
die,_,ART,der,
Straße,_,NN,Straße,
hoch,_,ADV,hoch,
.,_,$.,.,
Die,_,ART,der,
O'Hallorans,_,NE,O'Halloran,
.,_,$.,.,
Warum,_,PWAV,warum,
?,_,$.,?,
Was,_,PWS,was,
hast,_,VAFIN,haben,
du,_,PPER,du,
getan,_,VVPP,tun,
",",_,"$,",",",
um,_,KOUI,um,
sie,_,PPER,sie,
zu,_,PTKZU,zu,
verärgern,_,VVINF,verärgern,
?,_,$.,?,
-,_,$(,-,
Arbeitet,_,VVFIN,arbeiten,
sie,_,PPER,sie,
nicht,_,PTKNEG,nicht,
für,_,APPR,für,
dich,_,PPER,du,
",",_,"$,",",",
Vince,_,NE,Vince,
?,_,$.,?,
-,_,$(,-,
Ja,_,PTKANT,ja,
",",_,"$,",",",
allerdings,_,ADV,allerdings,
.,_,$.,.,
Und,_,KON,und,
bei,_,APPR,bei,
E,_,NN,E,
einfach,_,ADV,einfach,
den,_,ART,der,
Hörer,_,NN,Hörer,
aufzulegen,_,VVIZU,auflegen,
",",_,"$,",",",
muss,_,VMFIN,müssen,
ziemlich,_,ADV,ziemlich,
entmannend,_,ADJD,entmannend,
gewesen,_,VAPP,sein,
sein,_,VAFIN,sein,
?,_,$.,?,
Fühlte,_,VVFIN,fühlen,
sich,_,PRF,sich,
an,_,PTKVZ,an,
",",_,"$,",",",
wie,_,KOUS,wie,
zum,_,APPRART,zu,
Direktor,_,NN,Direktor,
Reeve,_,NE,Reeve,
ins,_,APPRART,in,
Büro,_,NN,Büro,
gerufen,_,VVPP,rufen,
zu,_,PTKZU,zu,
werden,_,VAINF,werden,
.,_,$.,.,
Genauso,_,ADV,genauso,
wie,_,KOKOM,wie,
er,_,PPER,er,
",",_,"$,",",",
werde,_,VAFIN,werden,
ich,_,PPER,ich,
ihr,_,PPER,sie,
sagen,_,VVINF,sagen,
",",_,"$,",",",
wie,_,PWAV,wie,
es,_,PPER,es,
ist,_,VAFIN,sein,
.,_,$.,.,
Mach,_,VVIMP,machen,
das,_,PDS,der,
bitte,_,PTKANT,bitte,
",",_,"$,",",",
denn,_,KON,denn,
ich,_,PPER,ich,
mag,_,VMFIN,mögen,
ihr,_,PPER,sie,
nicht,_,PTKNEG,nicht,
aus,_,APPR,aus,
dem,_,ART,der,
Weg,_,NN,Weg,
gehen,_,VVINF,gehen,
.,_,$.,.,
Nein,_,PTKANT,nein,
",",_,"$,",",",
nein,_,PTKANT,nein,
.,_,$.,.,
Kein,_,PIAT,kein,
weiteres,_,ADJA,weiterer,
Ausweichen,_,NN,Ausweichen,
.,_,$.,.,
Wir,_,PPER,wir,
werden,_,VAFIN,werden,
ihr,_,PPER,sie,
sagen,_,VVINF,sagen,
",",_,"$,",",",
wir,_,PPER,wir,
machen,_,VVFIN,machen,
keinen,_,PIAT,kein,
Film,_,NN,Film,
über,_,APPR,über,
irgendwas,_,PIS,irgendwas,
",",_,"$,",",",
bis,_,KOUS,bis,
die,_,ART,der,
Kameras,_,NN,Kamera,
tatsächlich,_,ADV,tatsächlich,
für,_,APPR,für,
"""",_,$(,"""",
Medellin,_,NE,Medellin,
"""",_,$(,"""",
anlaufen,_,VVFIN,anlaufen,
.,_,$.,.,
Sie,_,PPER,sie,
wird,_,VAFIN,werden,
angepisst,_,ADJD,angepisst,
sein,_,VAINF,sein,
",",_,"$,",",",
wenn,_,KOUS,wenn,
sie,_,PPER,sie,
denkt,_,VVFIN,denken,
",",_,"$,",",",
du,_,PPER,du,
nimmst,_,VVFIN,nehmen,
Ari,_,NE,Ari,
ernst,_,PTKVZ,ernst,
.,_,$.,.,
Er,_,PPER,er,
sieht,_,VVFIN,sehen,
wie,_,KOKOM,wie,
Frankenstein,_,NE,Frankenstein,
aus,_,PTKVZ,aus,
.,_,$.,.,
Immerhin,_,ADV,immerhin,
läuft,_,VVFIN,laufen,
er,_,PPER,er,
ohne,_,APPR,ohne,
Krücken,_,NN,Krücke,
.,_,$.,.,
Ja,_,PTKANT,ja,
",",_,"$,",",",
ich,_,PPER,ich,
dachte,_,VVFIN,denken,
",",_,"$,",",",
er,_,PPER,er,
wäre,_,VAFIN,sein,
glücklicher,_,ADJD,glücklich,
darüber,_,PAV,darüber,
.,_,$.,.,
Ich,_,PPER,ich,
bin,_,VAFIN,sein,
glücklicher,_,ADJD,glücklich,
darüber,_,PAV,darüber,
.,_,$.,.,
Wie,_,PWAV,wie,
geht,_,VVFIN,gehen,
es,_,PPER,es,
dir,_,PPER,du,
",",_,"$,",",",
Maggie,_,NE,Maggie,
?,_,$.,?,
Langer,_,ADJA,lang,
Tag,_,NN,Tag,
.,_,$.,.,
Sieht,_,VVFIN,sehen,
so,_,ADV,so,
aus,_,PTKVZ,aus,
",",_,"$,",",",
als,_,KOUS,als,
fängt,_,VVFIN,fangen,
mein,_,PPOSAT,mein,
Tag,_,NN,Tag,
gerade,_,ADV,gerade,
an,_,PTKVZ,an,
.,_,$.,.,
Hal,_,NE,Hal,
.,_,$.,.,
Was,_,PWS,was,
ich,_,PPER,ich,
sage,_,VVFIN,sagen,
ist,_,VAFIN,sein,
",",_,"$,",",",
mit,_,APPR,mit,
dem,_,ART,der,
Militär,_,NN,Militär,
ausgenommen,_,VVPP,ausnehmen,
sind,_,VAFIN,sein,
es,_,PPER,es,
vielleicht,_,ADV,vielleicht,
vier,_,CARD,vier,
Leute,_,NN,Leute,
",",_,"$,",",",
die,_,PRELS,der,
genau,_,ADV,genau,
wissen,_,VVFIN,wissen,
",",_,"$,",",",
wie,_,KOUS,wie,
dieser,_,PDAT,dieser,
Ort,_,NN,Ort,
funktioniert,_,VVFIN,funktionieren,
.,_,$.,.,
-,_,$(,-,
Die,_,ART,der,
Vaginoplastie,_,NN,Vaginoplastie,
.,_,$.,.,
Wird,_,VAFIN,werden,
die,_,ART,der,
Vaginoplastie,_,NN,Vaginoplastie,
separat,_,ADJD,separat,
gemacht,_,VVPP,machen,
?,_,$.,?,
Genau,_,ADV,genau,
.,_,$.,.,
Das,_,PDS,der,
wird,_,VAFIN,werden,
einzeln,_,ADJD,einzeln,
gemacht,_,VVPP,machen,
.,_,$.,.,
Ich,_,PPER,ich,
möchte,_,VMFIN,mögen,
nicht,_,PTKNEG,nicht,
mehr,_,ADV,mehr,
als,_,KOKOM,als,
nötig,_,ADJD,nötig,
unter,_,APPR,unter,
Narkose,_,NN,Narkose,
gesetzt,_,VVPP,setzen,
werden,_,VAINF,werden,
.,_,$.,.,
Ich,_,PPER,ich,
bekomme,_,VVFIN,bekommen,
eine,_,ART,ein,
Narkose,_,NN,Narkose,
",",_,"$,",",",
und,_,KON,und,
dann,_,ADV,dann,
noch,_,ADV,noch,
eine,_,PIS,einer,
?,_,$.,?,
Es,_,PPER,es,
ist,_,VAFIN,sein,
ein,_,ART,ein,
schwerer,_,ADJA,schwer,
Eingriff,_,NN,Eingriff,
mit,_,APPR,mit,
einer,_,ART,ein,
langen,_,ADJA,lang,
Rekonvaleszenz,_,NN,Rekonvaleszenz,
.,_,$.,.,
Außerdem,_,PAV,außerdem,
brauchen,_,VVFIN,brauchen,
wir,_,PPER,wir,
dafür,_,PAV,dafür,
einen,_,ART,ein,
Spezialisten,_,NN,Spezialist,
.,_,$.,.,
Aufregend,_,ADJD,aufregend,
.,_,$.,.,
Ja,_,PTKANT,ja,
",",_,"$,",",",
das,_,PDS,der,
ist,_,VAFIN,sein,
es,_,PPER,es,
in,_,APPR,in,
der,_,ART,der,
Tat,_,NN,Tat,
.,_,$.,.,
-,_,$(,-,
Oh,_,ITJ,oh,
Gott,_,NN,Gott,
.,_,$.,.,
Das,_,PDS,der,
reicht,_,VVFIN,reichen,
",",_,"$,",",",
Dad,_,NE,Dad,
!,_,$.,!,
Weißt,_,VVFIN,wissen,
du,_,PPER,du,
",",_,"$,",",",
wovon,_,PWAV,wovon,
ich,_,PPER,ich,
rede,_,VVFIN,reden,
?,_,$.,?,
-,_,$(,-,
Verstehst,_,VVFIN,verstehen,
du,_,PPER,du,
mich,_,PPER,ich,
?,_,$.,?,
-,_,$(,-,
Dad,_,NE,Dad,
",",_,"$,",",",
das,_,PDS,der,
reicht,_,VVFIN,reichen,
!,_,$.,!,
Ich,_,PPER,ich,
gehe,_,VVFIN,gehen,
",",_,"$,",",",
ok,_,ADV,ok,
.,_,$.,.,
Ok,_,ADV,ok,
.,_,$.,.,
Gut,_,ADJD,gut,
.,_,$.,.,
Warte,_,VVIMP,warten,
...,_,$.,...,
Ja,_,PTKANT,ja,
",",_,"$,",",",
die,_,ART,der,
DVD,_,NN,DVD,
.,_,$.,.,
Okay,_,ADV,okay,
",",_,"$,",",",
ich,_,PPER,ich,
sehe,_,VVFIN,sehen,
mal,_,ADV,mal,
nach,_,PTKVZ,nach,
",",_,"$,",",",
ob,_,KOUS,ob,
wir,_,PPER,wir,
noch,_,ADV,noch,
gefrorene,_,ADJA,gefroren,
Soja-Pizza,_,NN,Soja-Pizza,
haben,_,VAFIN,haben,
.,_,$.,.,
Ausweise,_,NN,Ausweis,
.,_,$.,.,
-,_,$(,-,
Hi,_,ITJ,hi,
.,_,$.,.,
Echt,_,ADV,echt,
jetzt,_,ADV,jetzt,
?,_,$.,?,
Ja,_,PTKANT,ja,
",",_,"$,",",",
Baby,_,NE,Baby,
",",_,"$,",",",
man,_,PIS,man,
kann,_,VMFIN,können,
euer,_,PPOSAT,euer,
Alter,_,NN,Alter,
kaum,_,ADV,kaum,
noch,_,ADV,noch,
