token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
na,INTJ,ITJ,na,na
_,UNK,--,--,_
_,UNK,--,--,_
ist,AUX,VAFIN,sein,ist
doch,ADV,ADV,doch,doch
voll,ADV,ADV,voll,voll
egal,ADJ,ADJD,egal,egal
_,UNK,--,--,_
_,UNK,--,--,_
darauf,ADV,PAV,darauf,darauf
kommt,VERB,VVFIN,kommen,kommt
es,PRON,PPER,es,es
doch,ADV,ADV,doch,doch
gar,ADV,ADV,gar,gar
nicht,PART,PTKNEG,nicht,nicht
an,PART,PTKVZ,an,an
_,UNK,--,--,_
_,UNK,--,--,_
nein,PART,PTKANT,nein,nein
_,UNK,--,--,_
_,UNK,--,--,_
er,PRON,PPER,er,er
hat,AUX,VAFIN,haben,hat
es,PRON,PPER,es,es
halt,ADV,ADV,halt,halt
falsch,ADJ,ADJD,falsch,falsch
beschrieben,VERB,VVPP,beschreiben,beschrieben
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
mit,ADP,APPR,mit,mit
Handbreiten,NOUN,NN,Handbreite,Handbreiten
und,CONJ,KON,und,und
Zentimetern,NOUN,NN,Zentimeter,Zentimetern
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
hallo,INTJ,ITJ,hallo,hallo
_,UNK,--,--,_
_,UNK,--,--,_
ich,PRON,PPER,ich,ich
bin,AUX,VAFIN,sein,bin
anwesend,ADJ,ADJD,anwesend,anwesend
_,UNK,--,--,_
_,UNK,--,--,_
man,PRON,PIS,man,man
redet,VERB,VVFIN,reden,redet
nicht,PART,PTKNEG,nicht,nicht
von,ADP,APPR,von,von
anwesenden,ADJ,ADJA,anwesend,anwesenden
Personen,NOUN,NN,Person,Personen
_,UNK,--,--,_
_,UNK,--,--,_
wir,PRON,PPER,wir,wir
haben,AUX,VAFIN,haben,haben
alles,PRON,PIS,alles,alles
total,ADJ,ADJD,total,total
_,UNK,--,--,_
_,UNK,--,--,_
okay,ADV,ADV,okay,okay
_,UNK,--,--,_
danke,PART,PTKANT,Danke,danke
_,PUNCT,$.,.,_
hallo,INTJ,ITJ,Hallo,hallo
_,PUNCT,"$,",",",_
Therese,PROPN,NE,Therese,Therese
_,PUNCT,$.,.,_
hallo,INTJ,ITJ,Hallo,hallo
_,PUNCT,"$,",",",_
Alex,PROPN,NE,Alex,Alex
_,PUNCT,$.,.,_
da,ADV,ADV,Da,da
bin,AUX,VAFIN,bin,bin
ich,PRON,PPER,ich,ich
schon,ADV,ADV,schon,schon
wieder,ADV,ADV,wieder,wieder
_,PUNCT,$.,.,_
na,INTJ,ITJ,Na,na
_,PUNCT,"$,",",",_
Mensch,NOUN,NN,Mensch,Mensch
_,PUNCT,$.,.,_
so,ADV,ADV,So,so
_,PUNCT,$.,.,_
jetzt,ADV,ADV,Jetzt,jetzt
beschreibe,VERB,VVFIN,beschreibe,beschreibe
ich,PRON,PPER,ich,ich
dir,PRON,PPER,dir,dir
mal,ADV,ADV,mal,mal
einen,DET,ART,einen,einen
Weg,NOUN,NN,Weg,Weg
_,PUNCT,$.,.,_
tue,VERB,VVFIN,Tue,tue
dies,PRON,PDS,dies,dies
_,PUNCT,$.,!,_
so,ADV,ADV,So,so
_,PUNCT,$.,.,_
hast,AUX,VAFIN,Hast,hast
du,PRON,PPER,du,du
unten,ADV,ADV,unten,unten
links,ADV,ADV,links,links
so,ADV,ADV,so,so
einen,DET,ART,einen,einen
Startpunkt,NOUN,NN,Startpunkt,Startpunkt
_,PUNCT,$.,?,_
nein,PART,PTKANT,Nein,nein
_,PUNCT,$.,.,_
nein,PART,PTKANT,Nein,nein
_,PUNCT,$.,.,_
doch,PART,PTKANT,Doch,doch
_,PUNCT,$.,.,_
_,PRON,PPER,Du,_
_,AUX,VAFIN,hast,_
_,DET,ART,den,_
auf,ADP,APPR,auf,auf
jeden,DET,PIAT,jeden,jeden
Fall,NOUN,NN,Fall,Fall
_,PUNCT,$.,.,_
_,PRON,PDS,Das,_
ist,AUX,VAFIN,ist,ist
doch,ADV,ADV,doch,doch
immer,ADV,ADV,immer,immer
gleich,ADJ,ADJD,gleich,gleich
_,PUNCT,$.,.,_
ja,PART,PTKANT,Ja,ja
_,PUNCT,$.,.,_
wer,PRON,PWS,Wer,wer
weiß,VERB,VVFIN,weiß,weiß
_,PRON,PDS,das,_
_,PUNCT,$.,?,_
weißt,VERB,VVFIN,Weißt,weißt
du,PRON,PPER,du,du
_,PUNCT,"$,",",",_
irgendwie,ADV,ADV,irgendwie,irgendwie
verarschen,VERB,VVFIN,verarschen,verarschen
die,PRON,PDS,die,die
einen,PRON,PIS,einen,einen
ja,ADV,ADV,ja,ja
doch,ADV,ADV,doch,doch
hier,ADV,ADV,hier,hier
so,ADV,ADV,so,so
ein,DET,ART,ein,ein
bisschen,PRON,PIS,bisschen,bisschen
_,PUNCT,$.,.,_
also,ADV,ADV,Also,also
_,PUNCT,$.,.,_
von,ADP,APPR,Von,von
diesem,DET,PDAT,diesem,diesem
Startpunkt,NOUN,NN,Startpunkt,Startpunkt
gehst,VERB,VVFIN,gehst,gehst
du,PRON,PPER,du,du
rechts,ADV,ADV,rechts,rechts
_,PUNCT,$.,.,_
aber,CONJ,KON,Aber,aber
warte,VERB,VVFIN,warte,warte
_,PUNCT,$.,.,_
_,UNK,--,--,_
ich,PRON,PPER,ich,ich
will,VERB,VMFIN,wollen,will
es,PRON,PPER,es,es
dir,PRON,PPER,du,dir
erst,ADV,ADV,erst,erst
zu,ADP,APPR,zu,zu
Ende,NOUN,NN,Ende,Ende
erklären,VERB,VVINF,erklären,erklären
_,UNK,--,--,_
okay,PART,PTKANT,Okay,okay
_,PUNCT,$.,.,_
okay,PART,PTKANT,Okay,okay
_,PUNCT,$.,.,_
ich,PRON,PPER,Ich,ich
bin,AUX,VAFIN,bin,bin
nicht,PART,PTKNEG,nicht,nicht
_,PUNCT,$.,.,_
du,PRON,PPER,Du,du
gehst,VERB,VVFIN,gehst,gehst
so,ADV,ADV,so,so
bis,ADP,APPR,bis,bis
zur,ADP,APPRART,zur,zur
Hälfte,NOUN,NN,Hälfte,Hälfte
des,DET,ART,des,des
Bildes,NOUN,NN,Bildes,Bildes
parallel,ADJ,ADJD,parallel,parallel
nach,ADP,APPR,nach,nach
rechts,ADV,ADV,rechts,rechts
_,PUNCT,$.,.,_
also,ADV,ADV,Also,also
_,VERB,VVFIN,gehst,_
_,PRON,PPER,du,_
einfach,ADJ,ADJD,einfach,einfach
eine,DET,ART,eine,eine
senkrechte,ADJ,ADJA,senkrechte,senkrechte
Linie,NOUN,NN,Linie,Linie
_,PUNCT,$.,.,_
boah,INTJ,ITJ,Boah,boah
_,PUNCT,$.,.,_
fick,VERB,VVIMP,Fick,fick
dich,PRON,PPER,dich,dich
_,PUNCT,$.,.,_
Mann,NOUN,NN,Mann,Mann
_,PUNCT,$.,.,_
ich,PRON,PPER,Ich,ich
will,VERB,VMFIN,will,will
jetzt,ADV,ADV,jetzt,jetzt
nach,ADP,APPR,nach,nach
rechts,ADV,ADV,rechts,rechts
gehen,VERB,VVINF,gehen,gehen
_,PUNCT,$.,.,_
ja,PART,PTKANT,Ja,ja
_,PUNCT,$.,.,_
du,PRON,PPER,Du,du
machst,VERB,VVFIN,machst,machst
es,PRON,PPER,es,es
jetzt,ADV,ADV,jetzt,jetzt
so,ADV,ADV,so,so
_,PUNCT,$.,.,_
okay,PART,PTKANT,Okay,okay
_,PUNCT,$.,.,_
da,ADV,ADV,Da,da
ist,AUX,VAFIN,ist,ist
ein,DET,ART,ein,ein
Bild,NOUN,NN,Bild,Bild
_,PUNCT,$.,.,_
_,UNK,--,--,_
oder,CONJ,KON,oder,oder
ist,AUX,VAFIN,sein,ist
da,ADV,ADV,da,da
ein,DET,ART,ein,ein
Bild,NOUN,NN,Bild,Bild
_,UNK,--,--,_
_,PRON,PDS,Das,_
_,AUX,VAFIN,ist,_
_,DET,ART,ein,_
Käsebild,NOUN,NN,Käsebild,Käsebild
so,ADV,ADV,so,so
_,PUNCT,$.,.,_
genau,PART,PTKANT,Genau,genau
_,PUNCT,$.,.,_
du,PRON,PPER,Du,du
gehst,VERB,VVFIN,gehst,gehst
so,ADV,ADV,so,so
_,PUNCT,$.,.,_
_,PRON,PDS,Das,_
_,AUX,VAFIN,ist,_
ein,DET,ART,ein,ein
Gouda,NOUN,NN,Gouda,Gouda
_,PUNCT,$.,.,_
oder,CONJ,KON,Oder,oder
was,PRON,PWS,was,was
_,PRON,PDS,das,_
_,AUX,VAFIN,ist,_
_,PUNCT,$.,.,_
_,PRON,PPER,Du,_
_,VERB,VVFIN,gehst,_
so,ADV,ADV,so,so
unten,ADV,ADV,unten,unten
rechts,ADV,ADV,rechts,rechts
vom,ADP,APPRART,vom,vom
Käse,NOUN,NN,Käse,Käse
praktisch,ADJ,ADJD,praktisch,praktisch
_,PART,PTKVZ,entlang,_
_,PUNCT,$.,.,_
ja,PART,PTKANT,Ja,ja
_,PUNCT,$.,.,_
_,UNK,--,--,_
so,ADV,ADV,so,so
dass,SCONJ,KOUS,dass,dass
_,UNK,--,--,_
_,PRON,PPER,Du,_
_,VERB,VVFIN,gehst,_
so,ADV,ADV,so,so
einen,DET,ART,einen,einen
halben,ADJ,ADJA,halben,halben
Zentimeter,NOUN,NN,Zentimeter,Zentimeter
rechts,ADV,ADV,rechts,rechts
neben,ADP,APPR,neben,neben
dem,DET,ART,dem,dem
Käse,NOUN,NN,Käse,Käse
_,PUNCT,"$,",",",_
dass,SCONJ,KOUS,dass,dass
du,PRON,PPER,du,du
da,ADV,ADV,da,da
bist,AUX,VAFIN,bist,bist
aber,CONJ,KON,aber,aber
unten,ADV,ADV,unten,unten
bleibst,VERB,VVFIN,bleibst,bleibst
_,PUNCT,$.,.,_
du,PRON,PPER,Du,du
_,PUNCT,$.,.,_
ja,PART,PTKANT,Ja,ja
_,PUNCT,$.,.,_
parallel,ADJ,ADJD,Parallel,parallel
also,ADV,ADV,also,also
bleibst,VERB,VVFIN,bleibst,bleibst
du,PRON,PPER,du,du
auf,ADP,APPR,auf,auf
der,DET,ART,der,der
Startebene,NOUN,NN,Startebene,Startebene
_,PUNCT,$.,.,_
ja,PART,PTKANT,Ja,ja
_,PUNCT,$.,.,_
okay,PART,PTKANT,Okay,okay
_,PUNCT,$.,.,_
das,PRON,PDS,Das,das
hab,AUX,VAFIN,habe,hab
ich,PRON,PPER,ich,ich
_,PUNCT,$.,.,_
ja,PART,PTKANT,Ja,ja
_,PUNCT,$.,.,_
ja,PART,PTKANT,Ja,ja
_,PUNCT,$.,.,_
will,VERB,VMFIN,Will,will
_,PUNCT,$.,.,_
_,UNK,--,--,_
ich,PRON,PPER,ich,ich
kann,VERB,VMFIN,können,kann
nicht,PART,PTKNEG,nicht,nicht
mehr,ADV,ADV,mehr,mehr
so,ADV,ADV,so,so
gerade,ADV,ADV,gerade,gerade
zeichnen,VERB,VVINF,zeichnen,zeichnen
_,UNK,--,--,_
aber,CONJ,KON,Aber,aber
