token,tag,tag_STTS,lemma_gold,lemma_pred
hallo,INTJ,ITJ,Hallo,Hallo
_,PUNCT,"$,",",",_
Therese,PROPN,NE,Therese,Therese
_,PUNCT,$.,.,_
hallo,INTJ,ITJ,Hallo,hallo
_,PUNCT,"$,",",",_
Alex,PROPN,NE,Alex,Alexander
_,PUNCT,$.,.,_
na,INTJ,ITJ,Na,nehmen
_,PUNCT,"$,",",",_
Mensch,NOUN,NN,Mensch,Mensch
_,PUNCT,$.,.,_
so,ADV,ADV,So,so
_,PUNCT,$.,.,_
jetzt,ADV,ADV,Jetzt,jetzt
beschreibe,VERB,VVFIN,beschreibe,beschreiben
ich,PRON,PPER,ich,ich
dir,PRON,PPER,dir,dir
mal,ADV,ADV,mal,mal
einen,DET,ART,einen,ein
Weg,NOUN,NN,Weg,Weg
_,PUNCT,$.,.,_
tue,VERB,VVFIN,Tue,tuer
dies,PRON,PDS,dies,dire
_,PUNCT,$.,!,_
so,ADV,ADV,So,so
_,PUNCT,$.,.,_
hast,AUX,VAFIN,Hast,haben
du,PRON,PPER,du,Sie
unten,ADV,ADV,unten,untere
links,ADV,ADV,links,Links
so,ADV,ADV,so,solcher
einen,DET,ART,einen,eine
Startpunkt,NOUN,NN,Startpunkt,Startpunkt
_,PUNCT,$.,?,_
nein,PART,PTKANT,Nein,No
_,PUNCT,$.,.,_
nein,PART,PTKANT,Nein,nein
_,PUNCT,$.,.,_
doch,PART,PTKANT,Doch,doch
_,PUNCT,$.,.,_
_,PRON,PDS,Das,_
ist,AUX,VAFIN,ist,sein
doch,ADV,ADV,doch,doch
immer,ADV,ADV,immer,immer
gleich,ADJ,ADJD,gleich,gleich
_,PUNCT,$.,.,_
ja,PART,PTKANT,Ja,ja
_,PUNCT,$.,.,_
wer,PRON,PWS,Wer,wer
weiß,VERB,VVFIN,weiß,wissen
_,PRON,PDS,das,_
_,PUNCT,$.,?,_
weißt,VERB,VVFIN,Weißt,weiß
du,PRON,PPER,du,du
_,PUNCT,"$,",",",_
irgendwie,ADV,ADV,irgendwie,irgendwie
verarschen,VERB,VVFIN,verarschen,verarschen
die,PRON,PDS,die,die
einen,PRON,PIS,einen,einen
ja,ADV,ADV,ja,ja
doch,ADV,ADV,doch,doch
hier,ADV,ADV,hier,hier
so,ADV,ADV,so,so
ein,DET,ART,ein,ein
bisschen,PRON,PIS,bisschen,bisschen
_,PUNCT,$.,.,_
also,ADV,ADV,Also,also
_,PUNCT,$.,.,_
von,ADP,APPR,Von,von
diesem,DET,PDAT,diesem,dies
Startpunkt,NOUN,NN,Startpunkt,Startpunkt
gehst,VERB,VVFIN,gehst,gehen
du,PRON,PPER,du,du
rechts,ADV,ADV,rechts,recht
_,PUNCT,$.,.,_
aber,CONJ,KON,Aber,aber
warte,VERB,VVFIN,warte,warten
_,PUNCT,$.,.,_
okay,PART,PTKANT,Okay,okay
_,PUNCT,$.,.,_
ich,PRON,PPER,Ich,Ich
bin,AUX,VAFIN,bin,sein
nicht,PART,PTKNEG,nicht,nicht
_,PUNCT,$.,.,_
du,PRON,PPER,Du,du
gehst,VERB,VVFIN,gehst,gehen
so,ADV,ADV,so,so
