token,tag,tag_STTS,lemma_gold,lemma_pred
Nun,_,ADV,nun,nun
nahm,_,VVFIN,nehmen,nehmen
der,_,ART,der,die
junge,_,ADJA,jung,jung
Graf,_,NN,Graf,Graf
wieder,_,ADV,wieder,wieder
das,_,ART,der,die
Wort,_,NN,Wort,Wort
.,_,$.,.,.
»,_,$(,»,»
Die,_,ART,der,die
Sache,_,NN,Sache,Sache
hat,_,VAFIN,haben,haben
sich,_,PRF,sich,sich
ja,_,ADV,ja,ja
für,_,APPR,für,für
Sie,_,PPER,Sie,Sie
durchaus,_,ADV,durchaus,durchaus
befriedigend,_,ADJD,befriedigend,befriedigend
aufgeklärt,_,VVPP,aufklären,aufklären
",",_,"$,",",",","
Herr,_,NN,Herr,Herr
Bilsfeld,_,NE,Bilsfeld,Bilsfeld
",",_,"$,",",",","
«,_,$(,«,«
sagte,_,VVFIN,sagen,sagen
er,_,PPER,er,er
.,_,$.,.,.
»,_,$(,»,»
An,_,APPR,an,an
der,_,ART,der,die
Richtigkeit,_,NN,Richtigkeit,Richtigkeit
der,_,ART,der,die
Erzählung,_,NN,Erzählung,Erzählung
ist,_,VAFIN,sein,sein
nicht,_,PTKNEG,nicht,nicht
zu,_,PTKZU,zu,zu
zweifeln,_,VVINF,zweifeln,zweifeln
.,_,$.,.,.
Die,_,ART,der,die
falsche,_,ADJA,falsch,falsch
Eintragung,_,NN,Eintragung,Eintragung
ins,_,APPRART,in,in+die
Kirchenbuch,_,NN,Kirchenbuch,Kirchenbuch
ist,_,VAFIN,sein,sein
freilich,_,ADV,freilich,freilich
nun,_,ADV,nun,nun
einmal,_,ADV,einmal,einmal
erfolgt,_,VVPP,erfolgen,erfolgen
",",_,"$,",",",","
der,_,ART,der,die
Taufschein,_,NN,Taufschein,Taufschein
muß,_,VMFIN,müssen,müssen
vorgelegt,_,VVPP,vorlegen,vorlegen
werden,_,VAINF,werden,werden
",",_,"$,",",",","
wenn,_,KOUS,wenn,wenn
das,_,ART,der,die
Aufgebot,_,NN,Aufgebot,Aufgebot
für,_,APPR,für,für
Paula,_,NE,Paula,Paula
erfolgen,_,VVINF,erfolgen,erfolgen
soll,_,VMFIN,sollen,sollen
",",_,"$,",",",","
und,_,KON,und,und
die,_,ART,der,die
Einwilligung,_,NN,Einwilligung,Einwilligung
der,_,ART,der,die
Mutter,_,NN,Mutter,Mutter
läßt,_,VVFIN,lassen,lassen
sich,_,PRF,sich,sich
dann,_,ADV,dann,dann
nicht,_,PTKNEG,nicht,nicht
entbehren,_,VVINF,entbehren,entbehren
.,_,$.,.,.
Das,_,ART,der,die
einfachste,_,NN,Einfachste,einfach
scheint,_,VVFIN,scheinen,scheinen
doch,_,ADV,doch,doch
",",_,"$,",",",","
wir,_,PPER,wir,wir
rühren,_,VVFIN,rühren,rühren
an,_,APPR,an,an
der,_,ART,der,die
alten,_,ADJA,alt,alt
Geschichte,_,NN,Geschichte,Geschichte
gar,_,ADV,gar,gar
nicht,_,PTKNEG,nicht,nicht
und,_,KON,und,und
lassen,_,VVFIN,lassen,lassen
den,_,ART,der,die
Taufschein,_,NN,Taufschein,Taufschein
gelten,_,VVINF,gelten,gelten
",",_,"$,",",",","
soviel,_,ADV,soviel,soviel
er,_,PPER,er,er
gilt,_,VVFIN,gelten,gelten
.,_,$.,.,.
Ihre,_,PPOSAT,Ihr,ihr
Frau,_,NN,Frau,Frau
erfüllt,_,VVFIN,erfüllen,erfüllen
die,_,ART,der,die
Form,_,NN,Form,Form
und,_,KON,und,und
giebt,_,VVFIN,geben,giebt
den,_,ART,der,die
Konsens,_,NN,Konsens,Konsens
.,_,$.,.,.
Mehr,_,PIS,mehr,mehr
verlangt,_,VVFIN,verlangen,verlangen
die,_,ART,der,die
Behörde,_,NN,Behörde,Behörde
nicht,_,PTKNEG,nicht,nicht
",",_,"$,",",",","
als,_,KOUS,als,als
daß,_,KOUS,dass,dass
der,_,ART,der,die
Form,_,NN,Form,Form
genügt,_,VVPP,genügen,genügen
wird,_,VAFIN,werden,werden
.,_,$.,.,.
Die,_,ART,der,die
Papiere,_,NN,Papier,Papier
kommen,_,VVFIN,kommen,kommen
in,_,APPR,in,in
die,_,ART,der,die
Akten,_,NN,Akte,Akte|Akt
",",_,"$,",",",","
und,_,KON,und,und
kein,_,PIAT,kein,keine
Mensch,_,NN,Mensch,Mensch
fragt,_,VVFIN,fragen,fragen
weiter,_,ADV,weiter,weiter
danach,_,PAV,danach,danach
.,_,$.,.,.
So,_,ADV,so,so
ruhig,_,ADJD,ruhig,ruhig
aber,_,ADV,aber,aber
die,_,ART,der,die
Tochter,_,NN,Tochter,Tochter
blieb,_,VVFIN,bleiben,bleiben
",",_,"$,",",",","
so,_,ADV,so,so
bewegt,_,ADJD,bewegt,bewegt
gebärdete,_,VVFIN,gebärden,gebärden
sich,_,PRF,sich,sich
der,_,ART,der,die
Vater,_,NN,Vater,Vater
.,_,$.,.,.
Aus,_,APPR,aus,aus
dem,_,ART,der,die
seligsten,_,ADJA,selig,seligsten
Lachen,_,NN,Lachen,Lache|Lachen
in,_,APPR,in,in
das,_,ART,der,die
lauteste,_,ADJA,laut,laut
Schluchzen,_,NN,Schluchzen,Schluchzen
der,_,ART,der,die
Rührung,_,NN,Rührung,Rührung
überspringend,_,ADJD,überspringend,überspringend
",",_,"$,",",",","
streifte,_,VVFIN,streifen,streifen
er,_,PPER,er,er
mehr,_,ADV,mehr,mehr
als,_,KOKOM,als,als
einmal,_,ADV,einmal,einmal
ans,_,APPRART,an,an+die
Lächerliche,_,NN,Lächerliche,Lächerliche
und,_,KON,und,und
machte,_,VVFIN,machen,machen
endlich,_,ADV,endlich,endlich
nach,_,APPR,nach,nach
vollzogener,_,ADJA,vollzogen,vollzogen
Feierlichkeit,_,NN,Feierlichkeit,Feierlichkeit
seinem,_,PPOSAT,sein,sein
Entzücken,_,NN,Entzücken,Entzücken
mit,_,APPR,mit,mit
dem,_,ART,der,die
wiederholten,_,ADJA,wiederholt,wiederholt
Ausrufe,_,NN,Ausruf,Ausruf
:,_,$.,:,:
»,_,$(,»,»
Sie,_,PPER,sie,Sie
ist,_,VAFIN,sein,sein
versorgt,_,VVPP,versorgen,versorgen
",",_,"$,",",",","
sie,_,PPER,sie,sie
ist,_,VAFIN,sein,sein
