token,tag,tag_STTS,lemma_gold,lemma_pred
schreiben,VERB,VVFIN,schreiben,schreiben
sich,PRON,PRF,sich,sich
CDU,PROPN,NE,CDU,CDU
",",PUNCT,"$,",",",","
CSU,PROPN,NE,CSU,CSU
und,CONJ,KON,und,und
SPD,PROPN,NE,SPD,SPD
die,DET,ART,der,die
Förderung,NOUN,NN,Förderung,Förder
des,DET,ART,der,des
offenen,ADJ,ADJA,offen,offen
Zugangs,NOUN,NN,Zugang,Zugang
zu,ADP,APPR,zu,zu
wissenschaftlichen,ADJ,ADJA,wissenschaftlich,wissenschaftlich
Publikationen,NOUN,NN,Publikation,Publikation
und,CONJ,KON,und,und
Forschungsdaten,NOUN,NN,Forschungsdatum,Forschungsdatum
auf,ADP,APPR,auf,auf
die,DET,ART,der,die
To-Do-Liste,NOUN,NN,To-Do-Liste,To-Do-Liste
:,PUNCT,$.,:,:
„,PUNCT,$(,„,„
Wir,PRON,PPER,wir,Wir
werden,AUX,VAFIN,werden,werden
eine,DET,ART,ein,ein
umfassende,ADJ,ADJA,umfassend,umfassend
Open,NOUN,NN,Open,Open
Access,NOUN,NN,Access,Access
Strategie,NOUN,NN,Strategie,Strategie
entwickeln,VERB,VVINF,entwickeln,entwickeln
",",PUNCT,"$,",",",","
die,PRON,PRELS,der,die
die,DET,ART,der,die
Rahmenbedingungen,NOUN,NN,Rahmenbedingung,Rahmenbedingung
für,ADP,APPR,für,für
einen,DET,ART,ein,ein
effektiven,ADJ,ADJA,effektiv,effektiv
und,CONJ,KON,und,und
dauerhaften,ADJ,ADJA,dauerhaft,dauerhaft
Zugang,NOUN,NN,Zugang,Zugang
zu,ADP,APPR,zu,zu
öffentlich,ADJ,ADJD,öffentlich,öffentlich
finanzierten,ADJ,ADJA,finanziert,finanzieren
Publikationen,NOUN,NN,Publikation,Publikation
und,CONJ,KON,und,und
auch,ADV,ADV,auch,auch
zu,ADP,APPR,zu,zu
Daten,NOUN,NN,Datum,Datum
(,PUNCT,$(,(,(
open,X,FM,open,open
data,X,FM,data,data
),PUNCT,$(,),)
verbessert,VERB,VVFIN,verbessern,verbessern
.,PUNCT,$.,.,.
“,PUNCT,$(,“,“
Durch,ADP,APPR,durch,Durch
ein,DET,ART,ein,ein
Förderprogramm,NOUN,NN,Förderprogramm,Förderprogramm
sollen,VERB,VMFIN,sollen,sollen
der,DET,ART,der,der
“,PUNCT,$(,“,“
Aufbau,NOUN,NN,Aufbau,Aufbau
",",PUNCT,"$,",",",","
der,DET,ART,der,der
Ausbau,NOUN,NN,Ausbau,Ausbau
und,CONJ,KON,und,und
die,DET,ART,der,die
koordinierte,ADJ,ADJA,koordiniert,koordinieren
nationale,ADJ,ADJA,national,national
",",PUNCT,"$,",",",","
europäische,ADJ,ADJA,europäisch,europäisch
und,CONJ,KON,und,und
internationale,ADJ,ADJA,international,international
Vernetzung,NOUN,NN,Vernetzung,Vernetzung
von,ADP,APPR,von,von
offenen,ADJ,ADJA,offen,offen
(,PUNCT,$(,(,(
Forschungs-,X,TRUNC,Forschung,Forschungs-
),PUNCT,$(,),)
Datenbanken,NOUN,NN,Datenbank,Datenbank
",",PUNCT,"$,",",",","
Repositorien,NOUN,NN,Repositorium,Repositorium
und,CONJ,KON,und,und
Open-Access-Zeitschriften,NOUN,NN,Open-Access-Zeitschrift,Open-Access-Zeitschrift
der,DET,ART,der,der
Forschungseinrichtungen,NOUN,NN,Forschungseinrichtung,Forschungseinrichtung
und,CONJ,KON,und,und
der,DET,ART,der,der
Hochschulen,NOUN,NN,Hochschule,Hochschule
“,PUNCT,$(,“,“
vorangetrieben,VERB,VVPP,vorantreiben,voranbringen
werden,AUX,VAINF,werden,werden
.,PUNCT,$.,.,.
Optimistisch,ADJ,ADJD,optimistisch,Optimistisch
stimmt,VERB,VVFIN,stimmen,stimmen
der,DET,ART,der,der
Blick,NOUN,NN,Blick,Blick
auf,ADP,APPR,auf,auf
das,DET,ART,der,das
Themenfeld,NOUN,NN,Themenfeld,Themenfeld
„,PUNCT,$(,„,„
Digitalisierung,NOUN,NN,Digitalisierung,Digitalisierung
und,CONJ,KON,und,und
Infrastruktur,NOUN,NN,Infrastruktur,Infrastruktur
in,ADP,APPR,in,in
der,DET,ART,der,der
Wissenschaft,NOUN,NN,Wissenschaft,Wissenschaft
“,PUNCT,$(,“,“
.,PUNCT,$.,.,.
Der,DET,ART,der,Der
Umgang,NOUN,NN,Umgang,Umgang
mit,ADP,APPR,mit,mit
Forschungsdaten,NOUN,NN,Forschungsdatum,Forschungsdatum
soll,VERB,VMFIN,sollen,soll
verbessert,VERB,VVPP,verbessern,verbessern
werden,AUX,VAINF,werden,werden
.,PUNCT,$.,.,.
Dazu,ADV,PAV,dazu,Dazu
heißt,VERB,VVFIN,heißen,heißen
es,PRON,PPER,es,es
im,ADP,APPRART,in,im
Koalitionsvertrag,NOUN,NN,Koalitionsvertrag,Koalitionsvertrag
:,PUNCT,$.,:,:
„,PUNCT,$(,„,„
Wir,PRON,PPER,wir,Wir
werden,AUX,VAFIN,werden,werden
eine,DET,ART,ein,ein
Strategie,NOUN,NN,Strategie,Strategie
für,ADP,APPR,für,für
den,DET,ART,der,den
digitalen,ADJ,ADJA,digital,digital
Wandel,NOUN,NN,Wandel,Wandel
in,ADP,APPR,in,in
der,DET,ART,der,der
Wissenschaft,NOUN,NN,Wissenschaft,Wissenschaft
initiieren,VERB,VVINF,initiieren,initiieren
",",PUNCT,"$,",",",","
zum,ADP,APPRART,zu,zu
Beispiel,NOUN,NN,Beispiel,Beispiel
um,SCONJ,KOUI,um,um
Zugang,NOUN,NN,Zugang,Zugang
und,CONJ,KON,und,und
Nutzbarkeit,NOUN,NN,Nutzbarkeit,Nutzbarkeit
von,ADP,APPR,von,von
komplexen,ADJ,ADJA,komplex,komplex
Forschungsdaten,NOUN,NN,Forschungsdatum,Forschungsdatum
zu,PART,PTKZU,zu,zu
verbessern,VERB,VVINF,verbessern,verbessern
.,PUNCT,$.,.,.
Gemeinsam,ADJ,ADJD,gemeinsam,Gemein
mit,ADP,APPR,mit,mit
den,DET,ART,der,den
Ländern,NOUN,NN,Land,Land
werden,AUX,VAFIN,werden,werden
wir,PRON,PPER,wir,wir
einen,DET,ART,ein,ein
Rat,NOUN,NN,Rat,Rat
für,ADP,APPR,für,für
Informationsinfrastrukturen,NOUN,NN,Informationsinfrastruktur,Informationsinfrastruktur
gründen,VERB,VVINF,gründen,gründen
",",PUNCT,"$,",",",","
in,ADP,APPR,in,in
dem,PRON,PRELS,der,dem
sich,PRON,PRF,sich,sich
die,DET,ART,der,die
Akteure,NOUN,NN,Akteur,Akteur
des,DET,ART,der,des
Wissenschaftssystems,NOUN,NN,Wissenschaftssystem,Wissenschaftssystem
über,ADP,APPR,über,über
die,DET,ART,der,die
Erarbeitung,NOUN,NN,Erarbeitung,Erarbeitung
disziplinen,NOUN,NN,Disziplin,Disziplin
und,CONJ,KON,und,und
institutionenübergreifender,ADJ,ADJA,institutionenübergreifend,institutionübergreifend
Strategien,NOUN,NN,Strategie,Strategie
und,CONJ,KON,und,und
Standards,NOUN,NN,Standard,Standard
verständigen,VERB,VVFIN,verständigen,verständig
.,PUNCT,$.,.,.
Zudem,ADV,PAV,zudem,Zudem
wollen,VERB,VMFIN,wollen,wollen
wir,PRON,PPER,wir,wir
virtuelle,ADJ,ADJA,virtuell,virtuell
Forschungsumgebungen,NOUN,NN,Forschungsumgebung,Forschungsumgebung
stärken,VERB,VVINF,stärken,stärken
",",PUNCT,"$,",",",","
die,PRON,PRELS,der,die
es,PRON,PPER,es,es
Forscherinnen,NOUN,NN,Forscherin,Forscherin
und,CONJ,KON,und,und
Forschern,NOUN,NN,Forscher,Forscher
erlauben,VERB,VVFIN,erlauben,erlauben
",",PUNCT,"$,",",",","
mithilfe,ADP,APPR,mithilfe,mithilfe
digitaler,ADJ,ADJA,digital,digital
Medien,NOUN,NN,Medium,Medium
über,ADP,APPR,über,über
disziplinäre,ADJ,ADJA,disziplinär,disziplinär
",",PUNCT,"$,",",",","
institutionelle,ADJ,ADJA,institutionell,institutionell
und,CONJ,KON,und,und
geografische,ADJ,ADJA,geografisch,geografisch
Grenzen,NOUN,NN,Grenze,Grenze
hinweg,ADP,APZR,hinweg,hinweg
zusammenzuarbeiten,VERB,VVIZU,zusammenarbeiten,zusammenarbeit
und,CONJ,KON,und,und
daraus,ADV,PAV,daraus,daraus
auch,UNK,PTKIFG,auch,auch
neue,ADJ,ADJA,neu,neu
Forschungsmethoden,NOUN,NN,Forschungsmethode,Forschungsmethod
und,CONJ,KON,und,und
-gegenstände,X,TRUNC,Gegenstand,-gegenstand
zu,PART,PTKZU,zu,zu
entwickeln,VERB,VVINF,entwickeln,entwickeln
.,PUNCT,$.,.,.
”,PUNCT,$(,”,”
Flügen,NOUN,NN,Flug,fliegen
außerhalb,ADP,APPR,außerhalb,außerhalb
Nordeuropas,PROPN,NE,Nordeuropa,Nordeuropa
muß,VERB,VMFIN,müssen,müssen
Empfindliches,NOUN,NN,empfindliche,empfindlich
extrem,UNK,PTKIFG,extrem,extrem
gut,ADJ,ADJD,gut,gut
verpackt,VERB,VVPP,verpacken,verpacken
sein,AUX,VAINF,sein,sein
und,CONJ,KON,und,und
möglichst,ADV,ADV,möglichst,möglichst
in,ADP,APPR,in,in
der,DET,ART,der,der
Mitte,NOUN,NN,Mitte,Mitte
der,DET,ART,der,der
Tasche,NOUN,NN,Tasche,Tasche
.,PUNCT,$.,.,.
Gepäck,NOUN,NN,Gepäck,Gepäck
wird,AUX,VAFIN,werden,werden
nicht,PART,PTKNEG,nicht,nicht
nur,ADV,ADV,nur,nur
horizontal,ADJ,ADJD,horizontal,horizontal
geworfen,VERB,VVPP,werfen,werfen
",",PUNCT,"$,",",",","
sondern,CONJ,KON,sondern,sondern
auch,ADV,ADV,auch,auch
geschüttelt,VERB,VVPP,schütteln,schütteln
",",PUNCT,"$,",",",","
es,PRON,PPER,es,es
setzen,VERB,VVFIN,setzen,setzen
sich,PRON,PRF,sich,sich
Leute,NOUN,NN,Leute,Leute
drauf,PART,PTKVZ,drauf,drauf
und,CONJ,KON,und,und
es,PRON,PPER,es,es
wird,AUX,VAFIN,werden,werden
aus,ADP,APPR,aus,aus
dem,DET,ART,der,dem
Flugzeug,NOUN,NN,Flugzeug,Flugzeug
einfach,ADJ,ADJD,einfach,einfach
auf,ADP,APPR,auf,auf
den,DET,ART,der,den
Wagen,NOUN,NN,Wagen,Wagen
fallen,VERB,VVINF,fallen,fallen
gelassen,VERB,VVPP,lassen,lassen
.,PUNCT,$.,.,.
in,ADP,APPR,in,in
der,DET,ART,der,der
Mitte,NOUN,NN,Mitte,Mitte
des,DET,ART,der,des
Urlaubs,NOUN,NN,Urlaub,Urlaub
kaufen,VERB,VVINF,kaufen,kaufen
.,PUNCT,$.,.,.
Dann,ADV,ADV,dann,Dann
weiß,VERB,VVFIN,wissen,weiß
man,PRON,PIS,man,man
",",PUNCT,"$,",",",","
was,PRON,PRELS,wer,was
typisch,ADJ,ADJD,typisch,typisch
ist,AUX,VAFIN,sein,sein
",",PUNCT,"$,",",",","
welcher,DET,PWAT,welcher,welch
Preis,NOUN,NN,Preis,Preis
für,ADP,APPR,für,für
welche,DET,PWAT,welcher,welch
Qualität,NOUN,NN,Qualität,Qualität
paßt,VERB,VVFIN,passen,passen
[,PUNCT,$(,[,[
weil,SCONJ,KOUS,weil,weil
man,PRON,PIS,man,man
von,ADP,APPR,von,von
Anfang,NOUN,NN,Anfang,Anfang
an,ADP,APZR,an,an
Händler,NOUN,NN,Händler,Händler
+,CONJ,KON,+,+
andere,ADJ,ADJA,anderer,ander
Urlauber,NOUN,NN,Urlauber,Urlauber
gefragt,VERB,VVPP,fragen,fragen
hat,AUX,VAFIN,haben,haben
],PUNCT,$(,],]
