token,tag,tag_STTS,lemma_gold,lemma_pred
Nun,_,ADV,nun,Nun
nahm,_,VVFIN,nehmen,nehmen
der,_,ART,der,der
junge,_,ADJA,jung,junge
Graf,_,NN,Graf,Graf
wieder,_,ADV,wieder,wieder
das,_,ART,der,der
Wort,_,NN,Wort,Wort
.,_,$.,.,.
»,_,$(,»,»
Die,_,ART,der,der
Sache,_,NN,Sache,Sache
hat,_,VAFIN,haben,haben
sich,_,PRF,sich,sich
ja,_,ADV,ja,ja
für,_,APPR,für,für
Sie,_,PPER,Sie,ich
durchaus,_,ADV,durchaus,durchaus
befriedigend,_,ADJD,befriedigend,befriedigen
aufgeklärt,_,VVPP,aufklären,aufklären
",",_,"$,",",",","
Herr,_,NN,Herr,Herr
Bilsfeld,_,NE,Bilsfeld,Bilsfeld
",",_,"$,",",",","
«,_,$(,«,«
sagte,_,VVFIN,sagen,sagen
er,_,PPER,er,ich
.,_,$.,.,.
»,_,$(,»,»
An,_,APPR,an,an
der,_,ART,der,der
Richtigkeit,_,NN,Richtigkeit,Richtigkeit
der,_,ART,der,der
Erzählung,_,NN,Erzählung,Erzählung
ist,_,VAFIN,sein,sein
nicht,_,PTKNEG,nicht,nicht
zu,_,PTKZU,zu,zu
zweifeln,_,VVINF,zweifeln,zweifeln
.,_,$.,.,.
Die,_,ART,der,der
falsche,_,ADJA,falsch,falsch
Eintragung,_,NN,Eintragung,Eintragung
ins,_,APPRART,in,ins
Kirchenbuch,_,NN,Kirchenbuch,Kirchenbuch
ist,_,VAFIN,sein,sein
freilich,_,ADV,freilich,freilich
nun,_,ADV,nun,nun
einmal,_,ADV,einmal,einmal
erfolgt,_,VVPP,erfolgen,erfolgen
",",_,"$,",",",","
der,_,ART,der,der
Taufschein,_,NN,Taufschein,Taufschein
muß,_,VMFIN,müssen,muß
vorgelegt,_,VVPP,vorlegen,vorlegen
werden,_,VAINF,werden,werden
",",_,"$,",",",","
wenn,_,KOUS,wenn,wenn
das,_,ART,der,der
Aufgebot,_,NN,Aufgebot,Aufgebot
für,_,APPR,für,für
Paula,_,NE,Paula,Paula
erfolgen,_,VVINF,erfolgen,erfolgen
soll,_,VMFIN,sollen,soll
",",_,"$,",",",","
und,_,KON,und,und
die,_,ART,der,der
Einwilligung,_,NN,Einwilligung,Einwilligung
der,_,ART,der,der
Mutter,_,NN,Mutter,Mutter
läßt,_,VVFIN,lassen,lassen
sich,_,PRF,sich,sich
dann,_,ADV,dann,dann
nicht,_,PTKNEG,nicht,nicht
entbehren,_,VVINF,entbehren,entbehren
.,_,$.,.,.
Das,_,ART,der,der
einfachste,_,NN,Einfachste,einfach
scheint,_,VVFIN,scheinen,scheinen
doch,_,ADV,doch,doch
",",_,"$,",",",","
wir,_,PPER,wir,ich
rühren,_,VVFIN,rühren,rühren
an,_,APPR,an,an
der,_,ART,der,der
alten,_,ADJA,alt,alt
Geschichte,_,NN,Geschichte,Geschichte
gar,_,ADV,gar,gar
nicht,_,PTKNEG,nicht,nicht
und,_,KON,und,und
lassen,_,VVFIN,lassen,lassen
den,_,ART,der,der
Taufschein,_,NN,Taufschein,Taufschein
gelten,_,VVINF,gelten,gelten
",",_,"$,",",",","
soviel,_,ADV,soviel,soviel
er,_,PPER,er,ich
gilt,_,VVFIN,gelten,gelten
.,_,$.,.,.
Ihre,_,PPOSAT,Ihr,mein
Frau,_,NN,Frau,Frau
erfüllt,_,VVFIN,erfüllen,erfüllen
die,_,ART,der,der
Form,_,NN,Form,Form
und,_,KON,und,und
giebt,_,VVFIN,geben,giebt
den,_,ART,der,der
Konsens,_,NN,Konsens,Konsens
.,_,$.,.,.
Mehr,_,PIS,mehr,Mehr
verlangt,_,VVFIN,verlangen,verlangen
die,_,ART,der,der
Behörde,_,NN,Behörde,Behörde
nicht,_,PTKNEG,nicht,nicht
",",_,"$,",",",","
als,_,KOUS,als,als
daß,_,KOUS,dass,daß
der,_,ART,der,der
Form,_,NN,Form,Form
genügt,_,VVPP,genügen,genügen
wird,_,VAFIN,werden,werden
.,_,$.,.,.
Die,_,ART,der,der
Papiere,_,NN,Papier,Papier
kommen,_,VVFIN,kommen,kommen
in,_,APPR,in,in
die,_,ART,der,der
Akten,_,NN,Akte,Akte
",",_,"$,",",",","
und,_,KON,und,und
kein,_,PIAT,kein,kein
Mensch,_,NN,Mensch,Mensch
fragt,_,VVFIN,fragen,fragen
weiter,_,ADV,weiter,weit
danach,_,PAV,danach,danach
.,_,$.,.,.
So,_,ADV,so,so
ruhig,_,ADJD,ruhig,ruhig
aber,_,ADV,aber,aber
die,_,ART,der,der
Tochter,_,NN,Tochter,Tochter
blieb,_,VVFIN,bleiben,bleiben
",",_,"$,",",",","
so,_,ADV,so,so
bewegt,_,ADJD,bewegt,bewegen
gebärdete,_,VVFIN,gebärden,gebärden
sich,_,PRF,sich,sich
der,_,ART,der,der
Vater,_,NN,Vater,Vater
.,_,$.,.,.
Aus,_,APPR,aus,Aus
dem,_,ART,der,der
seligsten,_,ADJA,selig,seligsten
Lachen,_,NN,Lachen,Lache
in,_,APPR,in,in
das,_,ART,der,der
lauteste,_,ADJA,laut,laut
Schluchzen,_,NN,Schluchzen,Schluchzen
der,_,ART,der,der
Rührung,_,NN,Rührung,Rührung
überspringend,_,ADJD,überspringend,überspringen
",",_,"$,",",",","
streifte,_,VVFIN,streifen,streifen
er,_,PPER,er,ich
mehr,_,ADV,mehr,mehr
als,_,KOKOM,als,als
einmal,_,ADV,einmal,einmal
ans,_,APPRART,an,ans
Lächerliche,_,NN,Lächerliche,lächerlich
und,_,KON,und,und
machte,_,VVFIN,machen,machen
endlich,_,ADV,endlich,endlich
nach,_,APPR,nach,nach
vollzogener,_,ADJA,vollzogen,vollzogen
Feierlichkeit,_,NN,Feierlichkeit,Feierlichkeit
seinem,_,PPOSAT,sein,mein
Entzücken,_,NN,Entzücken,Entzücken
mit,_,APPR,mit,mit
dem,_,ART,der,der
wiederholten,_,ADJA,wiederholt,wiederholen
Ausrufe,_,NN,Ausruf,Ausruf
:,_,$.,:,:
»,_,$(,»,»
Sie,_,PPER,sie,ich
ist,_,VAFIN,sein,sein
versorgt,_,VVPP,versorgen,versorgen
",",_,"$,",",",","
sie,_,PPER,sie,ich
ist,_,VAFIN,sein,sein
