,token,tag,tag_STTS,lemma_gold,baseline
0,Nun,_,ADV,nun,Nun
1,nahm,_,VVFIN,nehmen,nahm
2,der,_,ART,der,der
3,junge,_,ADJA,jung,junge
4,Graf,_,NN,Graf,Graf
5,wieder,_,ADV,wieder,wieder
6,das,_,ART,der,das
7,Wort,_,NN,Wort,Wort
8,.,_,$.,.,.
9,»,_,$(,»,»
10,Die,_,ART,der,Die
11,Sache,_,NN,Sache,Sache
12,hat,_,VAFIN,haben,hat
13,sich,_,PRF,sich,sich
14,ja,_,ADV,ja,ja
15,für,_,APPR,für,für
16,Sie,_,PPER,Sie,Sie
17,durchaus,_,ADV,durchaus,durchaus
18,befriedigend,_,ADJD,befriedigend,befriedigend
19,aufgeklärt,_,VVPP,aufklären,aufgeklärt
20,",",_,"$,",",",","
21,Herr,_,NN,Herr,Herr
22,Bilsfeld,_,NE,Bilsfeld,Bilsfeld
23,",",_,"$,",",",","
24,«,_,$(,«,«
25,sagte,_,VVFIN,sagen,sagte
26,er,_,PPER,er,er
27,.,_,$.,.,.
28,»,_,$(,»,»
29,An,_,APPR,an,An
30,der,_,ART,der,der
31,Richtigkeit,_,NN,Richtigkeit,Richtigkeit
32,der,_,ART,der,der
33,Erzählung,_,NN,Erzählung,Erzählung
34,ist,_,VAFIN,sein,ist
35,nicht,_,PTKNEG,nicht,nicht
36,zu,_,PTKZU,zu,zu
37,zweifeln,_,VVINF,zweifeln,zweifeln
38,.,_,$.,.,.
39,Die,_,ART,der,Die
40,falsche,_,ADJA,falsch,falsche
41,Eintragung,_,NN,Eintragung,Eintragung
42,ins,_,APPRART,in,ins
43,Kirchenbuch,_,NN,Kirchenbuch,Kirchenbuch
44,ist,_,VAFIN,sein,ist
45,freilich,_,ADV,freilich,freilich
46,nun,_,ADV,nun,nun
47,einmal,_,ADV,einmal,einmal
48,erfolgt,_,VVPP,erfolgen,erfolgt
49,",",_,"$,",",",","
50,der,_,ART,der,der
51,Taufschein,_,NN,Taufschein,Taufschein
52,muß,_,VMFIN,müssen,muß
53,vorgelegt,_,VVPP,vorlegen,vorgelegt
54,werden,_,VAINF,werden,werden
55,",",_,"$,",",",","
56,wenn,_,KOUS,wenn,wenn
57,das,_,ART,der,das
58,Aufgebot,_,NN,Aufgebot,Aufgebot
59,für,_,APPR,für,für
60,Paula,_,NE,Paula,Paula
61,erfolgen,_,VVINF,erfolgen,erfolgen
62,soll,_,VMFIN,sollen,soll
63,",",_,"$,",",",","
64,und,_,KON,und,und
65,die,_,ART,der,die
66,Einwilligung,_,NN,Einwilligung,Einwilligung
67,der,_,ART,der,der
68,Mutter,_,NN,Mutter,Mutter
69,läßt,_,VVFIN,lassen,läßt
70,sich,_,PRF,sich,sich
71,dann,_,ADV,dann,dann
72,nicht,_,PTKNEG,nicht,nicht
73,entbehren,_,VVINF,entbehren,entbehren
74,.,_,$.,.,.
75,Das,_,ART,der,Das
76,einfachste,_,NN,Einfachste,einfachste
77,scheint,_,VVFIN,scheinen,scheint
78,doch,_,ADV,doch,doch
79,",",_,"$,",",",","
80,wir,_,PPER,wir,wir
81,rühren,_,VVFIN,rühren,rühren
82,an,_,APPR,an,an
83,der,_,ART,der,der
84,alten,_,ADJA,alt,alten
85,Geschichte,_,NN,Geschichte,Geschichte
86,gar,_,ADV,gar,gar
87,nicht,_,PTKNEG,nicht,nicht
88,und,_,KON,und,und
89,lassen,_,VVFIN,lassen,lassen
90,den,_,ART,der,den
91,Taufschein,_,NN,Taufschein,Taufschein
92,gelten,_,VVINF,gelten,gelten
93,",",_,"$,",",",","
94,soviel,_,ADV,soviel,soviel
95,er,_,PPER,er,er
