token,tag,tag_STTS,lemma_gold,lemma_pred
Als,_,KOKOM,als,Als
nächstes,_,ADJD,nächster,nächstes
also,_,ADV,also,also
",",_,"$,",",",","
die,_,ART,der,die
wissenschaftliche,_,ADJA,wissenschaftlich,wissenschaftliche
Methodik,_,NN,Methodik,Methodik
ein,_,ART,ein,ein
Grundsatz,_,NN,Grundsatz,Grundsatz
der,_,ART,der,der
Physik,_,NN,Physik,Physik
",",_,"$,",",",","
aller,_,PIAT,aller,aller
Wissenschaften,_,NN,Wissenschaft,Wissenschaften
—,_,$(,-,—
sagt,_,VVFIN,sagen,sagt
",",_,"$,",",",","
daß,_,KOUS,dass,daß
man,_,PIS,man,man
eine,_,ART,ein,eine
Hypothese,_,NN,Hypothese,Hypothese
nicht,_,PTKNEG,nicht,nicht
durch,_,APPR,durch,durch
Beobachtung,_,NN,Beobachtung,Beobachtung
beweisen,_,VVINF,beweisen,beweisen
kann,_,VMFIN,können,kann
.,_,$.,.,.
Man,_,PIS,man,Man
kann,_,VMFIN,können,kann
sie,_,PPER,sie,sie
nur,_,ADV,nur,nur
widerlegen,_,VVINF,widerlegen,widerlegen
.,_,$.,.,.
Das,_,PDS,der,Das
heißt,_,VVFIN,heißen,heißt
",",_,"$,",",",","
daß,_,KOUS,dass,daß
man,_,PIS,man,man
mehr,_,ADV,mehr,mehr
und,_,KON,und,und
mehr,_,ADV,mehr,mehr
Information,_,NN,Information,Information
um,_,APPR,um,um
eine,_,ART,ein,eine
Hypothese,_,NN,Hypothese,Hypothese
oder,_,KON,oder,oder
einen,_,ART,ein,einen
Standpunkt,_,NN,Standpunkt,Standpunkt
sammeln,_,VVINF,sammeln,sammeln
kann,_,VMFIN,können,kann
die,_,PRELS,der,die
sie,_,PPER,sie,sie
bestärkt,_,VVFIN,bestärken,bestärkt
",",_,"$,",",",","
aber,_,KON,aber,aber
nicht,_,PTKNEG,nicht,nicht
endgültig,_,ADJD,endgültig,endgültig
beweist,_,VVFIN,beweisen,beweist
.,_,$.,.,.
Und,_,KON,und,Und
nur,_,ADV,nur,nur
eine,_,ART,ein,eine
einzige,_,ADJA,einziger,einzige
gegenteilige,_,ADJA,gegenteilig,gegenteilige
Information,_,NN,Information,Information
kann,_,VMFIN,können,kann
die,_,ART,der,die
ganze,_,ADJA,ganz,ganze
Theorie,_,NN,Theorie,Theorie
kippen,_,VVINF,kippen,kippen
.,_,$.,.,.
Das,_,PDS,der,Das
klingt,_,VVFIN,klingen,klingt
vielleicht,_,ADV,vielleicht,vielleicht
zu,_,PTKA,zu,zu
simpel,_,ADJD,simpel,simpel
",",_,"$,",",",","
um,_,KOUI,um,um
Verhalten,_,NN,Verhalten,Verhalten
zu,_,PTKZU,zu,zu
beeinflussen,_,VVINF,beeinflussen,beeinflussen
",",_,"$,",",",","
aber,_,KON,aber,aber
in,_,APPR,in,in
einer,_,ART,ein,einer
Studie,_,NN,Studie,Studie
fanden,_,VVFIN,finden,fanden
wir,_,PPER,wir,wir
heraus,_,PTKVZ,heraus,heraus
",",_,"$,",",",","
dass,_,KOUS,dass,dass
Achtsamkeitstraining,_,NN,Achtsamkeitstraining,Achtsamkeitstraining
Menschen,_,NN,Mensch,Menschen
doppelt,_,ADJD,doppelt,doppelt
so,_,ADV,so,so
gut,_,ADJD,gut,gut
hilft,_,VVFIN,helfen,hilft
das,_,ART,der,das
Rauchen,_,NN,Rauchen,Rauchen
aufzugeben,_,VVIZU,aufgeben,aufzugeben
wie,_,KOKOM,wie,wie
die,_,ART,der,die
beste,_,ADJA,gut,beste
Standardtherapie,_,NN,Standardtherapie,Standardtherapie
.,_,$.,.,.
Es,_,PPER,es,Es
funktioniert,_,VVFIN,funktionieren,funktioniert
also,_,ADV,also,also
.,_,$.,.,.
Als,_,KOUS,als,Als
wir,_,PPER,wir,wir
die,_,ART,der,die
Gehirne,_,NN,Gehirn,Gehirne
geübter,_,ADJA,geübt,geübter
Meditierender,_,NN,Meditierende,Meditierender
untersuchten,_,VVFIN,untersuchen,untersuchten
",",_,"$,",",",","
erkannten,_,VVFIN,erkennen,erkannten
wir,_,PPER,wir,wir
",",_,"$,",",",","
Teile,_,NN,Teil,Teile
der,_,ART,der,der
neuronalen,_,ADJA,neuronal,neuronalen
Netze,_,NN,Netz,Netze
selbstreferenzieller,_,ADJA,selbstreferenziell,selbstreferenzieller
Verarbeitung,_,NN,Verarbeitung,Verarbeitung
",",_,"$,",",",","
Bewusstseinsnetzwerk,_,NN,Bewusstseinsnetzwerk,Bewusstseinsnetzwerk
genannt,_,VVPP,nennen,genannt
",",_,"$,",",",","
spielten,_,VVFIN,spielen,spielten
hier,_,ADV,hier,hier
eine,_,ART,ein,eine
Rolle,_,NN,Rolle,Rolle
.,_,$.,.,.
Eine,_,ART,ein,Eine
aktuelle,_,ADJA,aktuell,aktuelle
Hypothese,_,NN,Hypothese,Hypothese
sagt,_,VVFIN,sagen,sagt
",",_,"$,",",",","
dass,_,KOUS,dass,dass
eine,_,ART,ein,eine
Region,_,NN,Region,Region
dieses,_,PDAT,dieser,dieses
Netzes,_,NN,Netz,Netzes
",",_,"$,",",",","
namens,_,ADV,namens,namens
posteriorer,_,FM,posteriorer,posteriorer
Gyrus,_,FM,Gyrus,Gyrus
cinguli,_,FM,cinguli,cinguli
",",_,"$,",",",","
nicht,_,PTKNEG,nicht,nicht
unbedingt,_,ADV,unbedingt,unbedingt
durch,_,APPR,durch,durch
das,_,ART,der,das
Verlangen,_,NN,Verlangen,Verlangen
selbst,_,ADV,selbst,selbst
aktiviert,_,VVPP,aktivieren,aktiviert
wird,_,VAFIN,werden,wird
",",_,"$,",",",","
sondern,_,KON,sondern,sondern
wenn,_,KOUS,wenn,wenn
wir,_,PPER,wir,wir
davon,_,PAV,davon,davon
gefangen,_,VVPP,fangen,gefangen
sind,_,VAFIN,sein,sind
",",_,"$,",",",","
hineingesaugt,_,VVPP,hineinsaugen,hineingesaugt
werden,_,VAFIN,werden,werden
",",_,"$,",",",","
und,_,KON,und,und
es,_,PPER,es,es
uns,_,PPER,wir,uns
hereinlegt,_,VVFIN,hereinlegen,hereinlegt
.,_,$.,.,.
Um,_,KOUI,um,Um
darauf,_,PAV,darauf,darauf
zu,_,PTKZU,zu,zu
achten,_,VVINF,achten,achten
",",_,"$,",",",","
was,_,PWS,was,was
am,_,PTKA,am,am
besten,_,ADJD,gut,besten
für,_,APPR,für,für
sie,_,PPER,sie,sie
ist,_,VAFIN,sein,ist
",",_,"$,",",",","
oder,_,KON,oder,oder
was,_,PWS,was,was
sie,_,PPER,sie,sie
für,_,APPR,für,für
das,_,ART,der,das
beste,_,NN,Beste,beste
für,_,APPR,für,für
sich,_,PRF,sich,sich
halten,_,VVFIN,halten,halten
",",_,"$,",",",","
haben,_,VAFIN,haben,haben
Menschen,_,NN,Mensch,Menschen
Werte,_,NN,Wert,Werte
—,_,$(,-,—
diese,_,PDS,dieser,diese
identifizieren,_,VVFIN,identifizieren,identifizieren
",",_,"$,",",",","
was,_,PWS,was,was
sie,_,PPER,sie,sie
wollen,_,VMFIN,wollen,wollen
und,_,KON,und,und
was,_,PWS,was,was
sie,_,PPER,sie,sie
nicht,_,PTKNEG,nicht,nicht
wollen,_,VMFIN,wollen,wollen
.,_,$.,.,.
Und,_,KON,und,Und
sie,_,PPER,sie,sie
glauben,_,VVFIN,glauben,glauben
zu,_,PTKZU,zu,zu
wissen,_,VVINF,wissen,wissen
",",_,"$,",",",","
was,_,PWS,was,was
andere,_,ADJA,anderer,andere
Leute,_,NN,Leute,Leute
wollen,_,VMFIN,wollen,wollen
",",_,"$,",",",","
und,_,KON,und,und
was,_,PWS,was,was
andere,_,ADJA,anderer,andere
Leute,_,NN,Leute,Leute
nicht,_,PTKNEG,nicht,nicht
wollen,_,VMFIN,wollen,wollen
",",_,"$,",",",","
wie,_,PWAV,wie,wie
viel,_,PIAT,viel,viel
Macht,_,NN,Macht,Macht
andere,_,ADJA,anderer,andere
Leute,_,NN,Leute,Leute
haben,_,VAFIN,haben,haben
",",_,"$,",",",","
wie,_,PWAV,wie,wie
sehr,_,ADV,sehr,sehr
jene,_,PDAT,jener,jene
Leute,_,NN,Leute,Leute
dem,_,PDS,der,dem
im,_,APPRART,in,im
Weg,_,NN,Weg,Weg
stehen,_,VVINF,stehen,stehen
könnten,_,VMFIN,können,könnten
",",_,"$,",",",","
was,_,PWS,was,was
sie,_,PPER,sie,sie
selbst,_,ADV,selbst,selbst
wollen,_,VMFIN,wollen,wollen
.,_,$.,.,.
Im,_,APPRART,in,Im
verschneiten,_,ADJA,verschneit,verschneiten
Nordamerika,_,NE,Nordamerika,Nordamerika
waren,_,VAFIN,sein,waren
unsere,_,PPOSAT,unser,unsere
Rituale,_,NN,Ritual,Rituale
aus,_,APPR,aus,aus
dem,_,ART,der,dem
globalen,_,ADJA,global,globalen
Süden,_,NN,Süden,Süden
.,_,$.,.,.
Bei,_,APPR,bei,Bei
meinem,_,PPOSAT,mein,meinem
ersten,_,ADJA,erster,ersten
Besuch,_,NN,Besuch,Besuch
in,_,APPR,in,in
Delhi,_,NE,Delhi,Delhi
oder,_,KON,oder,oder
in,_,APPR,in,in
Süditalien,_,NE,Süditalien,Süditalien
war,_,VAFIN,sein,war
ich,_,PPER,ich,ich
schockiert,_,ADJD,schockiert,schockiert
",",_,"$,",",",","
wie,_,PWAV,wie,wie
sehr,_,ADV,sehr,sehr
ich,_,PPER,ich,ich
mich,_,PRF,ich,mich
zu,_,APPR,zu,zu
Hause,_,NN,Haus,Hause
fühlte,_,VVFIN,fühlen,fühlte
.,_,$.,.,.
Die,_,ART,der,Die
Rituale,_,NN,Ritual,Rituale
waren,_,VAFIN,sein,waren
vertraut,_,ADJD,vertraut,vertraut
.,_,$.,.,.
"""",_,$(,"""",""""
R,_,XY,R,R
"""",_,$(,"""",""""
Nummer,_,NN,Nummer,Nummer
eins,_,CARD,eins,eins
:,_,$.,:,:
Rituale,_,NN,Ritual,Rituale
.,_,$.,.,.
Denken,_,VVIMP,denken,Denken
Sie,_,PPER,Sie,Sie
jetzt,_,ADV,jetzt,jetzt
an,_,APPR,an,an
Beziehungen,_,NN,Beziehung,Beziehungen
...,_,$(,...,...
Menschen,_,NN,Mensch,Menschen
",",_,"$,",",",","
die,_,PRELS,der,die
Ihren,_,PPOSAT,Ihr,Ihren
Alltag,_,NN,Alltag,Alltag
bestimmen,_,VVFIN,bestimmen,bestimmen
.,_,$.,.,.
Mit,_,APPR,mit,Mit
wem,_,PWS,wem,wem
sprechen,_,VVFIN,sprechen,sprechen
Sie,_,PPER,Sie,Sie
mindestens,_,ADV,mindestens,mindestens
einmal,_,ADV,einmal,einmal
pro,_,APPR,pro,pro
Woche,_,NN,Woche,Woche
",",_,"$,",",",","
entweder,_,KON,entweder,entweder
persönlich,_,ADJD,persönlich,persönlich
oder,_,KON,oder,oder
über,_,APPR,über,über
FaceTime,_,NE,FaceTime,FaceTime
?,_,$.,?,?
Schätzen,_,VVIMP,schätzen,Schätzen
Sie,_,PPER,Sie,Sie
es,_,PPER,es,es
realistisch,_,ADJD,realistisch,realistisch
ein,_,PTKVZ,ein,ein
;,_,$.,;,;
ich,_,PPER,ich,ich
spreche,_,VVFIN,sprechen,spreche
nicht,_,PTKNEG,nicht,nicht
von,_,APPR,von,von
Facebook-Freunden,_,NN,Facebook-Freund,Facebook-Freunden
.,_,$.,.,.
Ich,_,PPER,ich,Ich
spreche,_,VVFIN,sprechen,spreche
von,_,APPR,von,von
Leuten,_,NN,Leute,Leuten
",",_,"$,",",",","
die,_,PRELS,der,die
Ihr,_,PPOSAT,Ihr,Ihr
wöchentliches,_,ADJA,wöchentlich,wöchentliches
emotionales,_,ADJA,emotional,emotionales
Erleben,_,NN,Erleben,Erleben
formen,_,VVFIN,formen,formen
.,_,$.,.,.
Der,_,ART,der,Der
Bildungsminister,_,NN,Bildungsminister,Bildungsminister
im,_,APPRART,in,im
Süden,_,NN,Süden,Süden
von,_,APPR,von,von
London,_,NE,London,London
bezeichnete,_,VVFIN,bezeichnen,bezeichnete
sich,_,PRF,sich,sich
selber,_,ADV,selber,selber
als,_,KOKOM,als,als
«,_,$(,«,«
grossen,_,ADJA,groß,grossen
Fan,_,NN,Fan,Fan
»,_,$(,»,»
.,_,$.,.,.
Und,_,KON,und,Und
die,_,ART,der,die
Geschäftsorganisationen,_,NN,Geschäftsorganisation,Geschäftsorganisationen
dachten,_,VVFIN,denken,dachten
",",_,"$,",",",","
wir,_,PPER,wir,wir
seien,_,VAFIN,sein,seien
auf,_,APPR,auf,auf
der,_,ART,der,der
richtigen,_,ADJA,richtig,richtigen
Spur,_,NN,Spur,Spur
",",_,"$,",",",","
indem,_,KOUS,indem,indem
wir,_,PPER,wir,wir
einen,_,ART,ein,einen
Weg,_,NN,Weg,Weg
gefunden,_,VVPP,finden,gefunden
hatten,_,VAFIN,haben,hatten
",",_,"$,",",",","
die,_,ART,der,die
Kinder,_,NN,Kind,Kinder
viel,_,ADV,viel,viel
besser,_,ADJD,gut,besser
auf,_,APPR,auf,auf
das,_,ART,der,das
reale,_,ADJA,real,reale
Arbeitsleben,_,NN,Arbeitsleben,Arbeitsleben
vorzubereiten,_,VVIZU,vorbereiten,vorzubereiten
.,_,$.,.,.
Tatsächlich,_,ADV,tatsächlich,Tatsächlich
ist,_,VAFIN,sein,ist
der,_,ART,der,der
Vorsitzender,_,NN,Vorsitzende,Vorsitzender
der,_,ART,der,der
Handelskammer,_,NN,Handelskammer,Handelskammer
heute,_,ADV,heute,heute
der,_,ART,der,der
Vorstand,_,NN,Vorstand,Vorstand
der,_,ART,der,der
Stiftung,_,NN,Stiftung,Stiftung
für,_,APPR,für,für
Studio-Schulen,_,NN,Studio-Schule,Studio-Schulen
und,_,KON,und,und
hilft,_,VVFIN,helfen,hilft
tatkräftig,_,ADJD,tatkräftig,tatkräftig
mit,_,PTKVZ,mit,mit
",",_,"$,",",",","
nicht,_,PTKNEG,nicht,nicht
nur,_,ADV,nur,nur
mit,_,APPR,mit,mit
grossen,_,ADJA,groß,grossen
Firmen,_,NN,Firma,Firmen
sondern,_,KON,sondern,sondern
Kleinunternehmen,_,NN,Kleinunternehmen,Kleinunternehmen
im,_,APPRART,in,im
ganzen,_,ADJA,ganz,ganzen
Land,_,NN,Land,Land
.,_,$.,.,.
Wir,_,PPER,wir,Wir
begannen,_,VVFIN,beginnen,begannen
mit,_,APPR,mit,mit
zwei,_,CARD,zwei,zwei
Schulen,_,NN,Schule,Schulen
.,_,$.,.,.
Diese,_,PDAT,dieser,Diese
Zahl,_,NN,Zahl,Zahl
ist,_,VAFIN,sein,ist
dieses,_,PDAT,dieser,dieses
Jahr,_,NN,Jahr,Jahr
auf,_,APPR,auf,auf
etwa,_,ADV,etwa,etwa
10,_,CARD,10,10
angewachsen,_,VVPP,anwachsen,angewachsen
.,_,$.,.,.
Und,_,KON,und,Und
das,_,PDS,der,das
sollte,_,VMFIN,sollen,sollte
alles,_,PIS,alle,alles
verändern,_,VVINF,verändern,verändern
.,_,$.,.,.
Ich,_,PPER,ich,Ich
wurde,_,VAFIN,werden,wurde
das,_,ART,der,das
genaue,_,ADJA,genau,genaue
Gegenteil,_,NN,Gegenteil,Gegenteil
von,_,APPR,von,von
dem,_,PDS,der,dem
",",_,"$,",",",","
was,_,PWS,was,was
ich,_,PPER,ich,ich
gedacht,_,VVPP,denken,gedacht
hatte,_,VAFIN,haben,hatte
zu,_,PTKZU,zu,zu
sein,_,VAINF,sein,sein
.,_,$.,.,.
Ich,_,PPER,ich,Ich
blieb,_,VVFIN,bleiben,blieb
zuhause,_,ADV,zuhause,zuhause
",",_,"$,",",",","
anstatt,_,KOUI,anstatt,anstatt
raus,_,ADV,raus,raus
zu,_,PTKZU,zu,zu
gehen,_,VVINF,gehen,gehen
.,_,$.,.,.
Ich,_,PPER,ich,Ich
hörte,_,VVFIN,hören,hörte
auf,_,PTKVZ,auf,auf
",",_,"$,",",",","
mich,_,PRF,ich,mich
in,_,APPR,in,in
Vereinen,_,NN,Verein,Vereinen
und,_,KON,und,und
Gruppen,_,NN,Gruppe,Gruppen
zu,_,PTKZU,zu,zu
engagieren,_,VVINF,engagieren,engagieren
.,_,$.,.,.
Ich,_,PPER,ich,Ich
wollte,_,VMFIN,wollen,wollte
nicht,_,PTKNEG,nicht,nicht
mehr,_,ADV,mehr,mehr
auffallen,_,VVINF,auffallen,auffallen
.,_,$.,.,.
Ich,_,PPER,ich,Ich
sagte,_,VVFIN,sagen,sagte
mir,_,PRF,ich,mir
",",_,"$,",",",","
ich,_,PPER,ich,ich
würde,_,VAFIN,werden,würde
älter,_,ADJD,alt,älter
und,_,KON,und,und
erwachsener,_,ADJD,erwachsen,erwachsener
werden,_,VAINF,werden,werden
",",_,"$,",",",","
und,_,KON,und,und
nicht,_,PTKNEG,nicht,nicht
plötzlich,_,ADV,plötzlich,plötzlich
nach,_,APPR,nach,nach
Bestätigung,_,NN,Bestätigung,Bestätigung
suchen,_,VVINF,suchen,suchen
.,_,$.,.,.
Ich,_,PPER,ich,Ich
dachte,_,VVFIN,denken,dachte
nämlich,_,ADV,nämlich,nämlich
immer,_,ADV,immer,immer
",",_,"$,",",",","
das,_,PDS,der,das
bräuchte,_,VVFIN,brauchen,bräuchte
ich,_,PPER,ich,ich
nicht,_,PTKNEG,nicht,nicht
.,_,$.,.,.
Ich,_,PPER,ich,Ich
war,_,VAFIN,sein,war
ja,_,ADV,ja,ja
immer,_,ADV,immer,immer
etwas,_,ADV,etwas,etwas
unkonventionell,_,ADJD,unkonventionell,unkonventionell
.,_,$.,.,.
Aber,_,KON,aber,Aber
das,_,PDS,der,das
müssen,_,VMFIN,müssen,müssen
sie,_,PPER,sie,sie
auch,_,ADV,auch,auch
nicht,_,PTKNEG,nicht,nicht
.,_,$.,.,.
Ich,_,PPER,ich,Ich
erkläre,_,VVFIN,erklären,erkläre
Ihnen,_,PPER,Sie,Ihnen
",",_,"$,",",",","
warum,_,PWAV,warum,warum
.,_,$.,.,.
Stellen,_,VVIMP,stellen,Stellen
Sie,_,PPER,Sie,Sie
sich,_,PRF,sich,sich
vor,_,PTKVZ,vor,vor
:,_,$.,:,:
Eine,_,ART,ein,Eine
Bevölkerung,_,NN,Bevölkerung,Bevölkerung
hat,_,VAFIN,haben,hat
drei,_,CARD,drei,drei
verschiedene,_,ADJA,verschieden,verschiedene
Präferenzen,_,NN,Präferenz,Präferenzen
:,_,$.,:,:
Grün,_,NN,Grün,Grün
",",_,"$,",",",","
Orange,_,NN,Orange,Orange
und,_,KON,und,und
Rot,_,NN,Rot,Rot
.,_,$.,.,.
Aus,_,APPR,aus,Aus
deren,_,PDAT,der,deren
Perspekive,_,NN,Perspektive,Perspekive
sagen,_,VVFIN,sagen,sagen
diese,_,PDAT,dieser,diese
Vorlieben,_,NN,Vorliebe,Vorlieben
nichts,_,PIS,nichts,nichts
über,_,APPR,über,über
Gesundheit,_,NN,Gesundheit,Gesundheit
aus,_,PTKVZ,aus,aus
;,_,$.,;,;
es,_,PPER,es,es
gefällt,_,VVFIN,gefallen,gefällt
eben,_,ADV,eben,eben
",",_,"$,",",",","
was,_,PWS,was,was
gefällt,_,VVFIN,gefallen,gefällt
.,_,$.,.,.
Aber,_,ADV,aber,Aber
wenn,_,KOUS,wenn,wenn
es,_,PPER,es,es
ebenso,_,ADV,ebenso,ebenso
der,_,ART,der,der
Fall,_,NN,Fall,Fall
wäre,_,VAFIN,sein,wäre
",",_,"$,",",",","
dass,_,KOUS,dass,dass
diese,_,PDAT,dieser,diese
Vorlieben,_,NN,Vorliebe,Vorlieben
einhergehen,_,VVFIN,einhergehen,einhergehen
mit,_,APPR,mit,mit
verschiedenen,_,ADJA,verschieden,verschiedenen
Wahrscheinlichkeiten,_,NN,Wahrscheinlichkeit,Wahrscheinlichkeiten
",",_,"$,",",",","
Nachkommen,_,NN,Nachkomme,Nachkommen
zu,_,PTKZU,zu,zu
zeugen,_,VVINF,zeugen,zeugen
—,_,$(,-,—
sagen,_,VVFIN,sagen,sagen
wir,_,PPER,wir,wir
in,_,APPR,in,in
einem,_,ART,ein,einem
Verhältnis,_,NN,Verhältnis,Verhältnis
3:2:1,_,CARD,3:2:1,3:2:1
—,_,$(,-,—
dann,_,ADV,dann,dann
wäre,_,VAFIN,sein,wäre
die,_,ART,der,die
erste,_,ADJA,erster,erste
Generation,_,NN,Generation,Generation
3,_,CARD,3,3
x,_,XY,x,x
Grün,_,NN,Grün,Grün
zu,_,APPR,zu,zu
2,_,CARD,2,2
x,_,XY,x,x
Orange,_,NN,Orange,Orange
zu,_,APPR,zu,zu
1,_,CARD,1,1
x,_,XY,x,x
Rot,_,NN,Rot,Rot
.,_,$.,.,.
Und,_,KON,und,Und
zu,_,APPR,zu,zu
einem,_,ART,ein,einem
gewissen,_,ADJA,gewiss,gewissen
Grad,_,NN,Grad,Grad
hoffen,_,VVFIN,hoffen,hoffen
wir,_,PPER,wir,wir
auch,_,ADV,auch,auch
",",_,"$,",",",","
dass,_,KOUS,dass,dass
uns,_,PPER,wir,uns
die,_,ART,der,die
Geschichte,_,NN,Geschichte,Geschichte
recht,_,NN,Recht,recht
geben,_,VVINF,geben,geben
wird,_,VAFIN,werden,wird
.,_,$.,.,.
Das,_,PDS,der,Das
ist,_,VAFIN,sein,ist
Segway,_,NE,Segway,Segway
.,_,$.,.,.
Dies,_,PDS,dieser,Dies
ist,_,VAFIN,sein,ist
ein,_,ART,ein,ein
Stirling-Prozess-Motor,_,NN,Stirling-Prozess-Motor,Stirling-Prozess-Motor
;,_,$.,;,;
dieser,_,PDS,dieser,dieser
hat,_,VAFIN,haben,hat
uns,_,PPER,wir,uns
eine,_,ART,ein,eine
Menge,_,NN,Menge,Menge
Nerven,_,NN,Nerv,Nerven
gekostet,_,VVPP,kosten,gekostet
.,_,$.,.,.
Dieses,_,PDAT,dieser,Dieses
kleine,_,ADJA,klein,kleine
Biest,_,NN,Biest,Biest
",",_,"$,",",",","
genau,_,ADV,genau,genau
jetzt,_,ADV,jetzt,jetzt
",",_,"$,",",",","
produziert,_,VVFIN,produzieren,produziert
ein,_,ART,ein,ein
paar,_,PIDAT,paar,paar
hundert,_,CARD,hundert,hundert
Watt,_,NN,Watt,Watt
Strom,_,NN,Strom,Strom
.,_,$.,.,.
Ja,_,PTKANT,ja,Ja
",",_,"$,",",",","
es,_,PPER,es,es
könnte,_,VMFIN,können,könnte
hier,_,ADV,hier,hier
befestigt,_,VVPP,befestigen,befestigt
werden,_,VAINF,werden,werden
",",_,"$,",",",","
und,_,KON,und,und
ja,_,PTKANT,ja,ja
",",_,"$,",",",","
mit,_,APPR,mit,mit
einem,_,ART,ein,einem
Kilogramm,_,NN,Kilogramm,Kilogramm
Propan,_,NN,Propan,Propan
",",_,"$,",",",","
könnten,_,VMFIN,können,könnten
sie,_,PPER,Sie,sie
von,_,APPR,von,von
New,_,NE,New,New
York,_,NE,York,York
nach,_,APPR,nach,nach
Boston,_,NE,Boston,Boston
fahren,_,VVINF,fahren,fahren
",",_,"$,",",",","
wenn,_,KOUS,wenn,wenn
Sie,_,PPER,Sie,Sie
dies,_,PDS,dieser,dies
möchten,_,VMFIN,mögen,möchten
.,_,$.,.,.
Sie,_,PPER,sie,Sie
waren,_,VAFIN,sein,waren
gütig,_,ADJD,gütig,gütig
",",_,"$,",",",","
lustig,_,ADJD,lustig,lustig
",",_,"$,",",",","
geduldig,_,ADJD,geduldig,geduldig
",",_,"$,",",",","
sie,_,PPER,sie,sie
besaßen,_,VVFIN,besitzen,besaßen
die,_,ART,der,die
unendliche,_,ADJA,unendlich,unendliche
Geduld,_,NN,Geduld,Geduld
",",_,"$,",",",","
die,_,PRELS,der,die
Eltern,_,NN,Eltern,Eltern
von,_,APPR,von,von
11,_,CARD,11,11
Kindern,_,NN,Kind,Kindern
einfach,_,ADV,einfach,einfach
brauchen,_,VVFIN,brauchen,brauchen
.,_,$.,.,.
Und,_,KON,und,Und
sie,_,PPER,sie,sie
waren,_,VAFIN,sein,waren
gerecht,_,ADJD,gerecht,gerecht
.,_,$.,.,.
Sie,_,PPER,sie,Sie
haben,_,VAFIN,haben,haben
mir,_,PPER,ich,mir
die,_,ART,der,die
Religion,_,NN,Religion,Religion
nie,_,ADV,nie,nie
durch,_,APPR,durch,durch
einen,_,ART,ein,einen
kulturellen,_,ADJA,kulturell,kulturellen
Filter,_,NN,Filter,Filter
vermittelt,_,VVPP,vermitteln,vermittelt
.,_,$.,.,.
Ich,_,PPER,ich,Ich
wurde,_,VAFIN,werden,wurde
gleich,_,ADJD,gleich,gleich
behandelt,_,VVPP,behandeln,behandelt
",",_,"$,",",",","
von,_,APPR,von,von
mir,_,PPER,ich,mir
wurde,_,VAFIN,werden,wurde
das,_,ART,der,das
Gleiche,_,NN,Gleiche,Gleiche
erwartet,_,VVPP,erwarten,erwartet
.,_,$.,.,.
Mir,_,PPER,ich,Mir
wurde,_,VAFIN,werden,wurde
nie,_,ADV,nie,nie
gesagt,_,VVPP,sagen,gesagt
",",_,"$,",",",","
dass,_,KOUS,dass,dass
Gott,_,NN,Gott,Gott
nach,_,APPR,nach,nach
Geschlecht,_,NN,Geschlecht,Geschlecht
urteilt,_,VVFIN,urteilen,urteilt
.,_,$.,.,.
Meine,_,PPOSAT,mein,Meine
Eltern,_,NN,Eltern,Eltern
sahen,_,VVFIN,sehen,sahen
in,_,APPR,in,in
