token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,
Veruntreute,VERB,VVFIN,veruntreuen,veruntreuen
die,DET,ART,d,
AWO,NOUN,NN,AWO,AWO
Spendengeld,NOUN,NN,Spendengeld,Spendengeld
?,PUNCT,$.,?,
_,UNK,--,--,
_,UNK,--,--,
Staatsanwaltschaft,NOUN,NN,Staatsanwaltschaft,Staatsanwaltschaft
muß,VERB,VMFIN,müssen,müssen
AWO-Konten,NOUN,NN,AWO-Konto,AWO-Konto
prüfen,VERB,VVINF,prüfen,prüfen
/,PUNCT,$(,/,
_,UNK,--,--,
Flossen,VERB,VVFIN,fließen,fliessen
165.000,NUM,CARD,165.000,165.000
Mark,NOUN,NN,Mark,Mark
Sammelgelder,NOUN,NN,Sammelgeld,Sammelgeld
für,ADP,APPR,für,
Flutopfer,NOUN,NN,Flutopfer,Flutopfer
in,ADP,APPR,in,
ein,DET,ART,ein,
Altenheim,NOUN,NN,Altenheim,Altenheim
in,ADP,APPR,in,
Danzig,PROPN,NE,Danzig,
?,PUNCT,$.,?,
_,UNK,--,--,
Landesvorsitzende,NOUN,NN,Landesvorsitzende,Landesvorsitzender
Ute,PROPN,NE,Ute,
Wedemeier,PROPN,NE,Wedemeier,
_,UNK,--,--,
:,PUNCT,$.,:,
_,UNK,--,--,
_,UNK,--,--,
Ein,DET,ART,ein,
Buchungsfehler,NOUN,NN,Buchungsfehler,Buchungsfehler
_,UNK,--,--,
Im,ADP,APPRART,im,
Januar,NOUN,NN,Januar,Januar
hat,AUX,VAFIN,haben,
die,DET,ART,d,
Arbeiterwohlfahrt,PROPN,NE,Arbeiterwohlfahrt,
Bremen,PROPN,NE,Bremen,
ihren,DET,PPOSAT,ihr,
langjährigen,ADJ,ADJA,langjährig,langjährig
Geschäftsführer,NOUN,NN,Geschäftsführer,Geschäftsführer
Hans,PROPN,NE,Hans,
Taake,PROPN,NE,Taake,
fristlos,ADJ,ADJD,fristlos,fristlos
entlassen,VERB,VVPP,entlassen,entlassen
",",PUNCT,"$,",",",
nun,ADV,ADV,nun,nun
wird,AUX,VAFIN,werden,
auch,ADV,ADV,auch,auch
der,DET,ART,d,
Vorstand,NOUN,NN,Vorstand,Vorstand
der,DET,ART,d,
Wohlfahrtsorganisation,NOUN,NN,Wohlfahrtsorganisation,Wohlfahrtsorganisation
in,ADP,APPR,in,
den,DET,ART,d,
Fall,NOUN,NN,Fall,Fall
hineingezogen,VERB,VVPP,hineinziehen,hineinziehen
.,PUNCT,$.,.,
_,UNK,--,--,
In,ADP,APPR,in,
einer,DET,ART,ein,
anonymen,ADJ,ADJA,anonym,anonym
Anzeige,NOUN,NN,Anzeige,Anzeige
werden,AUX,VAFIN,werden,
der,DET,ART,d,
Bremer,ADJ,ADJA,Bremer,bremer
Staatsanwaltschaft,NOUN,NN,Staatsanwaltschaft,Staatsanwaltschaft
Details,NOUN,NN,Detail,Detail
über,ADP,APPR,über,
dubiose,ADJ,ADJA,dubios,dubios
finanzielle,ADJ,ADJA,finanziell,finanziell
Transaktionen,NOUN,NN,Transaktion,Transaktion
mitgeteilt,VERB,VVPP,mitteilen,mitteilen
.,PUNCT,$.,.,
_,UNK,--,--,
Verantwortlich,ADJ,ADJD,verantwortlich,verantwortlich
",",PUNCT,"$,",",",
so,ADV,ADV,so,so
_,UNK,--,--,
das,DET,ART,d,
Schreiben,NOUN,NN,Schreiben,Schreiben
einer,DET,ART,ein,
Mitarbeiterin,NOUN,NN,Mitarbeiterin,Mitarbeiterin
der,DET,ART,d,
AWO,PROPN,NE,AWO,
",",PUNCT,"$,",",",
sei,AUX,VAFIN,sein,
die,DET,ART,d,
Landesvorsitzende,NOUN,NN,Landesvorsitzende,Landesvorsitzender
Ute,PROPN,NE,Ute,
Wedemeier,PROPN,NE,Wedemeier,
",",PUNCT,"$,",",",
die,PRON,PRELS,d,
sich,PRON,PRF,sich,
jetzt,ADV,ADV,jetzt,jetzt
als,ADP,APPR,als,
"""",PUNCT,$(,"""",
Sauberfrau,NOUN,NN,Sauberfrau,Sauberfrau
"""",PUNCT,$(,"""",
gebe,VERB,VVFIN,geben,geben
",",PUNCT,"$,",",",
"""",PUNCT,$(,"""",
wo,SCONJ,KOUS,wo,
doch,ADV,ADV,doch,doch
alle,PRON,PIS,alle,
wissen,VERB,VVFIN,wissen,wissen
",",PUNCT,"$,",",",
wie,SCONJ,KOUS,wie,
eng,ADJ,ADJD,eng,eng
sie,PRON,PPER,sie,
mit,ADP,APPR,mit,
Taake,PROPN,NE,Taake,
zusammenhing,VERB,VVFIN,zusammenhängen,zusammenhängen
"""",PUNCT,$(,"""",
.,PUNCT,$.,.,
_,UNK,--,--,
_,UNK,--,--,
Vorwurf,NOUN,NN,Vorwurf,Vorwurf
Nummer,NOUN,NN,Nummer,Nummer
1,NUM,CARD,1,1
_,UNK,--,--,
:,PUNCT,$.,:,
165.000,NUM,CARD,165.000,165.000
Mark,NOUN,NN,Mark,Mark
aus,ADP,APPR,aus,
der,DET,ART,d,
bundesweiten,ADJ,ADJA,bundesweit,bundesweit
Geldsammlung,NOUN,NN,Geldsammlung,Geldsammlung
für,ADP,APPR,für,
die,DET,ART,d,
Flutopfer,NOUN,NN,Flutopfer,Flutopfer
in,ADP,APPR,in,
Südpolen,NOUN,NN,Südpolen,Südpolen
seien,AUX,VAFIN,sein,
über,ADP,APPR,über,
das,DET,ART,d,
Konto,NOUN,NN,Konto,Konto
des,DET,ART,d,
Bremer,ADJ,ADJA,Bremer,bremer
Landesverbandes,NOUN,NN,Landesverband,Landesverband
der,DET,ART,d,
AWO,PROPN,NE,AWO,
an,ADP,APPR,an,
die,DET,ART,d,
Caritas,PROPN,NE,Caritas,
in,ADP,APPR,in,
