token,tag,tag_STTS,lemma_gold,lemma_pred
Als,_,KOKOM,als,
nächstes,_,ADJD,nächster,
also,_,ADV,also,
",",_,"$,",",",
die,_,ART,der,
wissenschaftliche,_,ADJA,wissenschaftlich,
Methodik,_,NN,Methodik,
ein,_,ART,ein,
Grundsatz,_,NN,Grundsatz,
der,_,ART,der,
Physik,_,NN,Physik,
",",_,"$,",",",
aller,_,PIAT,aller,
Wissenschaften,_,NN,Wissenschaft,
—,_,$(,-,
sagt,_,VVFIN,sagen,
",",_,"$,",",",
daß,_,KOUS,dass,
man,_,PIS,man,
eine,_,ART,ein,
Hypothese,_,NN,Hypothese,
nicht,_,PTKNEG,nicht,
durch,_,APPR,durch,
Beobachtung,_,NN,Beobachtung,
beweisen,_,VVINF,beweisen,
kann,_,VMFIN,können,
.,_,$.,.,
Man,_,PIS,man,
kann,_,VMFIN,können,
sie,_,PPER,sie,
nur,_,ADV,nur,
widerlegen,_,VVINF,widerlegen,
.,_,$.,.,
Das,_,PDS,der,
heißt,_,VVFIN,heißen,
",",_,"$,",",",
daß,_,KOUS,dass,
man,_,PIS,man,
mehr,_,ADV,mehr,
und,_,KON,und,
mehr,_,ADV,mehr,
Information,_,NN,Information,
um,_,APPR,um,
eine,_,ART,ein,
Hypothese,_,NN,Hypothese,
oder,_,KON,oder,
einen,_,ART,ein,
Standpunkt,_,NN,Standpunkt,
sammeln,_,VVINF,sammeln,
kann,_,VMFIN,können,
die,_,PRELS,der,
sie,_,PPER,sie,
bestärkt,_,VVFIN,bestärken,
",",_,"$,",",",
aber,_,KON,aber,
nicht,_,PTKNEG,nicht,
endgültig,_,ADJD,endgültig,
beweist,_,VVFIN,beweisen,
.,_,$.,.,
Und,_,KON,und,
nur,_,ADV,nur,
eine,_,ART,ein,
einzige,_,ADJA,einziger,
gegenteilige,_,ADJA,gegenteilig,
Information,_,NN,Information,
kann,_,VMFIN,können,
die,_,ART,der,
ganze,_,ADJA,ganz,
Theorie,_,NN,Theorie,
kippen,_,VVINF,kippen,
.,_,$.,.,
Das,_,PDS,der,
klingt,_,VVFIN,klingen,
vielleicht,_,ADV,vielleicht,
zu,_,PTKA,zu,
simpel,_,ADJD,simpel,
",",_,"$,",",",
um,_,KOUI,um,
Verhalten,_,NN,Verhalten,
zu,_,PTKZU,zu,
beeinflussen,_,VVINF,beeinflussen,
",",_,"$,",",",
aber,_,KON,aber,
in,_,APPR,in,
einer,_,ART,ein,
Studie,_,NN,Studie,
fanden,_,VVFIN,finden,
wir,_,PPER,wir,
heraus,_,PTKVZ,heraus,
",",_,"$,",",",
dass,_,KOUS,dass,
Achtsamkeitstraining,_,NN,Achtsamkeitstraining,
Menschen,_,NN,Mensch,
doppelt,_,ADJD,doppelt,
so,_,ADV,so,
gut,_,ADJD,gut,
hilft,_,VVFIN,helfen,
das,_,ART,der,
Rauchen,_,NN,Rauchen,
aufzugeben,_,VVIZU,aufgeben,
wie,_,KOKOM,wie,
die,_,ART,der,
beste,_,ADJA,gut,
Standardtherapie,_,NN,Standardtherapie,
.,_,$.,.,
Es,_,PPER,es,
funktioniert,_,VVFIN,funktionieren,
also,_,ADV,also,
.,_,$.,.,
Als,_,KOUS,als,
wir,_,PPER,wir,
die,_,ART,der,
Gehirne,_,NN,Gehirn,
geübter,_,ADJA,geübt,
Meditierender,_,NN,Meditierende,
untersuchten,_,VVFIN,untersuchen,
",",_,"$,",",",
erkannten,_,VVFIN,erkennen,
wir,_,PPER,wir,
",",_,"$,",",",
Teile,_,NN,Teil,
der,_,ART,der,
neuronalen,_,ADJA,neuronal,
Netze,_,NN,Netz,
selbstreferenzieller,_,ADJA,selbstreferenziell,
Verarbeitung,_,NN,Verarbeitung,
",",_,"$,",",",
Bewusstseinsnetzwerk,_,NN,Bewusstseinsnetzwerk,
genannt,_,VVPP,nennen,
",",_,"$,",",",
spielten,_,VVFIN,spielen,
hier,_,ADV,hier,
eine,_,ART,ein,
Rolle,_,NN,Rolle,
.,_,$.,.,
Eine,_,ART,ein,
aktuelle,_,ADJA,aktuell,
Hypothese,_,NN,Hypothese,
sagt,_,VVFIN,sagen,
",",_,"$,",",",
dass,_,KOUS,dass,
eine,_,ART,ein,
Region,_,NN,Region,
dieses,_,PDAT,dieser,
Netzes,_,NN,Netz,
",",_,"$,",",",
namens,_,ADV,namens,
posteriorer,_,FM,posteriorer,
Gyrus,_,FM,Gyrus,
cinguli,_,FM,cinguli,
",",_,"$,",",",
nicht,_,PTKNEG,nicht,
unbedingt,_,ADV,unbedingt,
durch,_,APPR,durch,
das,_,ART,der,
Verlangen,_,NN,Verlangen,
selbst,_,ADV,selbst,
aktiviert,_,VVPP,aktivieren,
wird,_,VAFIN,werden,
",",_,"$,",",",
sondern,_,KON,sondern,
wenn,_,KOUS,wenn,
wir,_,PPER,wir,
davon,_,PAV,davon,
gefangen,_,VVPP,fangen,
sind,_,VAFIN,sein,
",",_,"$,",",",
hineingesaugt,_,VVPP,hineinsaugen,
werden,_,VAFIN,werden,
",",_,"$,",",",
und,_,KON,und,
es,_,PPER,es,
uns,_,PPER,wir,
hereinlegt,_,VVFIN,hereinlegen,
