token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Die,DET,ART,d,die
Köchin,NOUN,NN,Köchin,Köchin
der,DET,ART,d,der
Frau,NOUN,NN,Frau,Frau
Grubach,PROPN,NE,Grubach,Grubach
",",PUNCT,"$,",",",","
seine,DET,PPOSAT,sein,sein
Zimmervermieterin,NOUN,NN,Zimmervermieterin,Zimmervermieter
",",PUNCT,"$,",",",","
die,PRON,PRELS,d,die
ihm,PRON,PPER,er,ihm
jeden,DET,PIDAT,jed,jeden
Tag,NOUN,NN,Tag,Tag
gegen,ADP,APPR,gegen,gegen
acht,NUM,CARD,acht,acht
Uhr,NOUN,NN,Uhr,Uhr
früh,ADJ,ADJD,früh,früh
das,DET,ART,d,das
Frühstück,NOUN,NN,Frühstück,Frühstück
brachte,VERB,VVFIN,bringen,bringen
",",PUNCT,"$,",",",","
kam,VERB,VVFIN,kommen,kommen
diesmal,ADV,ADV,diesmal,diesmal
nicht,PART,PTKNEG,nicht,nicht
.,PUNCT,$.,.,.
_,UNK,--,--,_
Das,PRON,PDS,d,Das
war,AUX,VAFIN,sein,sein
noch,ADV,ADV,noch,noch
niemals,ADV,ADV,niemals,nie
geschehen,VERB,VVPP,geschehen,geschehen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Sofort,ADV,ADV,sofort,sofort
klopfte,VERB,VVFIN,klopfen,klopfen
es,PRON,PPER,es,es
und,CONJ,KON,und,und
ein,DET,ART,ein,ein
Mann,NOUN,NN,Mann,Mann
",",PUNCT,"$,",",",","
den,PRON,PRELS,d,der
er,PRON,PPER,er,er
in,ADP,APPR,in,in
dieser,DET,PDAT,dies,dies
Wohnung,NOUN,NN,Wohnung,Wohnung
noch,ADV,ADV,noch,noch
niemals,ADV,ADV,niemals,niemals
gesehen,VERB,VVPP,sehen,sehen
hatte,AUX,VAFIN,haben,haben
",",PUNCT,"$,",",",","
trat,VERB,VVFIN,treten,treten
ein,PART,PTKVZ,ein,ein
.,PUNCT,$.,.,.
_,UNK,--,--,_
Er,PRON,PPER,er,er
war,AUX,VAFIN,sein,war
schlank,ADJ,ADJD,schlank,schlank
und,CONJ,KON,und,und
doch,ADV,ADV,doch,doch
war,AUX,VAFIN,sein,war
er,PRON,PPER,er,er
fest,ADJ,ADJD,fest,fest
gebaut,ADJ,ADJD,gebaut,gebaut
",",PUNCT,"$,",",",","
er,PRON,PPER,er,er
trug,VERB,VVFIN,tragen,tragen
ein,DET,ART,ein,ein
anliegendes,ADJ,ADJA,anliegend,anliegend
schwarzes,ADJ,ADJA,schwarz,schwarz
Kleid,NOUN,NN,Kleid,Kleid
",",PUNCT,"$,",",",","
das,PRON,PRELS,d,das
",",PUNCT,"$,",",",","
ähnlich,ADJ,ADJD,ähnlich,ähnlich
den,DET,ART,d,den
Reiseanzügen,NOUN,NN,Reiseanzug,Reiseanzug
",",PUNCT,"$,",",",","
mit,ADP,APPR,mit,mit
verschiedenen,ADJ,ADJA,verschieden,verschiedene
Falten,NOUN,NN,Falte,Falte
",",PUNCT,"$,",",",","
Taschen,NOUN,NN,Tasche,Tasche
",",PUNCT,"$,",",",","
Schnallen,NOUN,NN,Schnalle,Schnalle
",",PUNCT,"$,",",",","
Knöpfen,NOUN,NN,Knopf,Knopf
und,CONJ,KON,und,und
einem,DET,ART,ein,ein
Gürtel,NOUN,NN,Gürtel,Gürtel
versehen,VERB,VVPP,versehen,versehen
war,AUX,VAFIN,sein,war
und,CONJ,KON,und,und
das,PRON,PRELS,d,das
infolgedessen,ADV,PAV,infolgedessen,infolgedessen
",",PUNCT,"$,",",",","
ohne,ADP,APPR,ohne,ohne
dass,SCONJ,KOUS,dass,dass
man,PRON,PIS,man,man
sich,PRON,PRF,sich,sich
darüber,ADV,PAV,darüber,darüber
klar,ADJ,ADJD,klar,klar
wurde,AUX,VAFIN,werden,werden
",",PUNCT,"$,",",",","
wozu,ADV,PWAV,wozu,wozu
es,PRON,PPER,es,es
dienen,VERB,VVINF,dienen,dienen
sollte,VERB,VMFIN,sollen,sollte
",",PUNCT,"$,",",",","
besonders,ADV,ADV,besonders,besonders
praktisch,ADJ,ADJD,praktisch,praktisch
erschien,VERB,VVFIN,erscheinen,erscheinen
.,PUNCT,$.,.,.
_,UNK,--,--,_
"""",PUNCT,$(,"""",
Wer,PRON,PWS,wer,wer
sind,AUX,VAFIN,sein,sein
Sie,PRON,PPER,sie,sie
?,PUNCT,$.,?,?
_,UNK,--,--,_
Der,DET,ART,d,der
Mann,NOUN,NN,Mann,Mann
aber,ADV,ADV,aber,aber
ging,VERB,VVFIN,gehen,gehen
über,ADP,APPR,über,über
die,DET,ART,d,die
Frage,NOUN,NN,Frage,Frage
hinweg,PART,PTKVZ,hinweg,hinweg
",",PUNCT,"$,",",",","
als,SCONJ,KOUS,als,als
müsse,VERB,VMFIN,müssen,müssen
man,PRON,PIS,man,man
seine,DET,PPOSAT,sein,sein
Erscheinung,NOUN,NN,Erscheinung,Erscheinung
hinnehmen,VERB,VVINF,hinnehmen,hinnehmen
",",PUNCT,"$,",",",","
und,CONJ,KON,und,und
er,PRON,PPER,er,er
sagte,VERB,VVFIN,sagen,sagen
bloß,ADV,ADV,bloß,bloß
seinerseits,ADV,ADV,seinerseits,seinerseits
:,PUNCT,$.,:,:
"""",PUNCT,$(,"""",
Sie,PRON,PPER,sie,sie
haben,AUX,VAFIN,haben,haben
geläutet,VERB,VVPP,läuten,läuten
?,PUNCT,$.,?,?
_,UNK,--,--,_
Aber,CONJ,KON,aber,Aber
dieser,PRON,PDS,dies,diese
setzte,VERB,VVFIN,setzen,setzen
sich,PRON,PRF,sich,sich
nicht,PART,PTKNEG,nicht,nicht
allzu,ADV,ADV,allzu,allzu
lange,ADJ,ADJD,lange,lang
seinen,DET,PPOSAT,sein,sein
Blicken,NOUN,NN,Blick,Blick
aus,PART,PTKVZ,aus,aus
",",PUNCT,"$,",",",","
sondern,CONJ,KON,sondern,sondern
er,PRON,PPER,er,er
wandte,VERB,VVFIN,wenden,wenden
sich,PRON,PRF,sich,sich
zur,ADP,APPRART,zur,zur
Tür,NOUN,NN,Tür,Tür
",",PUNCT,"$,",",",","
die,PRON,PRELS,d,die
er,PRON,PPER,er,er
ein,DET,ART,ein,ein
wenig,PRON,PIS,wenig,wenig
öffnete,VERB,VVFIN,öffnen,öffnen
",",PUNCT,"$,",",",","
um,SCONJ,KOUI,um,um
jemandem,PRON,PIS,jemand,jemand
",",PUNCT,"$,",",",","
der,PRON,PRELS,d,der
offenbar,ADJ,ADJD,offenbar,offensichtlich
knapp,ADV,ADV,knapp,knapp
hinter,ADP,APPR,hinter,hinter
der,DET,ART,d,der
Tür,NOUN,NN,Tür,Tür
stand,VERB,VVFIN,stehen,stehen
",",PUNCT,"$,",",",","
zu,PART,PTKZU,zu,zu
sagen,VERB,VVINF,sagen,sagen
:,PUNCT,$.,:,:
"""",PUNCT,$(,"""",
Er,PRON,PPER,er,er
will,VERB,VMFIN,wollen,wollen
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
Anna,PROPN,NE,Anna,Anna
ihm,PRON,PPER,er,ihm
das,DET,ART,d,das
Frühstück,NOUN,NN,Frühstück,Frühstück
bringt,VERB,VVFIN,bringen,bringen
.,PUNCT,$.,.,.
"""",PUNCT,$(,"""",
_,UNK,--,--,_
Ein,DET,ART,ein,ein
kleines,ADJ,ADJA,klein,klein
Gelächter,NOUN,NN,Gelächter,Gelächter
im,ADP,APPRART,im,im
Nebenzimmer,NOUN,NN,Nebenzimmer,Nebenzimmer
folgte,VERB,VVFIN,folgen,folgen
",",PUNCT,"$,",",",","
es,PRON,PPER,es,es
war,AUX,VAFIN,sein,sein
nach,ADP,APPR,nach,nach
dem,DET,ART,d,der
Klang,NOUN,NN,Klang,Klang
nicht,PART,PTKNEG,nicht,nicht
sicher,ADJ,ADJD,sicher,sicher
",",PUNCT,"$,",",",","
ob,SCONJ,KOUS,ob,ob
nicht,PART,PTKNEG,nicht,nicht
mehrere,DET,PIAT,mehrere,mehr
Personen,NOUN,NN,Person,Person
daran,ADV,PAV,daran,daran
beteiligt,ADJ,ADJD,beteiligt,beteiligen
waren,AUX,VAFIN,sein,sein
.,PUNCT,$.,.,.
"""",PUNCT,$(,"""",
Es,PRON,PPER,es,sein
ist,AUX,VAFIN,sein,sein
unmöglich,ADJ,ADJD,unmöglich,unmöglich
.,PUNCT,$.,.,.
_,UNK,--,--,_
"""",PUNCT,$(,"""",
Ich,PRON,PPER,ich,ich
will,VERB,VMFIN,wollen,wollen
doch,ADV,ADV,doch,doh
sehen,VERB,VVINF,sehen,sehen
",",PUNCT,"$,",",",","
was,PRON,PWS,was,was
für,ADP,APPR,für,für
Leute,NOUN,NN,Leute,Leute
im,ADP,APPRART,im,in
Nebenzimmer,NOUN,NN,Nebenzimmer,Nebenzimmer
sind,AUX,VAFIN,sein,sein
und,CONJ,KON,und,und
wie,ADV,PWAV,wie,wie
Frau,NOUN,NN,Frau,Frau
