token,tag,tag_STTS,lemma_gold,lemma_pred
Der,_,ART,der,die
SC,_,NE,SC,SC
Lituania,_,NE,Lituania,Lituania
Tilsit,_,NE,Tilsit,Tilsit
war,_,VAFIN,sein,sein
ein,_,ART,ein,eine
deutscher,_,ADJA,deutsch,deutsch
Sportverein,_,NN,Sportverein,Sportverein
der,_,ART,der,die
ostpreußischen,_,ADJA,ostpreußisch,ostpreußisch
Stadt,_,NN,Stadt,Stadt
Tilsit,_,NE,Tilsit,Tilsit
",",_,"$,",",",","
heute,_,ADV,heute,heute
Sowetsk,_,NE,Sowetsk,Sowetsk
.,_,$.,.,.
Der,_,ART,der,die
1907,_,CARD,1907,@card@
gegründete,_,ADJA,gegründet,gegründet
Verein,_,NN,Verein,Verein
wurde,_,VAFIN,werden,werden
1911,_,CARD,1911,@card@
Verbandsmeister,_,NN,Verbandsmeister,Verbandsmeister
des,_,ART,der,die
Baltischen,_,ADJA,baltisch,baltisch
Rasensport-Verbandes,_,NN,Rasensport-Verband,Rasensport-Verband
(,_,$(,(,(
BRV,_,NE,BRV,BRV
),_,$(,),)
und,_,KON,und,und
durfte,_,VMFIN,dürfen,dürfen
somit,_,ADV,somit,somit
an,_,APPR,an,an
der,_,ART,der,die
Endrunde,_,NN,Endrunde,Endrunde
um,_,APPR,um,um
die,_,ART,der,die
deutsche,_,ADJA,deutsch,deutsch
Fußballmeisterschaft,_,NN,Fußballmeisterschaft,Fußballmeisterschaft
teilnehmen,_,VVINF,teilnehmen,teilnehmen
.,_,$.,.,.
Wegen,_,APPR,wegen,wegen
zu,_,PTKA,zu,zu
hoher,_,ADJA,hoch,hoch
Reisekosten,_,NN,Reisekosten,Reisekosten
verzichtete,_,VVFIN,verzichten,verzichten
Lituania,_,NE,Lituania,Lituania
Tilsit,_,NE,Tilsit,Tilsit
jedoch,_,ADV,jedoch,jedoch
auf,_,APPR,auf,auf
das,_,ART,der,die
Startrecht,_,NN,Startrecht,Startrecht
",",_,"$,",",",","
so,_,ADV,so,so
dass,_,KOUS,dass,dass
die,_,ART,der,die
gegnerische,_,ADJA,gegnerisch,gegnerisch
Mannschaft,_,NN,Mannschaft,Mannschaft
vom,_,APPRART,von,von+die
Berliner,_,ADJA,Berliner,Berliner
TuFC,_,NE,TuFC,TuFC
Viktoria,_,NE,Viktoria,Viktoria
89,_,CARD,89,@card@
kampflos,_,ADJD,kampflos,kampflos
ins,_,APPRART,in,in+die
Halbfinale,_,NN,Halbfinale,Halbfinale
einrückte,_,VVFIN,einrücken,einrücken
.,_,$.,.,.
1912,_,CARD,1912,@card@
und,_,KON,und,und
1913,_,CARD,1913,@card@
erreichte,_,VVFIN,erreichen,erreichen
der,_,ART,der,die
Verein,_,NN,Verein,Verein
