token,tag,tag_STTS,lemma_gold,lemma_pred
Der,_,ART,der,Der
SC,_,NE,SC,SC
Lituania,_,NE,Lituania,Lituania
Tilsit,_,NE,Tilsit,Tilsit
war,_,VAFIN,sein,war
ein,_,ART,ein,ein
deutscher,_,ADJA,deutsch,deutscher
Sportverein,_,NN,Sportverein,Sportverein
der,_,ART,der,der
ostpreußischen,_,ADJA,ostpreußisch,ostpreußischen
Stadt,_,NN,Stadt,Stadt
Tilsit,_,NE,Tilsit,Tilsit
",",_,"$,",",",","
heute,_,ADV,heute,heute
Sowetsk,_,NE,Sowetsk,Sowetsk
.,_,$.,.,.
Der,_,ART,der,Der
1907,_,CARD,1907,1907
gegründete,_,ADJA,gegründet,gegründete
Verein,_,NN,Verein,Verein
wurde,_,VAFIN,werden,wurde
1911,_,CARD,1911,1911
Verbandsmeister,_,NN,Verbandsmeister,Verbandsmeister
des,_,ART,der,des
Baltischen,_,ADJA,baltisch,Baltischen
Rasensport-Verbandes,_,NN,Rasensport-Verband,Rasensport-Verbandes
(,_,$(,(,(
BRV,_,NE,BRV,BRV
),_,$(,),)
und,_,KON,und,und
durfte,_,VMFIN,dürfen,durfte
somit,_,ADV,somit,somit
an,_,APPR,an,an
der,_,ART,der,der
Endrunde,_,NN,Endrunde,Endrunde
um,_,APPR,um,um
die,_,ART,der,die
deutsche,_,ADJA,deutsch,deutsche
Fußballmeisterschaft,_,NN,Fußballmeisterschaft,Fußballmeisterschaft
teilnehmen,_,VVINF,teilnehmen,teilnehmen
.,_,$.,.,.
Wegen,_,APPR,wegen,Wegen
zu,_,PTKA,zu,zu
hoher,_,ADJA,hoch,hoher
Reisekosten,_,NN,Reisekosten,Reisekosten
verzichtete,_,VVFIN,verzichten,verzichtete
Lituania,_,NE,Lituania,Lituania
Tilsit,_,NE,Tilsit,Tilsit
jedoch,_,ADV,jedoch,jedoch
auf,_,APPR,auf,auf
das,_,ART,der,das
Startrecht,_,NN,Startrecht,Startrecht
",",_,"$,",",",","
so,_,ADV,so,so
dass,_,KOUS,dass,dass
die,_,ART,der,die
gegnerische,_,ADJA,gegnerisch,gegnerische
Mannschaft,_,NN,Mannschaft,Mannschaft
vom,_,APPRART,von,vom
Berliner,_,ADJA,Berliner,Berliner
TuFC,_,NE,TuFC,TuFC
Viktoria,_,NE,Viktoria,Viktoria
89,_,CARD,89,89
kampflos,_,ADJD,kampflos,kampflos
ins,_,APPRART,in,ins
Halbfinale,_,NN,Halbfinale,Halbfinale
einrückte,_,VVFIN,einrücken,einrückte
.,_,$.,.,.
1912,_,CARD,1912,1912
und,_,KON,und,und
1913,_,CARD,1913,1913
erreichte,_,VVFIN,erreichen,erreichte
der,_,ART,der,der
Verein,_,NN,Verein,Verein
noch,_,ADV,noch,noch
die,_,ART,der,die
Baltische,_,ADJA,Baltisch,Baltische
Endrunde,_,NN,Endrunde,Endrunde
",",_,"$,",",",","
unterlag,_,VVFIN,unterliegen,unterlag
aber,_,ADV,aber,aber
in,_,APPR,in,in
beiden,_,PIAT,beide,beiden
Jahren,_,NN,Jahr,Jahren
dem,_,ART,der,dem
jeweiligen,_,ADJA,jeweilig,jeweiligen
Finalgegner,_,NN,Finalgegner,Finalgegner
.,_,$.,.,.
Nachdem,_,KOUS,nachdem,Nachdem
Lituania,_,NE,Lituania,Lituania
in,_,APPR,in,in
den,_,ART,der,den
20er,_,ADJA,20er,20er
Jahren,_,NN,Jahr,Jahren
ohne,_,APPR,ohne,ohne
größeren,_,ADJA,groß,größeren
Erfolg,_,NN,Erfolg,Erfolg
im,_,APPRART,in,im
Bezirk,_,NN,Bezirk,Bezirk
Ostpreußen,_,NE,Ostpreußen,Ostpreußen
gespielt,_,VVPP,spielen,gespielt
hatte,_,VAFIN,haben,hatte
",",_,"$,",",",","
erfolgte,_,VVFIN,erfolgen,erfolgte
1929,_,CARD,1929,1929
die,_,ART,der,die
Fusion,_,NN,Fusion,Fusion
mit,_,APPR,mit,mit
dem,_,ART,der,dem
Verein,_,NN,Verein,Verein
für,_,APPR,für,für
Körperübungen,_,NN,Körperübung,Körperübungen
Tilsit,_,NE,Tilsit,Tilsit
zum,_,APPRART,zu,zum
Tilsiter,_,ADJA,Tilsit,Tilsiter
SC,_,NE,SC,SC
.,_,$.,.,.
Córrego,_,NE,Córrego,Córrego
do,_,NE,do,do
Ouro,_,NE,Ouro,Ouro
ist,_,VAFIN,sein,ist
eine,_,ART,ein,eine
brasilianische,_,ADJA,brasilianisch,brasilianische
politische,_,ADJA,politisch,politische
Gemeinde,_,NN,Gemeinde,Gemeinde
im,_,APPRART,in,im
Bundesstaat,_,NN,Bundesstaat,Bundesstaat
Goiás,_,NE,Goiás,Goiás
in,_,APPR,in,in
der,_,ART,der,der
