token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,
Na,INTJ,ITJ,na,
.,PUNCT,$.,.,
_,UNK,--,--,
Ist,AUX,VAFIN,sein,
doch,ADV,ADV,doch,doch
voll,ADV,ADV,voll,voll
egal,ADJ,ADJD,egal,egal
.,PUNCT,$.,.,
_,UNK,--,--,
Darauf,ADV,PAV,darauf,darauf
kommt,VERB,VVFIN,kommen,kommen
es,PRON,PPER,es,
doch,ADV,ADV,doch,doch
gar,ADV,ADV,gar,gar
nicht,PART,PTKNEG,nicht,
an,PART,PTKVZ,an,
.,PUNCT,$.,.,
_,UNK,--,--,
Nein,PART,PTKANT,nein,
.,PUNCT,$.,.,
_,UNK,--,--,
Er,PRON,PPER,er,
hat,AUX,VAFIN,haben,
es,PRON,PPER,es,
halt,ADV,ADV,halt,halt
falsch,ADJ,ADJD,falsch,falsch
beschrieben,VERB,VVPP,beschreiben,beschreiben
.,PUNCT,$.,.,
_,UNK,--,--,
Er,PRON,PPER,er,
hat,AUX,VAFIN,haben,
das,PRON,PDS,d,
mit,ADP,APPR,mit,
Handbreiten,NOUN,NN,Handbreite,Handbreiten
und,CONJ,KON,und,
Zentimetern,NOUN,NN,Zentimeter,Zentimeter
gemacht,VERB,VVPP,machen,machen
.,PUNCT,$.,.,
_,UNK,--,--,
Hallo,INTJ,ITJ,hallo,
.,PUNCT,$.,.,
_,UNK,--,--,
Ich,PRON,PPER,ich,
bin,AUX,VAFIN,sein,
anwesend,ADJ,ADJD,anwesend,anwesend
.,PUNCT,$.,.,
_,UNK,--,--,
Man,PRON,PIS,man,
redet,VERB,VVFIN,reden,reden
nicht,PART,PTKNEG,nicht,
von,ADP,APPR,von,
anwesenden,ADJ,ADJA,anwesend,anwesend
Personen,NOUN,NN,Person,Person
.,PUNCT,$.,.,
_,UNK,--,--,
Wir,PRON,PPER,wir,
haben,AUX,VAFIN,haben,
alles,PRON,PIS,alles,
total,ADJ,ADJD,total,total
.,PUNCT,$.,.,
_,UNK,--,--,
Okay,ADV,ADV,okay,okay
.,PUNCT,$.,.,
_,UNK,--,--,
Danke,PART,PTKANT,danke,
.,PUNCT,$.,.,
_,UNK,--,--,
Hallo,INTJ,ITJ,hallo,
",",PUNCT,"$,",",",
Therese,PROPN,NE,Therese,
.,PUNCT,$.,.,
_,UNK,--,--,
Hallo,INTJ,ITJ,hallo,
",",PUNCT,"$,",",",
Alex,PROPN,NE,Alex,
.,PUNCT,$.,.,
_,UNK,--,--,
Da,ADV,ADV,da,da
bin,AUX,VAFIN,sein,
ich,PRON,PPER,ich,
schon,ADV,ADV,schon,schon
wieder,ADV,ADV,wieder,wieder
.,PUNCT,$.,.,
_,UNK,--,--,
Na,INTJ,ITJ,na,
",",PUNCT,"$,",",",
Mensch,NOUN,NN,Mensch,Mensch
.,PUNCT,$.,.,
_,UNK,--,--,
So,ADV,ADV,so,so
.,PUNCT,$.,.,
_,UNK,--,--,
Jetzt,ADV,ADV,jetzt,jetzt
beschreibe,VERB,VVFIN,beschreiben,beschreiben
ich,PRON,PPER,ich,
dir,PRON,PPER,du,
mal,ADV,ADV,mal,mal
einen,DET,ART,ein,
Weg,NOUN,NN,Weg,Weg
.,PUNCT,$.,.,
_,UNK,--,--,
Tue,VERB,VVIMP,tun,tuen
dies,PRON,PDS,dies,
!,PUNCT,$.,!,
_,UNK,--,--,
So,ADV,ADV,so,so
.,PUNCT,$.,.,
_,UNK,--,--,
Hast,AUX,VAFIN,haben,
du,PRON,PPER,du,
unten,ADV,ADV,unten,unten
links,ADV,ADV,links,links
so,ADV,ADV,so,so
einen,DET,ART,ein,
Startpunkt,NOUN,NN,Startpunkt,Startpunkt
?,PUNCT,$.,?,
_,UNK,--,--,
Nein,PART,PTKANT,nein,
.,PUNCT,$.,.,
_,UNK,--,--,
Nein,PART,PTKANT,nein,
.,PUNCT,$.,.,
_,UNK,--,--,
Doch,PART,PTKANT,doch,
.,PUNCT,$.,.,
_,UNK,--,--,
Du,PRON,PPER,du,
hast,AUX,VAFIN,haben,
den,PRON,PDS,d,
auf,ADP,APPR,auf,
jeden,DET,PIDAT,jed,
Fall,NOUN,NN,Fall,Fall
.,PUNCT,$.,.,
_,UNK,--,--,
Das,PRON,PDS,d,
ist,AUX,VAFIN,sein,
doch,ADV,ADV,doch,doch
immer,ADV,ADV,immer,immer
gleich,ADJ,ADJD,gleich,gleich
.,PUNCT,$.,.,
_,UNK,--,--,
Ja,PART,PTKANT,ja,
.,PUNCT,$.,.,
_,UNK,--,--,
Wer,PRON,PWS,wer,
weiß,VERB,VVFIN,wissen,wissen
das,PRON,PDS,d,
?,PUNCT,$.,?,
_,UNK,--,--,
Weißt,VERB,VVFIN,wissen,weißen
du,PRON,PPER,du,
",",PUNCT,"$,",",",
irgendwie,ADV,ADV,irgendwie,irgendwie
verarschen,VERB,VVFIN,verarschen,verarschen
die,PRON,PDS,d,
einen,PRON,PIS,ein,
ja,ADV,ADV,ja,ja
doch,ADV,ADV,doch,doch
hier,ADV,ADV,hier,hier
so,ADV,ADV,so,so
ein,DET,ART,ein,
bisschen,PRON,PIS,bisschen,
.,PUNCT,$.,.,
_,UNK,--,--,
Also,ADV,ADV,also,also
.,PUNCT,$.,.,
_,UNK,--,--,
Von,ADP,APPR,von,
diesem,DET,PDAT,dies,
Startpunkt,NOUN,NN,Startpunkt,Startpunkt
gehst,VERB,VVFIN,gehen,gehen
du,PRON,PPER,du,
rechts,ADV,ADV,rechts,rechts
.,PUNCT,$.,.,
_,UNK,--,--,
Aber,CONJ,KON,aber,
warte,VERB,VVIMP,warten,warten
.,PUNCT,$.,.,
_,UNK,--,--,
Ich,PRON,PPER,ich,
will,VERB,VMFIN,wollen,wollen
es,PRON,PPER,es,
dir,PRON,PPER,du,
erst,ADV,ADV,erst,erst
zu,ADP,APPR,zu,
Ende,NOUN,NN,Ende,Ende
erklären,VERB,VVINF,erklären,erklären
.,PUNCT,$.,.,
_,UNK,--,--,
Okay,ADV,ADV,okay,okay
.,PUNCT,$.,.,
_,UNK,--,--,
Okay,ADV,ADV,okay,okay
.,PUNCT,$.,.,
_,UNK,--,--,
Ich,PRON,PPER,ich,
bin,AUX,VAFIN,sein,
nicht,PART,PTKNEG,nicht,
.,PUNCT,$.,.,
_,UNK,--,--,
Du,PRON,PPER,du,
gehst,VERB,VVFIN,gehen,gehen
so,ADV,ADV,so,so
bis,ADP,APPR,bis,
zur,ADP,APPRART,zur,
Hälfte,NOUN,NN,Hälfte,Hälfte
des,DET,ART,d,
Bildes,NOUN,NN,Bild,Bild
parallel,ADJ,ADJD,parallel,parallel
nach,ADP,APPR,nach,
rechts,ADV,ADV,rechts,rechts
.,PUNCT,$.,.,
_,UNK,--,--,
Also,ADV,ADV,also,also
gehst,VERB,VVFIN,gehen,gehen
du,PRON,PPER,du,
einfach,ADV,ADV,einfach,einfach
eine,DET,ART,ein,
senkrechte,ADJ,ADJA,senkrecht,senkrecht
Linie,NOUN,NN,Linie,Linie
.,PUNCT,$.,.,
_,UNK,--,--,
Boah,INTJ,ITJ,boah,
.,PUNCT,$.,.,
_,UNK,--,--,
Fick,VERB,VVIMP,ficken,ficken
dich,PRON,PRF,du,
.,PUNCT,$.,.,
_,UNK,--,--,
Mann,NOUN,NN,Mann,Mann
.,PUNCT,$.,.,
_,UNK,--,--,
Ich,PRON,PPER,ich,
will,VERB,VMFIN,wollen,wollen
jetzt,ADV,ADV,jetzt,jetzt
nach,ADP,APPR,nach,
rechts,ADV,ADV,rechts,rechts
gehen,VERB,VVINF,gehen,gehen
.,PUNCT,$.,.,
_,UNK,--,--,
Ja,PART,PTKANT,ja,
.,PUNCT,$.,.,
_,UNK,--,--,
Du,PRON,PPER,du,
machst,VERB,VVFIN,machen,machen
es,PRON,PPER,es,
jetzt,ADV,ADV,jetzt,jetzt
so,ADV,ADV,so,so
.,PUNCT,$.,.,
_,UNK,--,--,
Okay,ADV,ADV,okay,okay
.,PUNCT,$.,.,
_,UNK,--,--,
Da,ADV,ADV,da,da
ist,AUX,VAFIN,sein,
ein,DET,ART,ein,
Bild,NOUN,NN,Bild,Bild
.,PUNCT,$.,.,
_,UNK,--,--,
Oder,CONJ,KON,oder,
ist,AUX,VAFIN,sein,
da,ADV,ADV,da,da
ein,DET,ART,ein,
Bild,NOUN,NN,Bild,Bild
?,PUNCT,$.,?,
_,UNK,--,--,
Das,PRON,PDS,d,
ist,AUX,VAFIN,sein,
ein,DET,ART,ein,
Käsebild,NOUN,NN,Käsebild,Käsebild
so,ADV,ADV,so,so
.,PUNCT,$.,.,
_,UNK,--,--,
Genau,ADV,ADV,genau,genau
.,PUNCT,$.,.,
_,UNK,--,--,
Du,PRON,PPER,du,
gehst,VERB,VVFIN,gehen,gehen
so,ADV,ADV,so,so
.,PUNCT,$.,.,
_,UNK,--,--,
Das,PRON,PDS,d,
ist,AUX,VAFIN,sein,
ein,DET,ART,ein,
Gouda,NOUN,NN,Gouda,Gouda
.,PUNCT,$.,.,
_,UNK,--,--,
Oder,CONJ,KON,oder,
was,PRON,PWS,was,
das,PRON,PDS,d,
ist,AUX,VAFIN,sein,
.,PUNCT,$.,.,
_,UNK,--,--,
Du,PRON,PPER,du,
gehst,VERB,VVFIN,gehen,gehen
so,ADV,ADV,so,so
unten,ADV,ADV,unten,unten
rechts,ADV,ADV,rechts,rechts
vom,ADP,APPRART,vom,
Käse,NOUN,NN,Käse,Käse
praktisch,ADV,ADV,praktisch,praktisch
entlang,PART,PTKVZ,entlang,
.,PUNCT,$.,.,
_,UNK,--,--,
Ja,PART,PTKANT,ja,
.,PUNCT,$.,.,
