,token,pos,lemma_gold,lemma_pred
0,Dazu,ADV,dazu,Dazu
6,E-Mail-Adressen,NOUN,Adresse,E-Mail-Adressen
12,Die,DET,die,Die
13,bisherigen,ADJ,bisherig,bisherigen
14,kostenlosen,ADJ,kostenlos,kostenlosen
15,Dienste,NOUN,Dienst,Dienste
21,Das,DET,das,Das
22,US-amerikanische,ADJ,amerikanisch,US-amerikanische
25,verlängert,VERB,verlängern,verlängert
29,Forschungskonsortium,NOUN,Konsortium,Forschungskonsortium
32,Internet2,X,internet2,Internet2
33,ist,AUX,sein,ist
39,gegründeter,ADJ,gründen,gegründeter
40,Zusammenschluss,NOUN,Zusammenschluß,Zusammenschluss
44,Universitäten,NOUN,Universität,Universitäten
53,nächsten,ADJ,nächste,nächsten
60,liefert,VERB,liefern,liefert
64,nötige,ADJ,nötig,nötige
65,Leitungsinfrastruktur,NOUN,Infrastruktur,Leitungsinfrastruktur
67,Das,DET,das,Das
68,deutsche,ADJ,deutsch,deutsche
70,ging,VERB,gehen,ging
80,erwartet,VERB,erwarten,erwartet
83,vorläufigen,ADJ,vorläufig,vorläufigen
84,Zahlen,NOUN,Zahl,Zahlen
91,Geschäftsjahres,NOUN,Geschäftsjahr,Geschäftsjahres
98,Milliarden,NOUN,Milliarde,Milliarden
99,US-Dollar,NOUN,Dollar,US-Dollar
102,resultiere,VERB,resultieren,resultiere
113,Die,DET,die,Die
114,Erwartungen,NOUN,Erwartung,Erwartungen
116,Analysten,NOUN,Analyst,Analysten
117,betrugen,VERB,betragen,betrugen
125,Nach,ADP,nach,Nach
127,Attentaten,NOUN,Attentat,Attentaten
131,müssten,AUX,müssen,müssten
133,Erwartungen,NOUN,Erwartung,Erwartungen
137,korrigiert,VERB,korrigieren,korrigiert
140,sagte,VERB,sagen,sagte
141,Vorstandvorsitzender,NOUN,Vorsitzender,Vorstandvorsitzender
146,heutigen,ADJ,heutig,heutigen
149,Die,DET,die,Die
152,Unternehmens,NOUN,Unternehmen,Unternehmens
153,sei,AUX,sein,sei
161,derzeitigen,ADJ,derzeitig,derzeitigen
162,ökonomischen,ADJ,ökonomisch,ökonomischen
163,Bedingungen,NOUN,Bedingung,Bedingungen
164,seien,AUX,sein,seien
170,Daher,ADV,daher,Daher
171,will,AUX,wollen,will
179,einige,DET,einig,einige
180,Fabriken,NOUN,Fabrik,Fabriken
183,Für,ADP,für,Für
185,zweite,ADJ,zweit,zweite
191,zusätzliche,ADJ,zusätzlich,zusätzliche
192,Belastungen,NOUN,Belastung,Belastungen
197,Millionen,NOUN,Million,Millionen
198,US-Dollar,NOUN,Dollar,US-Dollar
200,In,ADP,in,In
202,Tagen,NOUN,Tag,Tagen
203,hatten,AUX,haben,hatten
206,PC-Hersteller,NOUN,Hersteller,PC-Hersteller
210,Gewinnwarnungen,NOUN,Warnung,Gewinnwarnungen
213,rückläufigen,ADJ,rückläufig,rückläufigen
219,Ereignissen,NOUN,Ereignis,Ereignissen
223,verkündet,VERB,verkünden,verkündet
228,zeigten,VERB,zeigen,zeigten
235,Die,DET,die,Die
236,Bundesregierung,NOUN,Regierung,Bundesregierung
237,zeigt,VERB,zeigen,zeigt
239,bedingt,ADJ,bedingen,bedingt
245,Fachkräftemangels,NOUN,Mangel,Fachkräftemangels
248,IT-Branche,NOUN,Branche,IT-Branche
250,Bis,ADP,bis,Bis
252,könnte,AUX,können,könnte
255,zusätzliche,ADJ,zusätzlich,zusätzliche
256,Fachkräfte,NOUN,Fachkraft,Fachkräfte
259,erklärte,VERB,erklären,erklärte
262,Bundesregierung,NOUN,Regierung,Bundesregierung
268,große,ADJ,groß,große
271,CDU/CSU-Fraktion,NOUN,Fraktion,CDU/CSU-Fraktion
274,sei,AUX,sein,sei
280,engagiert,ADJ,engagieren,engagiert
281,ausbildeten,VERB,ausbilden,ausbildeten
284,Bundesanstalt,NOUN,Anstalt,Bundesanstalt
288,Weiterbildungsmaßnahmen,NOUN,Maßnahme,Weiterbildungsmaßnahmen
291,hohem,ADJ,hoch,hohem
294,beibehalte,VERB,beibehalten,beibehalte
296,Außerdem,ADV,außerdem,Außerdem
297,müssten,AUX,müssen,müssten
298,Hochschulreformen,NOUN,Reform,Hochschulreformen
304,Weiterbildung,NOUN,Bildung,Weiterbildung
306,IT-Bereich,NOUN,Bereich,IT-Bereich
307,abgeschlossen,VERB,abschließen,abgeschlossen
310,Als,CCONJ,als,Als
311,Beispiele,NOUN,Beispiel,Beispiele
313,Reformen,NOUN,Reform,Reformen
314,nannte,VERB,nennen,nannte
318,anderem,PRON,ander,anderem
321,Sofortprogramm,NOUN,Programm,Sofortprogramm
323,Bundesregierung,NOUN,Regierung,Bundesregierung
325,IuK-Wirtschaft,NOUN,Wirtschaft,IuK-Wirtschaft
329,IT-Fachkräftebedarfs,NOUN,Bedarf,IT-Fachkräftebedarfs
342,Anschluss,NOUN,Anschluß,Anschluss
