token,tag,tag_STTS,lemma_gold,lemma_pred
Der,DET,ART,der,
Hauptgang,NOUN,NN,Hauptgang,Hauptgang
war,AUX,VAFIN,sein,
in,ADP,APPR,in,
Ordnung,NOUN,NN,Ordnung,Ordnung
",",PUNCT,"$,",",",
aber,CCONJ,KON,aber,
alles,ADV,PIAT,alle,all
andere,PRON,PIS,ander,
als,ADP,KOKOM,als,
umwerfend,ADJ,ADJD,umwerfend,umwerfend
.,PUNCT,$.,.,
Ich,PRON,PPER,ich,
habe,AUX,VAFIN,haben,
dort,ADV,ADV,dort,dort
2007,NUM,CARD,2007,2007
meinen,DET,PPOSAT,mein,
OWD,PROPN,NN,OWD,
gemacht,VERB,VVPP,machen,machen
und,CCONJ,KON,und,
weil,SCONJ,KOUS,weil,
mir,PRON,PPER,ich,
das,DET,ART,der,
Tauchen,NOUN,NN,Tauchen,Tauchen
so,ADV,ADV,so,so
gefiel,VERB,VVFIN,gefallen,gefallen
hab,AUX,VAFIN,haben,
ich,PRON,PPER,ich,
dort,ADV,ADV,dort,dort
noch,ADV,ADV,noch,noch
im,_,,_,
in,ADP,APPR,in,
dem,DET,ART,der,
selben,DET,PDAT,selb,
Jahr,NOUN,NN,Jahr,Jahr
den,DET,ART,der,
AOWD,PROPN,NN,AOWD,
und,CCONJ,KON,und,
den,DET,ART,der,
Deep,PROPN,NN,Deep,
drangehängt,VERB,VVFIN,dranhängen,drangehängen
.,PUNCT,$.,.,
Ist,AUX,VAFIN,sein,
ja,PART,ADV,ja,
wohl,ADV,ADV,wohl,wohl
ein,DET,ART,ein,
Witz,NOUN,NN,Witz,Witz
.,PUNCT,$.,.,
(,PUNCT,$(,(,
Bei,ADP,APPR,bei,
den,DET,ART,der,
Damen,NOUN,NN,Dame,Dame
und,CCONJ,KON,und,
Herren,NOUN,NN,Herr,Herr
des,DET,ART,der,
besagten,ADJ,ADJA,besagt,besagt
Mobilfunkanbieters,NOUN,NN,Mobilfunkanbieters,Mobilfunkanbieter
bin,AUX,VAFIN,sein,
ich,PRON,PPER,ich,
im,_,,_,
in,ADP,APPR,in,
dem,DET,ART,der,
Gegensatz,NOUN,NN,Gegensatz,Gegensatz
dazu,ADV,PAV,dazu,dazu
bisher,ADV,ADV,bisher,bisher
ausschließlich,ADV,ADV,ausschließlich,ausschließlich
auf,ADP,APPR,auf,
arrogante,ADJ,ADJA,arrogant,arrogant
Unkenntnis,NOUN,NN,Unkenntnis,Unkenntnis
gestossen,VERB,VVPP,stoßen,stossen
),PUNCT,$(,),
.,PUNCT,$.,.,
10,NUM,CARD,10,10
Euro,NOUN,NN,Euro,Euro
günstiger,ADV,ADJD,günstig,günstig
selbst,ADV,ADV,selbst,selbst
hätte,AUX,VAFIN,haben,
kaufen,VERB,VVINF,kaufen,kaufen
können,AUX,VMINF,können,
.,PUNCT,$.,.,
Absolut,ADV,ADJD,absolut,absolut
empfehlenswert,ADJ,ADJD,empfehlenswert,empfehlenswert
ist,AUX,VAFIN,sein,
auch,ADV,ADV,auch,auch
der,DET,ART,der,
Service,NOUN,NN,Service,Service
.,PUNCT,$.,.,
Alle,PRON,PIAT,alle,
am,_,,_,
an,ADP,APPR,an,
dem,DET,ART,der,
Wort,NOUN,NN,Wort,Wort
Gottes,NOUN,NE,Gott,Gott
interessierte,ADJ,ADJA,interessiert,interessiert
Personen,NOUN,NN,Person,Person
sind,AUX,VAFIN,sein,
herzlich,ADV,ADJD,herzlich,herzlich
eingelanden,VERB,VVPP,eingelanden,eingelanden
",",PUNCT,"$,",",",
Gottesdienst,NOUN,NN,Gottesdienst,Gottesdienst
mit,ADP,APPR,mit,
Liedern,NOUN,NN,Lied,Lied
",",PUNCT,"$,",",",
Gebeten,NOUN,NN,Gebet,Gebeten
und,CCONJ,KON,und,
Predigten,NOUN,NN,Predigt,Predigt
mit,ADP,APPR,mit,
den,DET,ART,der,
Mitgliedern,NOUN,NN,Mitglied,Mitglied
zu,PART,PTKZU,zu,
feiern,VERB,VVINF,feiern,feiern
.,PUNCT,$.,.,
Alles,PRON,PIS,alle,
in,ADP,APPR,in,
Allem,NOUN,NE,Allem,Allem
ein,DET,ART,ein,
super,ADJ,ADJA,super,super
Erlebnis,NOUN,NN,Erlebnis,Erlebnis
.,PUNCT,$.,.,
Als,SCONJ,KOUS,als,
ich,PRON,PPER,ich,
mit,ADP,APPR,mit,
meiner,DET,PPOSAT,mein,
Frau,NOUN,NN,Frau,Frau
und,CCONJ,KON,und,
meiner,DET,PPOSAT,mein,
Tante,NOUN,NN,Tante,Tante
im,_,,_,
in,ADP,APPR,in,
dem,DET,ART,der,
Oktober,PROPN,NN,Oktober,
2007,NUM,CARD,2007,2007
in,ADP,APPR,in,
Norden,NOUN,NN,Norden,Norden
nach,ADP,APPR,nach,
einer,DET,ART,ein,
