token,tag,tag_STTS,lemma_gold,lemma_pred
Dazu,ADV,PROAV,dazu,Dazu
kommen,VERB,VVFIN,kommen,kommen
zehn,NUM,CARD,zehn,zehn
statt,ADP,APPR,statt,statt
bisher,ADV,ADV,bisher,bisher
fünf,NUM,CARD,fünf,fünf
E-Mail-Adressen,NOUN,NN,Adresse,E-Mail-Adressen
sowie,CCONJ,KON,sowie,sowie
zehn,NUM,CARD,zehn,zehn
MByte,NOUN,NN,MByte,MByte
Webspace,PROPN,NE,Webspace,Webspace
.,PUNCT,$.,.,.
Die,DET,ART,die,Die
bisherigen,ADJ,ADJA,bisherig,bisherigen
kostenlosen,ADJ,ADJA,kostenlos,kostenlosen
Dienste,NOUN,NN,Dienst,Dienste
bleiben,VERB,VVFIN,bleiben,bleiben
weiterhin,ADV,ADV,weiterhin,weiterhin
im,_,,_,im
in,ADP,APPR,in,in
dem,DET,ART,der,dem
Angebot,NOUN,NN,Angebot,Angebot
.,PUNCT,$.,.,.
Das,DET,ART,das,Das
US-amerikanische,ADJ,ADJA,amerikanisch,US-amerikanische
Unternehmen,NOUN,NN,Unternehmen,Unternehmen
Qwest,PROPN,NE,Qwest,Qwest
verlängert,VERB,VVFIN,verlängern,verlängert
seine,PRON,PPOSAT,seine,seine
Mitgliedschaft,NOUN,NN,Mitgliedschaft,Mitgliedschaft
im,_,,_,im
in,ADP,APPR,in,in
dem,DET,ART,der,dem
Forschungskonsortium,NOUN,NN,Konsortium,Forschungskonsortium
Internet2,X,FM,Internet2,Internet2
.,PUNCT,$.,.,.
Internet2,X,FM,internet2,Internet2
ist,AUX,VAFIN,sein,ist
ein,DET,ART,ein,ein
in,ADP,APPR,in,in
den,DET,ART,den,den
USA,PROPN,NE,USA,USA
1996,NUM,CARD,1996,1996
gegründeter,ADJ,ADJA,gründen,gegründeter
Zusammenschluss,NOUN,NN,Zusammenschluß,Zusammenschluss
von,ADP,APPR,von,von
rund,ADV,ADV,rund,rund
140,NUM,CARD,140,140
Universitäten,NOUN,NN,Universität,Universitäten
",",PUNCT,"$,",",",","
die,PRON,PRELS,die,die
mit,ADP,APPR,mit,mit
Unterstützung,NOUN,NN,Unterstützung,Unterstützung
der,DET,ART,der,der
Industrie,NOUN,NN,Industrie,Industrie
an,ADP,APPR,an,an
der,DET,ART,der,der
nächsten,ADJ,ADJA,nächste,nächsten
Generation,NOUN,NN,Generation,Generation
des,DET,ART,des,des
Internet,NOUN,NN,Internet,Internet
forschen,VERB,VVFIN,forschen,forschen
.,PUNCT,$.,.,.
Qwest,PROPN,NE,Qwest,Qwest
liefert,VERB,VVFIN,liefern,liefert
dem,DET,ART,dem,dem
Konsortium,NOUN,NN,Konsortium,Konsortium
die,DET,ART,die,die
nötige,ADJ,ADJA,nötig,nötige
Leitungsinfrastruktur,NOUN,NN,Infrastruktur,Leitungsinfrastruktur
.,PUNCT,$.,.,.
Das,DET,ART,das,Das
deutsche,ADJ,ADJA,deutsch,deutsche
Internet2,X,FM,Internet2,Internet2
ging,VERB,VVFIN,gehen,ging
Ende,NOUN,NN,Ende,Ende
Juni,NOUN,NN,Juni,Juni
2000,NUM,CARD,2000,2000
an,ADP,APPR,an,an
den,DET,ART,den,den
Start,NOUN,NN,Start,Start
.,PUNCT,$.,.,.
Sun,PROPN,NE,Sun,Sun
Microsystems,PROPN,NE,Microsystems,Microsystems
erwartet,VERB,VVFIN,erwarten,erwartet
nach,ADP,APPR,nach,nach
den,DET,ART,den,den
vorläufigen,ADJ,ADJA,vorläufig,vorläufigen
Zahlen,NOUN,NN,Zahl,Zahlen
für,ADP,APPR,für,für
das,DET,ART,das,das
erste,ADJ,ADJA,erste,erste
Quartal,NOUN,NN,Quartal,Quartal
des,DET,ART,des,des
laufenden,ADJ,ADJA,laufenden,laufenden
Geschäftsjahres,NOUN,NN,Geschäftsjahr,Geschäftsjahres
einen,DET,ART,einen,einen
Umsatz,NOUN,NN,Umsatz,Umsatz
zwischen,ADP,APPR,zwischen,zwischen
"2,7",NUM,CARD,"2,7","2,7"
und,CCONJ,KON,und,und
"2,9",NUM,CARD,"2,9","2,9"
Milliarden,NOUN,NN,Milliarde,Milliarden
US-Dollar,NOUN,NN,Dollar,US-Dollar
;,PUNCT,$.,;,;
daraus,ADV,PROAV,daraus,daraus
resultiere,VERB,VVFIN,resultieren,resultiere
ein,DET,ART,ein,ein
Verlust,NOUN,NN,Verlust,Verlust
von,ADP,APPR,von,von
fünf,NUM,CARD,fünf,fünf
bis,ADP,APPR,bis,bis
sieben,NUM,CARD,sieben,sieben
Cents,NOUN,NN,Cents,Cents
pro,ADP,APPR,pro,pro
Aktie,NOUN,NN,Aktie,Aktie
.,PUNCT,$.,.,.
Die,DET,ART,die,Die
Erwartungen,NOUN,NN,Erwartung,Erwartungen
der,DET,ART,der,der
Analysten,NOUN,NN,Analyst,Analysten
betrugen,VERB,VVFIN,betragen,betrugen
bislang,ADV,ADV,bislang,bislang
4,NUM,CARD,4,4
Cents,NOUN,NN,Cents,Cents
Verlust,NOUN,NN,Verlust,Verlust
pro,ADP,APPR,pro,pro
Aktie,NOUN,NN,Aktie,Aktie
.,PUNCT,$.,.,.
Nach,ADP,APPR,nach,Nach
den,DET,ART,den,den
Attentaten,NOUN,NN,Attentat,Attentaten
vom,_,,_,vom
von,ADP,APPR,von,von
dem,DET,ART,der,dem
11.,ADJ,ADJA,11.,11.
September,NOUN,NN,September,September
müssten,AUX,VMFIN,müssen,müssten
die,DET,ART,die,die
Erwartungen,NOUN,NN,Erwartung,Erwartungen
weiter,ADV,ADV,weiter,weiter
nach,ADP,APPR,nach,nach
unten,ADV,ADV,unten,unten
korrigiert,VERB,VVPP,korrigieren,korrigiert
werden,AUX,VAINF,werden,werden
",",PUNCT,"$,",",",","
sagte,VERB,VVFIN,sagen,sagte
Vorstandvorsitzender,NOUN,NN,Vorsitzender,Vorstandvorsitzender
Scott,PROPN,NE,Scott,Scott
McNealy,PROPN,NE,McNealy,McNealy
nun,ADV,ADV,nun,nun
am,_,,_,am
an,ADP,APPR,an,an
dem,DET,ART,der,dem
heutigen,ADJ,ADJA,heutig,heutigen
Freitag,NOUN,NN,Freitag,Freitag
.,PUNCT,$.,.,.
Die,DET,ART,die,Die
Position,NOUN,NN,Position,Position
seines,PRON,PPOSAT,seines,seines
Unternehmens,NOUN,NN,Unternehmen,Unternehmens
sei,AUX,VAFIN,sein,sei
zwar,ADV,ADV,zwar,zwar
stärker,ADJ,ADJD,stärker,stärker
denn,CCONJ,KOKOM,denn,denn
je,ADV,ADV,je,je
",",PUNCT,"$,",",",","
doch,CCONJ,KON,doch,doch
die,DET,ART,die,die
derzeitigen,ADJ,ADJA,derzeitig,derzeitigen
ökonomischen,ADJ,ADJA,ökonomisch,ökonomischen
Bedingungen,NOUN,NN,Bedingung,Bedingungen
seien,AUX,VAFIN,sein,seien
ohne,ADP,APPR,ohne,ohne
Zweifel,NOUN,NN,Zweifel,Zweifel
sehr,ADV,ADV,sehr,sehr
schwierig,ADJ,ADJD,schwierig,schwierig
.,PUNCT,$.,.,.
Daher,ADV,PROAV,daher,Daher
will,AUX,VMFIN,wollen,will
Sun,PROPN,NE,Sun,Sun
neun,NUM,CARD,neun,neun
Prozent,NOUN,NN,Prozent,Prozent
der,DET,ART,der,der
Belegschaft,NOUN,NN,Belegschaft,Belegschaft
entlassen,VERB,VVINF,entlassen,entlassen
und,CCONJ,KON,und,und
einige,DET,PIAT,einig,einige
Fabriken,NOUN,NN,Fabrik,Fabriken
schließen,VERB,VVINF,schließen,schließen
.,PUNCT,$.,.,.
Für,ADP,APPR,für,Für
das,DET,ART,das,das
zweite,ADJ,ADJA,zweit,zweite
Quartal,NOUN,NN,Quartal,Quartal
entstehen,VERB,VVFIN,entstehen,entstehen
dem,DET,ART,dem,dem
Unternehmen,NOUN,NN,Unternehmen,Unternehmen
dadurch,ADV,PROAV,dadurch,dadurch
zusätzliche,ADJ,ADJA,zusätzlich,zusätzliche
Belastungen,NOUN,NN,Belastung,Belastungen
in,ADP,APPR,in,in
Höhe,NOUN,NN,Höhe,Höhe
von,ADP,APPR,von,von
500,NUM,CARD,500,500
Millionen,NOUN,NN,Million,Millionen
US-Dollar,NOUN,NN,Dollar,US-Dollar
.,PUNCT,$.,.,.
In,ADP,APPR,in,In
diesen,DET,PDAT,diesen,diesen
Tagen,NOUN,NN,Tag,Tagen
hatten,AUX,VAFIN,haben,hatten
auch,ADV,ADV,auch,auch
die,DET,ART,die,die
PC-Hersteller,NOUN,NN,Hersteller,PC-Hersteller
Gateway,PROPN,NE,Gateway,Gateway
und,CCONJ,KON,und,und
Compaq,PROPN,NE,Compaq,Compaq
Gewinnwarnungen,NOUN,NN,Warnung,Gewinnwarnungen
wegen,ADP,APPR,wegen,wegen
der,DET,ART,der,der
rückläufigen,ADJ,ADJA,rückläufig,rückläufigen
Nachfrage,NOUN,NN,Nachfrage,Nachfrage
im,_,,_,im
in,ADP,APPR,in,in
dem,DET,ART,der,dem
Zusammenhang,NOUN,NN,Zusammenhang,Zusammenhang
mit,ADP,APPR,mit,mit
den,DET,ART,den,den
Ereignissen,NOUN,NN,Ereignis,Ereignissen
vom,_,,_,vom
von,ADP,APPR,von,von
dem,DET,ART,der,dem
11.,ADJ,ADJA,11.,11.
September,NOUN,NN,September,September
verkündet,VERB,VVPP,verkünden,verkündet
.,PUNCT,$.,.,.
Dell,PROPN,NE,Dell,Dell
und,CCONJ,KON,und,und
Cisco,PROPN,NE,Cisco,Cisco
zeigten,VERB,VVFIN,zeigen,zeigten
sich,PRON,PRF,sich,sich
hingegen,ADV,ADV,hingegen,hingegen
davon,ADV,PROAV,davon,davon
relativ,ADJ,ADJD,relativ,relativ
unbeeindruckt,ADJ,ADJD,unbeeindruckt,unbeeindruckt
.,PUNCT,$.,.,.
Die,DET,ART,die,Die
Bundesregierung,NOUN,NN,Regierung,Bundesregierung
zeigt,VERB,VVFIN,zeigen,zeigt
sich,PRON,PRF,sich,sich
bedingt,ADJ,ADJD,bedingen,bedingt
optimistisch,ADJ,ADJD,optimistisch,optimistisch
bei,ADP,APPR,bei,bei
der,DET,ART,der,der
Beseitigung,NOUN,NN,Beseitigung,Beseitigung
des,DET,ART,des,des
Fachkräftemangels,NOUN,NN,Mangel,Fachkräftemangels
in,ADP,APPR,in,in
der,DET,ART,der,der
IT-Branche,NOUN,NN,Branche,IT-Branche
.,PUNCT,$.,.,.
Bis,ADP,APPR,bis,Bis
2005,NUM,CARD,2005,2005
könnte,AUX,VMFIN,können,könnte
es,PRON,PPER,es,es
350.000,NUM,CARD,350.000,350.000
zusätzliche,ADJ,ADJA,zusätzlich,zusätzliche
Fachkräfte,NOUN,NN,Fachkraft,Fachkräfte
geben,VERB,VVINF,geben,geben
",",PUNCT,"$,",",",","
erklärte,VERB,VVFIN,erklären,erklärte
heute,ADV,ADV,heute,heute
die,DET,ART,die,die
Bundesregierung,NOUN,NN,Regierung,Bundesregierung
in,ADP,APPR,in,in
einer,DET,ART,einer,einer
Antwort,NOUN,NN,Antwort,Antwort
auf,ADP,APPR,auf,auf
eine,DET,ART,eine,eine
große,ADJ,ADJA,groß,große
Anfrage,NOUN,NN,Anfrage,Anfrage
der,DET,ART,der,der
CDU/CSU-Fraktion,NOUN,NN,Fraktion,CDU/CSU-Fraktion
.,PUNCT,$.,.,.
Voraussetzung,NOUN,NN,Voraussetzung,Voraussetzung
sei,AUX,VAFIN,sein,sei
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
die,DET,ART,die,die
Unternehmen,NOUN,NN,Unternehmen,Unternehmen
weiter,ADV,ADV,weiter,weiter
engagiert,ADJ,ADJD,engagieren,engagiert
ausbildeten,VERB,VVFIN,ausbilden,ausbildeten
und,CCONJ,KON,und,und
die,DET,ART,die,die
Bundesanstalt,NOUN,NN,Anstalt,Bundesanstalt
für,ADP,APPR,für,für
Arbeit,NOUN,NN,Arbeit,Arbeit
ihre,PRON,PPOSAT,ihre,ihre
Weiterbildungsmaßnahmen,NOUN,NN,Maßnahme,Weiterbildungsmaßnahmen
"""",PUNCT,$(,"""",""""
auf,ADP,APPR,auf,auf
hohem,ADJ,ADJA,hoch,hohem
Niveau,NOUN,NN,Niveau,Niveau
"""",PUNCT,$(,"""",""""
beibehalte,VERB,VVFIN,beibehalten,beibehalte
.,PUNCT,$.,.,.
Außerdem,ADV,PROAV,außerdem,Außerdem
müssten,AUX,VMFIN,müssen,müssten
Hochschulreformen,NOUN,NN,Reform,Hochschulreformen
greifen,VERB,VVINF,greifen,greifen
und,CCONJ,KON,und,und
die,DET,ART,die,die
Strukturierung,NOUN,NN,Strukturierung,Strukturierung
der,DET,ART,der,der
Weiterbildung,NOUN,NN,Bildung,Weiterbildung
im,_,,_,im
in,ADP,APPR,in,in
dem,DET,ART,der,dem
IT-Bereich,NOUN,NN,Bereich,IT-Bereich
abgeschlossen,VERB,VVPP,abschließen,abgeschlossen
sein,AUX,VAINF,sein,sein
.,PUNCT,$.,.,.
Als,CCONJ,KOKOM,als,Als
Beispiele,NOUN,NN,Beispiel,Beispiele
für,ADP,APPR,für,für
Reformen,NOUN,NN,Reform,Reformen
nannte,VERB,VVFIN,nennen,nannte
die,DET,ART,die,die
Regierung,NOUN,NN,Regierung,Regierung
unter,ADP,APPR,unter,unter
anderem,PRON,PIS,ander,anderem
das,DET,ART,das,das
"""",PUNCT,$(,"""",""""
Sofortprogramm,NOUN,NN,Programm,Sofortprogramm
von,ADP,APPR,von,von
Bundesregierung,NOUN,NN,Regierung,Bundesregierung
und,CCONJ,KON,und,und
IuK-Wirtschaft,NOUN,NN,Wirtschaft,IuK-Wirtschaft
zur,_,,_,zur
zu,ADP,APPR,zu,zu
der,DET,ART,der,der
Deckung,NOUN,NN,Deckung,Deckung
des,DET,ART,des,des
IT-Fachkräftebedarfs,NOUN,NN,Bedarf,IT-Fachkräftebedarfs
in,ADP,APPR,in,in
Deutschland,PROPN,NE,Deutschland,Deutschland
"""",PUNCT,$(,"""",""""
sowie,CCONJ,KON,sowie,sowie
das,DET,ART,das,das
Konzept,NOUN,NN,Konzept,Konzept
"""",PUNCT,$(,"""",""""
IT,NOUN,NN,IT,IT
in,ADP,APPR,in,in
der,DET,ART,der,der
Bildung,NOUN,NN,Bildung,Bildung
-,PUNCT,$(,-,-
Anschluss,NOUN,NN,Anschluß,Anschluss
statt,ADP,APPR,statt,statt
Ausschluss,NOUN,NN,Ausschluß,Ausschluss
"""",PUNCT,$(,"""",""""
.,PUNCT,$.,.,.
