token,tag,tag_STTS,lemma_gold,lemma_pred
hallo,INTJ,ITJ,Hallo,Hallo
_,PUNCT,"$,",",",_
Therese,PROPN,NE,Therese,Therese
_,PUNCT,$.,.,_
jetzt,ADV,ADV,Jetzt,jetzt
beschreibe,VERB,VVFIN,beschreibe,beschreiben
ich,PRON,PPER,ich,ich
dir,PRON,PPER,dir,dir
mal,ADV,ADV,mal,mal
einen,DET,ART,einen,ein
Weg,NOUN,NN,Weg,Weg
_,PUNCT,$.,.,_
hast,AUX,VAFIN,Hast,haben
du,PRON,PPER,du,Sie
unten,ADV,ADV,unten,untere
links,ADV,ADV,links,Links
so,ADV,ADV,so,solcher
einen,DET,ART,einen,eine
Startpunkt,NOUN,NN,Startpunkt,Startpunkt
_,PUNCT,$.,?,_
_,PRON,PDS,Das,_
ist,AUX,VAFIN,ist,sein
doch,ADV,ADV,doch,doch
immer,ADV,ADV,immer,immer
gleich,ADJ,ADJD,gleich,gleich
_,PUNCT,$.,.,_
weißt,VERB,VVFIN,Weißt,weiß
du,PRON,PPER,du,du
_,PUNCT,"$,",",",_
irgendwie,ADV,ADV,irgendwie,irgendwie
verarschen,VERB,VVFIN,verarschen,verarschen
die,PRON,PDS,die,die
einen,PRON,PIS,einen,einen
ja,ADV,ADV,ja,ja
doch,ADV,ADV,doch,doch
hier,ADV,ADV,hier,hier
so,ADV,ADV,so,so
ein,DET,ART,ein,ein
bisschen,PRON,PIS,bisschen,bisschen
_,PUNCT,$.,.,_
also,ADV,ADV,Also,Also
_,PUNCT,$.,.,_.
von,ADP,APPR,Von,von
diesem,DET,PDAT,diesem,dies
Startpunkt,NOUN,NN,Startpunkt,Startpunkt
gehst,VERB,VVFIN,gehst,gehen
du,PRON,PPER,du,du
rechts,ADV,ADV,rechts,recht
_,PUNCT,$.,.,_
aber,CONJ,KON,Aber,aber
warte,VERB,VVFIN,warte,warten
_,PUNCT,$.,.,_
okay,PART,PTKANT,Okay,Okay
_,PUNCT,$.,.,_
ich,PRON,PPER,Ich,Ich
bin,AUX,VAFIN,bin,sein
nicht,PART,PTKNEG,nicht,nicht
_,PUNCT,$.,.,_
du,PRON,PPER,Du,du
gehst,VERB,VVFIN,gehst,gehen
so,ADV,ADV,so,so
bis,ADP,APPR,bis,bis
zur,ADP,APPRART,zur,zu
Hälfte,NOUN,NN,Hälfte,Hälfte
des,DET,ART,des,des
Bildes,NOUN,NN,Bildes,Bild
parallel,ADJ,ADJD,parallel,parallel
nach,ADP,APPR,nach,nach
rechts,ADV,ADV,rechts,rechts
_,PUNCT,$.,.,_
boah,INTJ,ITJ,Boah,Boah
_,PUNCT,$.,.,_
Mann,NOUN,NN,Mann,Mann
_,PUNCT,$.,.,_
ich,PRON,PPER,Ich,dann
will,VERB,VMFIN,will,gehen
jetzt,ADV,ADV,jetzt,du
nach,ADP,APPR,nach,jetzt
rechts,ADV,ADV,rechts,nach
gehen,VERB,VVINF,gehen,rechts
_,PUNCT,$.,.,_
du,PRON,PPER,Du,du
machst,VERB,VVFIN,machst,machen
es,PRON,PPER,es,es
jetzt,ADV,ADV,jetzt,jetzt
so,ADV,ADV,so,so
_,PUNCT,$.,.,_
