token,tag,tag_STTS,lemma_gold,lemma_pred
Als,CONJ,KOKOM,als,
nächstes,ADJ,ADJD,nächster,nächster
also,ADV,ADV,also,also
",",PUNCT,"$,",",",
die,DET,ART,der,
wissenschaftliche,ADJ,ADJA,wissenschaftlich,wissenschaftlich
Methodik,NOUN,NN,Methodik,Methodik
ein,DET,ART,ein,
Grundsatz,NOUN,NN,Grundsatz,Grundsatz
der,DET,ART,der,
Physik,NOUN,NN,Physik,Physik
",",PUNCT,"$,",",",
aller,DET,PIAT,aller,
Wissenschaften,NOUN,NN,Wissenschaft,Wissenschaft
—,PUNCT,$(,-,
sagt,VERB,VVFIN,sagen,sagen
",",PUNCT,"$,",",",
daß,SCONJ,KOUS,dass,
man,PRON,PIS,man,
eine,DET,ART,ein,
Hypothese,NOUN,NN,Hypothese,Hypothese
nicht,PART,PTKNEG,nicht,
durch,ADP,APPR,durch,
Beobachtung,NOUN,NN,Beobachtung,Beobachtung
beweisen,VERB,VVINF,beweisen,beweisen
kann,VERB,VMFIN,können,können
.,PUNCT,$.,.,
Man,PRON,PIS,man,
kann,VERB,VMFIN,können,können
sie,PRON,PPER,sie,
nur,ADV,ADV,nur,nur
widerlegen,VERB,VVINF,widerlegen,widerlegen
.,PUNCT,$.,.,
Das,PRON,PDS,der,
heißt,VERB,VVFIN,heißen,heißen
",",PUNCT,"$,",",",
daß,SCONJ,KOUS,dass,
man,PRON,PIS,man,
mehr,ADV,ADV,mehr,mehr
und,CONJ,KON,und,
mehr,ADV,ADV,mehr,mehr
Information,NOUN,NN,Information,Information
um,ADP,APPR,um,
eine,DET,ART,ein,
Hypothese,NOUN,NN,Hypothese,Hypothese
oder,CONJ,KON,oder,
einen,DET,ART,ein,
Standpunkt,NOUN,NN,Standpunkt,Standpunkt
sammeln,VERB,VVINF,sammeln,sammeln
kann,VERB,VMFIN,können,können
die,PRON,PRELS,der,
sie,PRON,PPER,sie,
bestärkt,VERB,VVFIN,bestärken,bestärken
",",PUNCT,"$,",",",
aber,CONJ,KON,aber,
nicht,PART,PTKNEG,nicht,
endgültig,ADJ,ADJD,endgültig,endgültig
beweist,VERB,VVFIN,beweisen,beweisen
.,PUNCT,$.,.,
Und,CONJ,KON,und,
nur,ADV,ADV,nur,nur
eine,DET,ART,ein,
einzige,ADJ,ADJA,einziger,einzig
gegenteilige,ADJ,ADJA,gegenteilig,gegenteilig
Information,NOUN,NN,Information,Information
kann,VERB,VMFIN,können,können
