token,tag,tag_STTS,lemma_gold,lemma_pred
im,ADP,APPRART,in,für
Urlaub,NOUN,NN,Urlaub,Sammler
",",PUNCT,"$,",",",Claus
E-Mails,NOUN,NN,E-Mail,Hesseling
",",PUNCT,"$,",",",·
Mailbox,NOUN,NN,Mailbox,14
&,CONJ,KON,&,Mai
AB,NOUN,NN,AB,2012
",",PUNCT,"$,",",",·
Auto,NOUN,NN,Auto,4
checken,VERB,VVINF,checken,comment
Anforderungen,NOUN,NN,Anforderung,humanistische
:,PUNCT,$.,:,Weltbild
die,DET,ART,der,sein
App,NOUN,NN,App,in
sollte,VERB,VMFIN,sollen,der
eine,DET,ART,ein,Antike
Liste,NOUN,NN,Liste,bei
mit,ADP,APPR,mit,der
Podcast-Feeds,NOUN,NN,Podcast-Feed,Grieche
verwalten,VERB,VVINF,verwalten,entstehen
",",PUNCT,"$,",",",und
diese,PRON,PDS,dieser,werden
regelmäßig,ADJ,ADJD,regelmäßig,durch
aktualisieren,VERB,VVINF,aktualisieren,die
und,CONJ,KON,und,Renaissance
neue,ADJ,ADJA,neu,","
Folgen,NOUN,NN,Folge,der
herunterladen,VERB,VVINF,herunterladen,Wiedergeburt
.,PUNCT,$.,.,der
und,CONJ,KON,und,Antike
ja,PART,PTKANT,ja,","
",",PUNCT,"$,",",",und
es,PRON,PPER,es,der
wäre,AUX,VAFIN,sein,damit
schön,ADJ,ADJD,schön,verbunden
",",PUNCT,"$,",",",Wiedergeburt
wenn,SCONJ,KOUS,wenn,des
die,DET,ART,der,humanistischen
App,NOUN,NN,App,Denken
kostenlos,ADJ,ADJD,kostenlos,neu
ist,AUX,VAFIN,sein,entfachen
.,PUNCT,$.,.,.
lateinische,ADJ,ADJA,lateinisch,Verdacht
Wort,NOUN,NN,Wort,scheinen
„,PUNCT,$(,„,sich
humanus,X,FM,humanus,bestätigen
“,PUNCT,$(,“,:
bedeutet,VERB,VVFIN,bedeuten,The
„,PUNCT,$(,„,Beach
menschlich,ADJ,ADJD,menschlich,liegen
",",PUNCT,"$,",",",nicht
menschenfreundlich,ADJ,ADJD,menschenfreundlich,in
",",PUNCT,"$,",",",Thailand
gebildet,ADJ,ADJD,gebildet,","
",",PUNCT,"$,",",",sondern
kultiviert,ADJ,ADJD,kultiviert,in
“,PUNCT,$(,“,Kambodscha
.,PUNCT,$.,.,.
das,PRON,PDS,der,3
sind,AUX,VAFIN,sein,Tipp
die,DET,ART,der,für
Tipps,NOUN,NN,Tipp,das
aus,ADP,APPR,aus,Laufen
dem,DET,ART,der,in
Video,NOUN,NN,Video,der
:,PUNCT,$.,:,Dunkelheit
Bibliothekartag,NOUN,NN,Bibliothekartag,:
#bibtag14,UNK,HST,#bibtag14,echt
",",PUNCT,"$,",",",Radnetzspinner
Zukunftswerkstatt,NOUN,NN,Zukunftswerkstatt,(
und,CONJ,KON,und,Araneidae
OpenBiblioJobs,PROPN,NE,OpenBiblioJobs,)
(,PUNCT,$(,(,run
Araneus,X,FM,Araneus,running
diadematus,X,FM,diadematus,runs
),PUNCT,$(,),ran
Name,NOUN,NN,Name,
",",PUNCT,"$,",",",ein
1757,NUM,CARD,1757,Gartenkreuzspinnen
Merkmale,NOUN,NN,Merkmal,Bauch ansicht
Araneus,X,FM,Araneus,Araneus
alsine,X,FM,alsine,sturmi
–,PUNCT,$(,–,–
Walckenaer,PROPN,NE,Walckenaer,Hahn
",",PUNCT,"$,",",",","
1802,NUM,CARD,1802,1831
circe,X,FM,circe,triguttatus
–,PUNCT,$(,–,–
Audouin,PROPN,NE,Audouin,Fabricius
",",PUNCT,"$,",",",","
1826,NUM,CARD,1826,1793
Araneus,X,FM,Araneus,geeigend
quadratus,X,FM,quadratus,liefern
–,PUNCT,$(,–,lieferte
Clerck,PROPN,NE,Clerck,liefert
",",PUNCT,"$,",",",laufen
1757,NUM,CARD,1757,lief
saevus,X,FM,saevus,geeigend
–,PUNCT,$(,–,liefern
L.,PROPN,NE,L.,lieferte
Koch,PROPN,NE,Koch,liefert
",",PUNCT,"$,",",",laufen
1872,NUM,CARD,1872,lief
Araneus,X,FM,Araneus,geeigend
sturmi,X,FM,sturmi,liefern
–,PUNCT,$(,–,lieferte
Hahn,PROPN,NE,Hahn,liefert
",",PUNCT,"$,",",",laufen
1831,NUM,CARD,1831,lief
:,PUNCT,$.,:,veröffentlichen
Araneus,X,FM,Araneus,:
–,PUNCT,$(,–,14:14
Album,NOUN,NN,Album,","
mit,ADP,APPR,mit,13
Bildern,NOUN,NN,Bild,Oktober
",",PUNCT,"$,",",",2012
Videos,NOUN,NN,Video,(
und,CONJ,KON,und,CEST
Audiodateien,NOUN,NN,Audiodatei,)
