token,tag,tag_STTS,lemma_gold,lemma_pred
Nun,ADV,ADV,nun,nun
nahm,VERB,VVFIN,nehmen,nehmen
der,DET,ART,der,die
junge,ADJ,ADJA,jung,jung
Graf,NOUN,NN,Graf,Graf
wieder,ADV,ADV,wieder,wieder
das,DET,ART,der,die
Wort,NOUN,NN,Wort,Wort
.,PUNCT,$.,.,.
»,PUNCT,$(,»,<unknown>
Die,DET,ART,der,die
Sache,NOUN,NN,Sache,Sache
hat,AUX,VAFIN,haben,haben
sich,PRON,PRF,sich,sich
ja,ADV,ADV,ja,ja
für,ADP,APPR,für,für
Sie,PRON,PPER,Sie,Sie
durchaus,ADV,ADV,durchaus,durchaus
befriedigend,ADJ,ADJD,befriedigend,befriedigend
aufgeklärt,VERB,VVPP,aufklären,aufklären
",",PUNCT,"$,",",",","
Herr,NOUN,NN,Herr,Herr
Bilsfeld,PROPN,NE,Bilsfeld,<unknown>
",",PUNCT,"$,",",",","
«,PUNCT,$(,«,<unknown>
sagte,VERB,VVFIN,sagen,sagen
er,PRON,PPER,er,er
.,PUNCT,$.,.,.
»,PUNCT,$(,»,<unknown>
An,ADP,APPR,an,an
der,DET,ART,der,die
Richtigkeit,NOUN,NN,Richtigkeit,Richtigkeit
der,DET,ART,der,die
Erzählung,NOUN,NN,Erzählung,Erzählung
ist,AUX,VAFIN,sein,sein
nicht,PART,PTKNEG,nicht,nicht
zu,PART,PTKZU,zu,zu
zweifeln,VERB,VVINF,zweifeln,zweifeln
.,PUNCT,$.,.,.
Die,DET,ART,der,die
falsche,ADJ,ADJA,falsch,falsch
Eintragung,NOUN,NN,Eintragung,Eintragung
ins,ADP,APPRART,in,in+die
Kirchenbuch,NOUN,NN,Kirchenbuch,Kirchenbuch
ist,AUX,VAFIN,sein,sein
freilich,ADV,ADV,freilich,freilich
nun,ADV,ADV,nun,nun
einmal,ADV,ADV,einmal,einmal
erfolgt,VERB,VVPP,erfolgen,erfolgen
",",PUNCT,"$,",",",","
der,DET,ART,der,die
Taufschein,NOUN,NN,Taufschein,Taufschein
muß,VERB,VMFIN,müssen,müssen
vorgelegt,VERB,VVPP,vorlegen,vorlegen
werden,AUX,VAINF,werden,werden
",",PUNCT,"$,",",",","
wenn,SCONJ,KOUS,wenn,wenn
das,DET,ART,der,die
Aufgebot,NOUN,NN,Aufgebot,Aufgebot
für,ADP,APPR,für,für
Paula,PROPN,NE,Paula,Paula
erfolgen,VERB,VVINF,erfolgen,erfolgen
soll,VERB,VMFIN,sollen,sollen
",",PUNCT,"$,",",",","
und,CONJ,KON,und,und
die,DET,ART,der,die
Einwilligung,NOUN,NN,Einwilligung,Einwilligung
der,DET,ART,der,die
Mutter,NOUN,NN,Mutter,Mutter
läßt,VERB,VVFIN,lassen,lassen
sich,PRON,PRF,sich,sich
dann,ADV,ADV,dann,dann
nicht,PART,PTKNEG,nicht,nicht
entbehren,VERB,VVINF,entbehren,entbehren
.,PUNCT,$.,.,.
Das,DET,ART,der,die
einfachste,NOUN,NN,Einfachste,einfach
scheint,VERB,VVFIN,scheinen,scheinen
doch,ADV,ADV,doch,doch
",",PUNCT,"$,",",",","
wir,PRON,PPER,wir,wir
rühren,VERB,VVFIN,rühren,rühren
an,ADP,APPR,an,an
der,DET,ART,der,die
alten,ADJ,ADJA,alt,alt
Geschichte,NOUN,NN,Geschichte,Geschichte
gar,ADV,ADV,gar,gar
nicht,PART,PTKNEG,nicht,nicht
und,CONJ,KON,und,und
lassen,VERB,VVFIN,lassen,lassen
den,DET,ART,der,die
Taufschein,NOUN,NN,Taufschein,Taufschein
gelten,VERB,VVINF,gelten,gelten
",",PUNCT,"$,",",",","
soviel,ADV,ADV,soviel,soviel
er,PRON,PPER,er,er
gilt,VERB,VVFIN,gelten,gelten
.,PUNCT,$.,.,.
Ihre,DET,PPOSAT,Ihr,ihr
Frau,NOUN,NN,Frau,Frau
erfüllt,VERB,VVFIN,erfüllen,erfüllen
die,DET,ART,der,die
Form,NOUN,NN,Form,Form
und,CONJ,KON,und,und
giebt,VERB,VVFIN,geben,<unknown>
den,DET,ART,der,die
Konsens,NOUN,NN,Konsens,Konsens
.,PUNCT,$.,.,.
Mehr,PRON,PIS,mehr,mehr
verlangt,VERB,VVFIN,verlangen,verlangen
die,DET,ART,der,die
Behörde,NOUN,NN,Behörde,Behörde
nicht,PART,PTKNEG,nicht,nicht
",",PUNCT,"$,",",",","
als,SCONJ,KOUS,als,als
daß,SCONJ,KOUS,dass,dass
der,DET,ART,der,die
Form,NOUN,NN,Form,Form
genügt,VERB,VVPP,genügen,genügen
wird,AUX,VAFIN,werden,werden
.,PUNCT,$.,.,.
Die,DET,ART,der,die
Papiere,NOUN,NN,Papier,Papier
kommen,VERB,VVFIN,kommen,kommen
in,ADP,APPR,in,in
die,DET,ART,der,die
Akten,NOUN,NN,Akte,Akte|Akt
",",PUNCT,"$,",",",","
und,CONJ,KON,und,und
kein,DET,PIAT,kein,keine
Mensch,NOUN,NN,Mensch,Mensch
fragt,VERB,VVFIN,fragen,fragen
weiter,ADV,ADV,weiter,weiter
danach,ADV,PAV,danach,danach
.,PUNCT,$.,.,.
So,ADV,ADV,so,so
ruhig,ADJ,ADJD,ruhig,ruhig
aber,ADV,ADV,aber,aber
die,DET,ART,der,die
Tochter,NOUN,NN,Tochter,Tochter
blieb,VERB,VVFIN,bleiben,bleiben
",",PUNCT,"$,",",",","
so,ADV,ADV,so,so
bewegt,ADJ,ADJD,bewegt,bewegt
gebärdete,VERB,VVFIN,gebärden,gebärden
sich,PRON,PRF,sich,sich
der,DET,ART,der,die
Vater,NOUN,NN,Vater,Vater
.,PUNCT,$.,.,.
Aus,ADP,APPR,aus,aus
dem,DET,ART,der,die
seligsten,ADJ,ADJA,selig,<unknown>
Lachen,NOUN,NN,Lachen,Lache|Lachen
in,ADP,APPR,in,in
das,DET,ART,der,die
lauteste,ADJ,ADJA,laut,laut
Schluchzen,NOUN,NN,Schluchzen,Schluchzen
der,DET,ART,der,die
Rührung,NOUN,NN,Rührung,Rührung
überspringend,ADJ,ADJD,überspringend,überspringend
",",PUNCT,"$,",",",","
streifte,VERB,VVFIN,streifen,streifen
er,PRON,PPER,er,er
mehr,ADV,ADV,mehr,mehr
als,CONJ,KOKOM,als,als
einmal,ADV,ADV,einmal,einmal
ans,ADP,APPRART,an,an+die
Lächerliche,NOUN,NN,Lächerliche,Lächerliche
und,CONJ,KON,und,und
machte,VERB,VVFIN,machen,machen
endlich,ADV,ADV,endlich,endlich
nach,ADP,APPR,nach,nach
vollzogener,ADJ,ADJA,vollzogen,vollzogen
Feierlichkeit,NOUN,NN,Feierlichkeit,Feierlichkeit
seinem,DET,PPOSAT,sein,sein
Entzücken,NOUN,NN,Entzücken,Entzücken
mit,ADP,APPR,mit,mit
dem,DET,ART,der,die
wiederholten,ADJ,ADJA,wiederholt,wiederholt
Ausrufe,NOUN,NN,Ausruf,Ausruf
:,PUNCT,$.,:,:
»,PUNCT,$(,»,<unknown>
Sie,PRON,PPER,sie,Sie
ist,AUX,VAFIN,sein,sein
versorgt,VERB,VVPP,versorgen,versorgen
",",PUNCT,"$,",",",","
sie,PRON,PPER,sie,sie
ist,AUX,VAFIN,sein,sein
versorgt,VERB,VVPP,versorgen,versorgen
!,PUNCT,$.,!,!
«,PUNCT,$(,«,<unknown>
in,ADP,APPR,in,in
verschwenderischen,ADJ,ADJA,verschwenderisch,verschwenderisch
Küssen,NOUN,NN,Kuss,Kuss|Küssen
und,CONJ,KON,und,und
Umarmungen,NOUN,NN,Umarmung,Umarmung
Luft,NOUN,NN,Luft,Luft
.,PUNCT,$.,.,.
Plötzlich,ADV,ADV,plötzlich,plötzlich
nahmen,VERB,VVFIN,nehmen,nehmen
aber,ADV,ADV,aber,aber
alle,PRON,PIS,alle,alle
diese,DET,PDAT,dieser,dies
Verhältnisse,NOUN,NN,Verhältnis,Verhältnis
eine,DET,ART,ein,eine
neue,ADJ,ADJA,neu,neu
Gestalt,NOUN,NN,Gestalt,Gestalt
an,PART,PTKVZ,an,an
.,PUNCT,$.,.,.
Einige,DET,PIAT,einiger,einige
Worte,NOUN,NN,Wort,Wort
",",PUNCT,"$,",",",","
welche,PRON,PRELS,welcher,welche
Uriel,PROPN,NE,Uriel,Uriel
eines,DET,ART,ein,eine
Abends,NOUN,NN,Abend,Abend
im,ADP,APPRART,in,in+die
Mondschein,NOUN,NN,Mondschein,Mondschein
mit,ADP,APPR,mit,mit
Judith,PROPN,NE,Judith,Judith
wechselte,VERB,VVFIN,wechseln,wechseln
",",PUNCT,"$,",",",","
gaben,VERB,VVFIN,geben,geben
dazu,ADV,PAV,dazu,dazu
die,DET,ART,der,die
Ursache,NOUN,NN,Ursache,Ursache
her,PART,PTKVZ,her,her
.,PUNCT,$.,.,.
Sie,PRON,PPER,sie,Sie
hatte,AUX,VAFIN,haben,haben
ihn,PRON,PPER,er,er
gefragt,VERB,VVPP,fragen,fragen
",",PUNCT,"$,",",",","
ob,SCONJ,KOUS,ob,ob
er,PRON,PPER,er,er
denn,ADV,ADV,denn,denn
in,ADP,APPR,in,in
Wahrheit,NOUN,NN,Wahrheit,Wahrheit
den,DET,ART,der,die
Namen,NOUN,NN,Name,Name
eines,DET,ART,ein,eine
Sadducäers,NOUN,NN,Sadduzäer,<unknown>
verdiene,VERB,VVFIN,verdienen,verdienen
",",PUNCT,"$,",",",","
den,PRON,PRELS,der,die
man,PRON,PIS,man,man
ihm,PRON,PPER,er,er
allgemein,ADV,ADV,allgemein,allgemein
gäbe,VERB,VVFIN,geben,geben
.,PUNCT,$.,.,.
Wir,PRON,PPER,wir,wir
durchzogen,VERB,VVFIN,durchziehen,durchziehen
das,DET,ART,der,die
südliche,ADJ,ADJA,südlich,südlich
Deutschland,PROPN,NE,Deutschland,Deutschland
.,PUNCT,$.,.,.
In,ADP,APPR,in,in
einer,DET,ART,ein,eine
kleinen,ADJ,ADJA,klein,klein
Stadt,NOUN,NN,Stadt,Stadt
trafen,VERB,VVFIN,treffen,treffen
wir,PRON,PPER,wir,wir
auf,ADP,APPR,auf,auf
einen,DET,ART,ein,eine
italienischen,ADJ,ADJA,italienisch,italienisch
Tenor,NOUN,NN,Tenor,Tenor
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,die
von,ADP,APPR,von,von
Mailand,PROPN,NE,Mailand,Mailand
nach,ADP,APPR,nach,nach
Berlin,PROPN,NE,Berlin,Berlin
wollte,VERB,VMFIN,wollen,wollen
.,PUNCT,$.,.,.
Meine,DET,PPOSAT,mein,mein
Damen,NOUN,NN,Dame,Dame
waren,AUX,VAFIN,sein,sein
entzückt,ADJ,ADJD,entzückt,entzückt
über,ADP,APPR,über,über
den,DET,ART,der,die
Landsmann,NOUN,NN,Landsmann,Landsmann
;,PUNCT,$.,;,;
er,PRON,PPER,er,er
trennte,VERB,VVFIN,trennen,trennen
sich,PRON,PRF,sich,sich
nicht,PART,PTKNEG,nicht,nicht
von,ADP,APPR,von,von
ihnen,PRON,PPER,sie,sie
",",PUNCT,"$,",",",","
vorzüglich,ADV,ADV,vorzüglich,vorzüglich
hielt,VERB,VVFIN,halten,halten
er,PRON,PPER,er,er
sich,PRON,PRF,sich,sich
an,ADP,APPR,an,an
Teresina,PROPN,NE,Teresina,Teresina
",",PUNCT,"$,",",",","
und,CONJ,KON,und,und
zu,ADP,APPR,zu,zu
meinem,DET,PPOSAT,mein,mein
nicht,PART,PTKNEG,nicht,nicht
geringen,ADJ,ADJA,gering,gering
Ärger,NOUN,NN,Ärger,Ärger
spielte,VERB,VVFIN,spielen,spielen
ich,PRON,PPER,ich,ich
eine,DET,ART,ein,eine
ziemlich,ADV,ADV,ziemlich,ziemlich
untergeordnete,ADJ,ADJA,untergeordnet,untergeordnet
Rolle,NOUN,NN,Rolle,Rolle
.,PUNCT,$.,.,.
Einst,ADV,ADV,einst,einst
wollte,VERB,VMFIN,wollen,wollen
ich,PRON,PPER,ich,ich
mit,ADP,APPR,mit,mit
einer,DET,ART,ein,eine
Partitur,NOUN,NN,Partitur,Partitur
unter,ADP,APPR,unter,unter
dem,DET,ART,der,die
Arm,NOUN,NN,Arm,Arm
gerade,ADV,ADV,gerade,gerade
ins,ADP,APPRART,in,in+die
Zimmer,NOUN,NN,Zimmer,Zimmer
treten,VERB,VVINF,treten,treten
",",PUNCT,"$,",",",","
als,SCONJ,KOUS,als,als
ich,PRON,PPER,ich,ich
drinnen,ADV,ADV,drinnen,drinnen
ein,DET,ART,ein,eine
lebhaftes,ADJ,ADJA,lebhaft,lebhaft
Gespräch,NOUN,NN,Gespräch,Gespräch
zwischen,ADP,APPR,zwischen,zwischen
meinen,DET,PPOSAT,mein,mein
Damen,NOUN,NN,Dame,Dame
und,CONJ,KON,und,und
dem,DET,ART,der,die
Tenor,NOUN,NN,Tenor,Tenor
vernahm,VERB,VVFIN,vernehmen,vernehmen
.,PUNCT,$.,.,.
Mein,DET,PPOSAT,mein,mein
Name,NOUN,NN,Name,Name
wurde,AUX,VAFIN,werden,werden
genannt,VERB,VVPP,nennen,nennen
–,PUNCT,$(,-,-
ich,PRON,PPER,ich,ich
stutzte,VERB,VVFIN,stutzen,stutzen
",",PUNCT,"$,",",",","
ich,PRON,PPER,ich,ich
horchte,VERB,VVFIN,horchen,horchen
.,PUNCT,$.,.,.
Das,DET,ART,der,die
Italienische,NOUN,NN,Italienisch,Italienische
verstand,VERB,VVFIN,verstehen,verstehen
ich,PRON,PPER,ich,ich
jetzt,ADV,ADV,jetzt,jetzt
so,ADV,ADV,so,so
gut,ADJ,ADJD,gut,gut
",",PUNCT,"$,",",",","
daß,SCONJ,KOUS,dass,dass
mir,PRON,PPER,ich,ich
kein,DET,PIAT,kein,keine
Wort,NOUN,NN,Wort,Wort
entging,VERB,VVFIN,entgehen,entgehen
.,PUNCT,$.,.,.
Lauretta,PROPN,NE,Lauretta,<unknown>
erzählte,VERB,VVFIN,erzählen,erzählen
eben,ADV,ADV,eben,eben
den,DET,ART,der,die
tragischen,ADJ,ADJA,tragisch,tragisch
Vorfall,NOUN,NN,Vorfall,Vorfall
im,ADP,APPRART,in,in+die
Konzert,NOUN,NN,Konzert,Konzert
",",PUNCT,"$,",",",","
wie,SCONJ,KOUS,wie,wie
ich,PRON,PPER,ich,ich
ihr,PRON,PPER,sie,ihr
durch,ADP,APPR,durch,durch
unzeitiges,ADJ,ADJA,unzeitig,<unknown>
Niederschlagen,NOUN,NN,Niederschlagen,Niederschlagen
den,DET,ART,der,die
Triller,NOUN,NN,Triller,Triller
abgeschnitten,VERB,VVPP,abschneiden,abschneiden
.,PUNCT,$.,.,.
›,PUNCT,$(,›,<unknown>
Asino,X,FM,Asino,<unknown>
tedesco,X,FM,tedesco,<unknown>
