token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
JustChat,PROPN,NE,JustChat,JustChat
4.0r0.204,X,XY,4.0r0.204,4.0r0.204
(,PUNCT,$(,(,(
"55,204",NUM,CARD,"55,204","55,204"
),PUNCT,$(,),)
developed,X,FM,developed,develop
by,X,FM,by,by
Medium.net,PROPN,NE,Medium.net,Medium.net
.,PUNCT,$.,.,.
_,UNK,--,--,_
Du,PRON,PPER,du,apache
betrittst,VERB,VVFIN,betreten,betreten
den,DET,ART,d,den
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
little15,PROPN,NE,little15,little15
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
kommt,VERB,VVFIN,kommen,kommen
aus,ADP,APPR,aus,aus
dem,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
Go-Rin-No-Sho,PROPN,NE,Go-Rin-No-Sho,Go-Rin-No-Sho
herein,PART,PTKVZ,herein,herein
.,PUNCT,$.,.,.
_,UNK,--,--,_
hi,INTJ,ITJ,hi,Hi
_,UNK,--,--,_
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
ist,AUX,VAFIN,sein,sein
wieder,ADV,ADV,wieder,wieder
da,PART,PTKVZ,da,da
.,PUNCT,$.,.,.
_,UNK,--,--,_
Lantonie,PROPN,NE,Lantonie,Meister
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Ich,PRON,PPER,ich,Ich
finde,VERB,VVFIN,finden,finden
den,DET,ART,d,der
quaki,PROPN,NE,Quaki,quaki
klasse,ADJ,ADJD,klasse,klasse
",",PUNCT,"$,",",",","
er,PRON,PPER,er,er
ist,AUX,VAFIN,sein,sein
ein,DET,ART,ein,ein
toller,ADJ,ADJA,toll,toll
Neuzugang,NOUN,NN,Neuzugang,Neuzugang
",",PUNCT,"$,",",",","
der,PRON,PRELS,d,der
sich,PRON,PRF,sich,sich
echt,ADJ,ADJD,echt,echt
bewährt,VERB,VVFIN,bewähren,bewähren
.,PUNCT,$.,.,.
_,UNK,--,--,_
Das,PRON,PDS,d,das
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,du
dir,PRON,PRF,du,sich
verdient,VERB,VVPP,verdienen,verdienen
",",PUNCT,"$,",",",","
zori,PROPN,NE,Zora,zori
?,PUNCT,$.,?,?
_,UNK,--,--,_
jo..,PART,PTKANT,ja,jo..
_,UNK,--,--,_
Die,DET,ART,d,der
eins,NOUN,NN,Eins,ein
Minus,ADV,ADV,minus,Minus
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,du
bekommen,VERB,VVPP,bekommen,bekommen
",",PUNCT,"$,",",",","
weil,SCONJ,KOUS,weil,weil
du,PRON,PPER,du,du
eine,DET,ART,ein,ein
Zeit|,NOUN,NN,Zeit,Zeit|
lang,ADJ,ADJD,lang,lang
häufti,ADJ,ADJD,häufig,häuften
gesagt,VERB,VVPP,sagen,sagen
hast,AUX,VAFIN,haben,haben
.,PUNCT,$.,.,.
_,UNK,--,--,_
_,UNK,--,--,_
was,PRON,PWS,was,sein
ist,AUX,VAFIN,sein,sein
Benehmen,NOUN,NN,Benehmen,Benehmen
?,PUNCT,$.,?,?
_,UNK,--,--,_
Lantonie,PROPN,NE,Lantonie,Lantonie
ist,AUX,VAFIN,sein,sein
jetzt,ADV,ADV,jetzt,jetzt
weg,ADV,ADV,weg,weg
:,PUNCT,$.,:,:
_,UNK,--,--,_
*,PUNCT,$(,*,*
hehe,INTJ,ITJ,hehe,hehe
*,PUNCT,$(,*,*
.,PUNCT,$.,.,.
_,UNK,--,--,_
mann,NOUN,NN,Mann,Mann
",",PUNCT,"$,",",",","
_,UNK,--,--,_
habe,AUX,VAFIN,haben,haben
tatsächlich,ADJ,ADJD,tatsächlich,tatsächlich
was,PRON,PIS,etwas,werden
verdauliches,NOUN,NN,Verdauliche,verdaulich
gegessen,VERB,VVPP,essen,essen
...,PUNCT,$.,...,...
_,UNK,--,--,_
süße,ADJ,ADJA,süß,süß
_,UNK,--,--,_
kleine,ADJ,ADJA,klein,klein
zora,PROPN,NE,Zora,zora
.,PUNCT,$.,.,.
_,UNK,--,--,_
und,CONJ,KON,und,und
wo,ADV,PWAV,wo,wo
is,AUX,VAFIN,sein,sein
ein,DET,ART,ein,ein
apfel,NOUN,NN,Apfel,Apfel
für,ADP,APPR,für,für
mich,PRON,PPER,ich,mich
?,PUNCT,$.,?,?
_,UNK,--,--,_
B67,PROPN,NE,B67,Stoep
verlässt,VERB,VVFIN,verlassen,verlassen
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
eh,INTJ,ITJ,eh,eh
!,PUNCT,$.,!,!
_,UNK,--,--,_
klärt,VERB,VVFIN,klären,klären
mich,PRON,PRF,ich,mich
mal,ADV,ADV,mal,mal
jemand,PRON,PIS,jemand,jemand
über,ADP,APPR,über,über
den,DET,ART,d,den
sachverhalt,NOUN,NN,Sachverhalt,sachverhalt
auf,PART,PTKVZ,auf,auf
?,PUNCT,$.,?,?
_,UNK,--,--,_
geht,VERB,VVFIN,gehen,gehen
nich,PART,PTKNEG,nicht,nicht
selber,NOUN,NN,selber,selbst
mit,ADP,APPR,mit,mit
mietwagen,NOUN,NN,Mietwagen,mietwagen
?,PUNCT,$.,?,?
_,UNK,--,--,_
Immer,ADV,ADV,immer,immer
bewerte,VERB,VVFIN,bewerten,bewerten
ich,PRON,PPER,ich,ich
dich,PRON,PPER,du,du
dann,ADV,ADV,dann,dann
ja,ADV,ADV,ja,ja
.,PUNCT,$.,.,.
_,UNK,--,--,_
Asja,PROPN,NE,Asja,Asja
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Was,PRON,PWS,was,Sein
ihr,PRON,PPER,sie,sie
alles,PRON,PIS,alles,alles
so,ADV,ADV,so,so
einfällt,VERB,VVFIN,einfallen,einfallen
",",PUNCT,"$,",",",","
da,ADV,ADV,da,da
kommt,VERB,VVFIN,kommen,kommen
kein,DET,PIAT,kein,keiner
Mensch,NOUN,NN,Mensch,Mensch
drauf,PART,PTKVZ,drauf,dran
.,PUNCT,$.,.,.
_,UNK,--,--,_
re,INTJ,ITJ,re,re
:,PUNCT,$.,:,:
_,UNK,--,--,_
_,UNK,--,--,_
Hab,AUX,VAFIN,haben,haben
schon,ADV,ADV,schon,schon
ne,DET,ART,ein,eine
richtig,ADJ,ADJD,richtig,richtig
dicke,ADJ,ADJA,dick,dick
Beule,NOUN,NN,Beule,Beule
um,ADP,APPR,um,um
den,DET,ART,d,den
bauchnabel,NOUN,NN,Bauchnabel,Bauchnabel
rum,ADP,APZR,rum,rum
...,PUNCT,$.,...,...
_,UNK,--,--,_
auserdem,ADV,ADV,außerdem,außerdem
bin,AUX,VAFIN,sein,sein
ich,PRON,PPER,ich,ich
größer,ADJ,ADJD,groß,groß
!,PUNCT,$.,!,!
_,UNK,--,--,_
wie,ADV,PWAV,wie,wie
kommst|,VERB,VVFIN,kommen,kommen
e,PRON,PPER,du,e
an,ADP,APPR,an,an
die,DET,ART,d,die
sprossen,NOUN,NN,Sprosse,Spross
?,PUNCT,$.,?,?
_,UNK,--,--,_
Lantonie,PROPN,NE,Lantonie,Lantonie
heiratet,VERB,VVFIN,heiraten,heiraten
Thor,PROPN,NE,Thor,Thor
.,PUNCT,$.,.,.
_,UNK,--,--,_
man,NOUN,NN,Mann,Mann
",",PUNCT,"$,",",",","
diese,DET,PDAT,dies,dies
fehler,NOUN,NN,Fehler,Fehler
_,UNK,--,--,_
.,PUNCT,$.,.,.
_,UNK,--,--,_
re,INTJ,ITJ,re,re
_,UNK,--,--,_
Das,PRON,PDS,d,Das
ist,AUX,VAFIN,sein,sein
selten,ADJ,ADJD,selten,selten
genug,ADV,ADV,genug,genug
.,PUNCT,$.,.,.
My_Room,PROPN,NE,My_Room,My Room
_,UNK,--,--,_
_,UNK,--,--,_
Genau,PART,PTKANT,genau,genau
",",PUNCT,"$,",",",","
Lanto,PROPN,NE,Lantonie,Lanto
ist,AUX,VAFIN,sein,sein
selbstständig,ADJ,ADJD,selbstständig,selbstständig
_,UNK,--,--,_
_,UNK,--,--,_
lanto,PROPN,NE,Lantonie,Lanto
ist,AUX,VAFIN,sein,sein
ne,DET,ART,ein,ein
gute,ADJ,ADJA,gut,gut
partie,NOUN,NN,Partie,Partie
_,UNK,--,--,_
_,UNK,--,--,_
Es,PRON,PPER,es,es
gibt,VERB,VVFIN,geben,geben
Entenbraten,NOUN,NN,Entenbraten,Entenbraten
zur,ADP,APPRART,zur,zu
Hochzeit,NOUN,NN,Hochzeit,Hochzeit
.,PUNCT,$.,.,.
_,UNK,--,--,_
meisterP,PROPN,NE,meisterP,meisterP
geht,VERB,VVFIN,gehen,gehen
in,ADP,APPR,in,in
einen,DET,ART,ein,ein
anderen,ADJ,ADJA,ander,ander
Raum,NOUN,NN,Raum,Raum
:,PUNCT,$.,:,:
_,UNK,--,--,_
Lantonie,PROPN,NE,Lantonie,Lantonie
ist,AUX,VAFIN,sein,sein
schnell,ADJ,ADJD,schnell,jetzt
weg,ADV,ADV,weg,weg
.,PUNCT,$.,.,:
_,UNK,--,--,_
Es,PRON,PPER,es,es
muss,VERB,VMFIN,müssen,müssen
heissen,VERB,VVINF,heißen,heißen
:,PUNCT,$.,:,:
_,UNK,--,--,_
zora,PROPN,NE,Zora,Zora
is,AUX,VAFIN,sein,sein
nich,PART,PTKNEG,nicht,nicht
lesbisch,ADJ,ADJD,lesbisch,Lesbisch
...,PUNCT,$.,...,...
_,UNK,--,--,_
Thor,PROPN,NE,Thor,Thor
_,UNK,--,--,_
bis,ADP,APPR,bis,bis
bald,ADV,ADV,bald,Bald
...,PUNCT,$.,...,...
_,UNK,--,--,_
bün,AUX,VAFIN,sein,bün
ich,PRON,PPER,ich,ich
nu,ADV,ADV,nun,nun
schon,ADV,ADV,schon,schon
vörheuratet,VERB,VVPP,verheiratet,vörheiraten
?,PUNCT,$.,?,?
_,UNK,--,--,_
marc,PROPN,NE,marc30,marc
?,PUNCT,$.,?,?
_,UNK,--,--,_
oder,CONJ,KON,oder,oder
fahr,VERB,VVIMP,fahren,fahren
rückwärts,ADV,ADV,rückwärts,rückwärts
....,PUNCT,$.,....,....
DJ.Hoffi's_World,PROPN,NE,DJ.Hoffi's_World,DJ.Hoffi
_,UNK,--,--,
_,UNK,--,--,World
Diddlchen,PROPN,NE,Diddlchen,Diddlchen
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
ich,PRON,PPER,ich,ich
bekomm,VERB,VVFIN,bekommen,bekommen
echt,ADJ,ADJD,echt,echt
augenkrebs,NOUN,NN,Augenkrebs,Augenkrebs
von,ADP,APPR,von,von
bochum,PROPN,NE,Bochum,Bochum
...,PUNCT,$.,...,...
_,UNK,--,--,_
nudelsuppenstern,PROPN,NE,nudelsuppenstern,Meister
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
einsamer_wolf,PROPN,NE,einsamer_wolf,Stoep
verlässt,VERB,VVFIN,verlassen,verlassen
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
Hallo,INTJ,ITJ,hallo,Hallo
_,UNK,--,--,_
Erdbeerchen,PROPN,NE,Erdbeere$,Erdbeere
.,PUNCT,$.,.,.
pferderennen,PROPN,NE,pferderennen,pferderennen
_,UNK,--,--,_
_,UNK,--,--,_
na,INTJ,ITJ,na,na
_,UNK,--,--,_
denn,ADV,ADV,dann,denn
_,UNK,--,--,_
_,UNK,--,--,_
auf|,ADP,APPR,auf,auf
n,DET,ART,d,n
baum,NOUN,NN,Baum,baum
wieder,ADV,ADV,wieder,wieder
rauf|,PART,PTKVZ,rauf,rauf
flitz,VERB,VVINF,flitzen,flitzen
_,UNK,--,--,_
_,UNK,--,--,_
damit,SCONJ,KOUS,damit,damit
stoeps,PROPN,NE,stoeps,stoßen
nich,PART,PTKNEG,nicht,nicht
hinterher|,PART,PTKVZ,hinterher,hinterher
_,UNK,--,--,_
kann,VERB,VMFIN,können,können
zum,ADP,APPRART,zum,zum
pieksen,NOUN,NN,Pieksen,pieksen
_,UNK,--,--,_
_,UNK,--,--,_
alles,PRON,PIS,alles,alles
_,UNK,--,--,_
prima,ADJ,ADJD,prima,prima
_,UNK,--,--,_
_,UNK,--,--,_
auch,ADV,ADV,auch,auch
off,ADJ,ADJD,off,off
geh,VERB,VVINF,gehen,gehen
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
Happy,PROPN,NE,Happy,Happy
kommt,VERB,VVFIN,kommen,kommen
aus,ADP,APPR,aus,aus
dem,DET,ART,d,dem
Raum,NOUN,NN,Raum,Raum
Swing_It!,PROPN,NE,Swing_It!,Swing_It!
herein,PART,PTKVZ,herein,herein
.,PUNCT,$.,.,.
_,UNK,--,--,_
apache,PROPN,NE,apache,apache
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,den
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
ist,AUX,VAFIN,sein,sein
das,PRON,PDS,d,das
schnell,ADJ,ADJD,schnell,schnell
_,UNK,--,--,_
_,UNK,--,--,_
re,INTJ,ITJ,re,re
_,UNK,--,--,_
happy,PROPN,NE,Happy,glücklich
_,UNK,--,--,_
_,UNK,--,--,_
in,ADP,APPR,in,in
beiden,PRON,PIS,beide,beide
stochert,VERB,VVFIN,stochern,stechen
man,PRON,PIS,man,mann
lustlos,ADJ,ADJD,lustlos,lustlos
herum,PART,PTKVZ,herum,herum
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
*,PUNCT,$(,*,*
häng,VERB,VVINF,hängen,hängen
*,PUNCT,$(,*,*
_,UNK,--,--,_
_,UNK,--,--,_
Bochum,PROPN,NE,Bochum,Bochum
wird,AUX,VAFIN,werden,werden
schlecht,ADJ,ADJD,schlecht,schlecht
_,UNK,--,--,_
_,UNK,--,--,_
Hallo,INTJ,ITJ,hallo,Hallo
_,UNK,--,--,_
Bochum,PROPN,NE,Bochum,Bochum
_,UNK,--,--,_
_,UNK,--,--,_
quaki,PROPN,NE,Quaki,quaken
wirft,VERB,VVFIN,werfen,werfen
schtöps,PROPN,NE,stoeps,schtöpse
nach,ADP,APPR,nach,nach
oben,ADV,ADV,oben,oben
_,UNK,--,--,_
_,UNK,--,--,_
Erdbeere$,PROPN,NE,Erdbeere$,Erdbeere$
ist,AUX,VAFIN,sein,sein
ein,DET,ART,ein,ein
Stern,NOUN,NN,Stern,Stern
im,ADP,APPRART,im,im
Erdbeerkosmos,PROPN,NE,Erdbeerkosmos,Erdbeerkosmos
_,UNK,--,--,_
_,UNK,--,--,_
haaly,INTJ,ITJ,hallo,haaly
happo,PROPN,NE,Happy,happo
_,UNK,--,--,_
_,UNK,--,--,_
*g+,X,XY,*g+,*g+
_,UNK,--,--,_
tschööö,INTJ,ITJ,tschüss,tschööö
_,UNK,--,--,_
dollar-erdbeere,PROPN,NE,Erdbeere$,Dollar-Erdbeere
und,CONJ,KON,und,und
andere,PRON,PIS,ander,andere
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
*,PUNCT,$(,*,*
ast,NOUN,NN,Ast,Ast
mit,ADP,APPR,mit,mit
stoeps,PROPN,NE,stoeps,stöpse
dran,ADV,PAV,dran,dran
brechen,VERB,VVINF,brechen,brechen
seh,VERB,VVINF,sehen,sehen
*,PUNCT,$(,*,*
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
ich,PRON,PPER,ich,ich
sag,VERB,VVFIN,sagen,sagen
doch,ADV,ADV,doch,doch
_,UNK,--,--,_
_,UNK,--,--,_
So|,ADV,ADV,so,so
n,DET,ART,ein,n
baum,NOUN,NN,Baum,Baum
is,AUX,VAFIN,sein,sein
nix,PRON,PIS,nichts,nichts
für,ADP,APPR,für,für
stöpse,PROPN,NE,stoeps,Stöpse
....,PUNCT,$.,....,....
_,UNK,--,--,_
das,PRON,PDS,d,der
ist,AUX,VAFIN,sein,sein
hier,ADV,ADV,hier,hier
so,ADV,ADV,so,so
schnell,ADJ,ADJD,schnell,schnell
..,PUNCT,$.,..,..
_,UNK,--,--,_
anscha22,PROPN,NE,anscha22,apache
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,den
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Bochum,PROPN,NE,Bochum,Bochum
is,AUX,VAFIN,sein,sein
dunkelgrün,ADJ,ADJD,dunkelgrün,dunkelgrün
?,PUNCT,$.,?,?
_,UNK,--,--,_
Happy,PROPN,NE,Happy,Happen
macht,VERB,VVFIN,machen,machen
sich,PRON,PRF,sich,sich
jetzt,ADV,ADV,jetzt,jetzt
auch,ADV,ADV,auch,auch
weg,PART,PTKVZ,weg,weg
...,PUNCT,$.,...,...
_,UNK,--,--,_
bochum,PROPN,NE,Bochum,bochum
:,PUNCT,$.,:,:
_,UNK,--,--,_
jojo,PART,PTKANT,ja,ja
...,PUNCT,$.,...,....
_,UNK,--,--,_
dieses,DET,PDAT,dies,dies
grün,NOUN,NN,Grün,grün
_,UNK,--,--,_
...,PUNCT,$.,...,...
M4A1,PROPN,NE,M4A1,M4A1
_,UNK,--,--,_
_,UNK,--,--,_
Emon,PROPN,NE,Emon,Emon
zerrt,VERB,VVFIN,zerren,ziehen
an,ADP,APPR,an,an
stöps,PROPN,NE,stoeps,Stuhl
",",PUNCT,"$,",",",","
bis,SCONJ,KOUS,bis,bis
sie,PRON,PPER,sie,sie
plitterfasernackt,ADJ,ADJD,plitterfasernackt,plitterfasernackt
da,ADV,ADV,da,da
steht,VERB,VVFIN,stehen,stehen
...,PUNCT,$.,...,...
_,UNK,--,--,_
ha,INTJ,ITJ,ha,ha
ha,INTJ,ITJ,ha,have
!,PUNCT,$.,!,!
_,UNK,--,--,_
