token,tag,tag_STTS,lemma_gold,lemma_pred
Du,_,PPER,du,Du
willst,_,VMFIN,wollen,willst
alles,_,PIS,alle,alles
wissen,_,VVINF,wissen,wissen
.,_,$.,.,.
Es,_,PPER,es,Es
ist,_,VAFIN,sein,ist
mein,_,PPOSAT,mein,mein
Töff,_,NN,Töff,Töff
",",_,"$,",",",","
oder,_,KON,oder,oder
!,_,$.,!,!
Gut,_,ADJD,gut,Gut
",",_,"$,",",",","
also,_,ADV,also,also
das,_,ART,der,das
Benzin,_,NN,Benzin,Benzin
geht,_,VVFIN,gehen,geht
hier,_,ADV,hier,hier
durch,_,PTKVZ,durch,durch
",",_,"$,",",",","
da,_,ADV,da,da
hinein,_,PTKVZ,hinein,hinein
.,_,$.,.,.
Da,_,ADV,da,Da
drin,_,PAV,drin,drin
ist,_,VAFIN,sein,ist
es,_,PPER,es,es
sehr,_,ADV,sehr,sehr
heiss,_,ADJD,heiß,heiss
.,_,$.,.,.
Dann,_,ADV,dann,Dann
die,_,ART,der,die
Kerze,_,NN,Kerze,Kerze
maken,_,VVFIN,machen,maken
ein,_,ART,ein,ein
...,_,$.,...,...
Ja,_,PTKANT,ja,Ja
",",_,"$,",",",","
wie,_,KOKOM,wie,wie
ein,_,ART,ein,ein
Messer,_,NN,Messer,Messer
auf,_,APPR,auf,auf
dem,_,ART,der,dem
Schleifstein,_,NN,Schleifstein,Schleifstein
.,_,$.,.,.
Wie,_,KOKOM,wie,Wie
ein,_,ART,ein,ein
Feuerzeug,_,NN,Feuerzeug,Feuerzeug
.,_,$.,.,.
Ein,_,ART,ein,Ein
Funke,_,NN,Funke,Funke
.,_,$.,.,.
Funke,_,NN,Funke,Funke
...,_,$(,...,...
gut,_,ADJD,gut,gut
.,_,$.,.,.
Anateo,_,NE,Anateo,Anateo
hat,_,VAFIN,haben,hat
uns,_,PPER,wir,uns
alle,_,PIS,alle,alle
verraten,_,VVPP,verraten,verraten
und,_,KON,und,und
er,_,PPER,er,er
wird,_,VAFIN,werden,wird
dafür,_,PAV,dafür,dafür
bezahlen,_,VVINF,bezahlen,bezahlen
.,_,$.,.,.
Und,_,KON,und,Und
wegen,_,APPR,wegen,wegen
der,_,ART,der,der
Tau'ri,_,NE,Tau'ri,Tau'ri
...,_,$(,...,...
sie,_,PPER,sie,sie
befanden,_,VVFIN,befinden,befanden
sich,_,PRF,sich,sich
schon,_,ADV,schon,schon
im,_,APPRART,in,im
Krieg,_,NN,Krieg,Krieg
gegen,_,APPR,gegen,gegen
uns,_,PPER,wir,uns
und,_,KON,und,und
wir,_,PPER,wir,wir
gegen,_,APPR,gegen,gegen
sie,_,PPER,sie,sie
...,_,$.,...,...
und,_,KON,und,und
ich,_,PPER,ich,ich
werde,_,VAFIN,werden,werde
mich,_,PRF,ich,mich
nicht,_,PTKNEG,nicht,nicht
ängstlich,_,ADJD,ängstlich,ängstlich
verkriechen,_,VVINF,verkriechen,verkriechen
.,_,$.,.,.
Sagt,_,VVIMP,sagen,Sagt
das,_,PDS,der,das
weiter,_,PTKVZ,weiter,weiter
.,_,$.,.,.
Schickt,_,VVIMP,schicken,Schickt
alle,_,PIAT,aller,alle
verfügbaren,_,ADJA,verfügbar,verfügbaren
Schiffe,_,NN,Schiff,Schiffe
.,_,$.,.,.
Ich,_,PPER,ich,Ich
will,_,VMFIN,wollen,will
",",_,"$,",",",","
dass,_,KOUS,dass,dass
die,_,ART,der,die
0dyssey,_,NE,Odyssey,0dyssey
gefunden,_,VVPP,finden,gefunden
wird,_,VAFIN,werden,wird
.,_,$.,.,.
Sofort,_,ADV,sofort,Sofort
!,_,$.,!,!
Kefflin,_,NE,Kefflin,Kefflin
.,_,$.,.,.
War,_,VAFIN,sein,War
es,_,PPER,es,es
wirklich,_,ADV,wirklich,wirklich
nötig,_,ADJD,nötig,nötig
",",_,"$,",",",","
mich,_,PPER,ich,mich
so,_,ADV,so,so
zu,_,PTKZU,zu,zu
blamieren,_,VVINF,blamieren,blamieren
?,_,$.,?,?
Es,_,PPER,es,Es
gab,_,VVFIN,geben,gab
Gerüchte,_,NN,Gerücht,Gerüchte
wegen,_,APPR,wegen,wegen
der,_,ART,der,der
Stärke,_,NN,Stärke,Stärke
deiner,_,PPOSAT,dein,deiner
Führung,_,NN,Führung,Führung
.,_,$.,.,.
Jetzt,_,ADV,jetzt,Jetzt
werden,_,VAFIN,werden,werden
diese,_,PDAT,dieser,diese
Gerüchte,_,NN,Gerücht,Gerüchte
aufhören,_,VVINF,aufhören,aufhören
.,_,$.,.,.
Und,_,KON,und,Und
?,_,$.,?,?
Wirst,_,VAFIN,werden,Wirst
du,_,PPER,du,du
es,_,PPER,es,es
so,_,ADV,so,so
lassen,_,VVINF,lassen,lassen
oder,_,KON,oder,oder
wirst,_,VAFIN,werden,wirst
du,_,PPER,du,du
das,_,PDS,der,das
in,_,APPR,in,in
Ordnung,_,NN,Ordnung,Ordnung
bringen,_,VVINF,bringen,bringen
?,_,$.,?,?
Bist,_,VAFIN,sein,Bist
du,_,PPER,du,du
glücklich,_,ADJD,glücklich,glücklich
?,_,$.,?,?
Ja,_,PTKANT,ja,Ja
.,_,$.,.,.
-,_,$(,-,-
Es,_,PPER,es,Es
ist,_,VAFIN,sein,ist
nett,_,ADJD,nett,nett
von,_,APPR,von,von
dir,_,PPER,du,dir
",",_,"$,",",",","
dass,_,KOUS,dass,dass
du,_,PPER,du,du
hilfst,_,VVFIN,helfen,hilfst
.,_,$.,.,.
-,_,$(,-,-
Einmal,_,ADV,einmal,Einmal
ein,_,ART,ein,ein
Pfadfinder,_,NN,Pfadfinder,Pfadfinder
",",_,"$,",",",","
immer,_,ADV,immer,immer
ein,_,ART,ein,ein
Pfadfinder,_,NN,Pfadfinder,Pfadfinder
.,_,$.,.,.
-,_,$(,-,-
Du,_,PPER,du,Du
warst,_,VAFIN,sein,warst
nie,_,ADV,nie,nie
ein,_,ART,ein,ein
Pfandfinder,_,NN,Pfadfinder,Pfandfinder
.,_,$.,.,.
-,_,$(,-,-
Offensichtlich,_,ADV,offensichtlich,Offensichtlich
habe,_,VAFIN,haben,habe
ich,_,PPER,ich,ich
mein,_,PPOSAT,mein,mein
...,_,$.,...,...
Verdienstabzeichen,_,NN,Verdienstabzeichen,Verdienstabzeichen
für,_,APPR,für,für
Biberfallen,_,NN,Biberfalle,Biberfallen
bekommen,_,VVPP,bekommen,bekommen
.,_,$.,.,.
-,_,$(,-,-
Konzentriere,_,VVIMP,konzentrieren,Konzentriere
dich,_,PRF,du,dich
lieber,_,ADV,lieber,lieber
da,_,ADV,da,da
drauf,_,PAV,drauf,drauf
.,_,$.,.,.
Kommt,_,VVIMP,kommen,Kommt
mit,_,APPR,mit,mit
mir,_,PPER,ich,mir
.,_,$.,.,.
Wisst,_,VVFIN,wissen,Wisst
ihr,_,PPER,ihr,ihr
",",_,"$,",",",","
wie,_,PWAV,wie,wie
wertvoll,_,ADJD,wertvoll,wertvoll
diese,_,PDAT,dieser,diese
Mohnblumen,_,NN,Mohnblume,Mohnblumen
waren,_,VAFIN,sein,waren
?,_,$.,?,?
In,_,APPR,in,In
Rauch,_,NN,Rauch,Rauch
aufgegangen,_,VVPP,aufgehen,aufgegangen
.,_,$.,.,.
-,_,$(,-,-
Was,_,PWS,was,Was
?,_,$.,?,?
Hat,_,VAFIN,haben,Hat
sie,_,PPER,sie,sie
jemand,_,PIS,jemand,jemand
angezündet,_,VVPP,anzünden,angezündet
?,_,$.,?,?
-,_,$(,-,-
Ja,_,PTKANT,ja,Ja
.,_,$.,.,.
Betrunkene,_,ADJA,betrunken,Betrunkene
irische,_,ADJA,irisch,irische
Familie,_,NN,Familie,Familie
",",_,"$,",",",","
die,_,ART,der,die
Straße,_,NN,Straße,Straße
hoch,_,ADV,hoch,hoch
.,_,$.,.,.
Die,_,ART,der,Die
