token,tag,tag_STTS,lemma_gold,lemma_pred
Mein,DET,PPOSAT,mein,mein
Papa,NOUN,NN,Papa,Papa
hat,AUX,VAFIN,haben,haben
zwei,NUM,CARD,zwei,zwei
große,ADJ,ADJA,groß,groß
Blöcke,NOUN,NN,Block,Block
super,UNK,PTKIFG,super,super
hartes,ADJ,ADJA,hart,hart
Styropor,NOUN,NN,Styropor,Styropor
und,CONJ,KON,und,und
wir,PRON,PPER,wir,wir
haben,AUX,VAFIN,haben,machen
mal,UNK,PTKMA,mal,mal
das,DET,ART,der,das
teil,NOUN,NN,Teil,Teil
daraus,ADV,PAV,daraus,daraus
geschnitzt,VERB,VVPP,schnitzen,schnitzen
",",PUNCT,"$,",",",","
wo,SCONJ,KOUS,wo,wo
die,DET,ART,der,die
haken,NOUN,NN,Haken,Haken
rauskommen,VERB,VVFIN,rauskommen,rauskommen
.,PUNCT,$.,.,.
emojiQsmilingFaceWithOpenMouthAndSmilingEyes,UNK,EMOIMG,emojiQsmilingFaceWithOpenMouthAndSmilingEyes,emojiQsmilingFaceWithOpenMouthAndSmilingEyes
Uuuh,INTJ,ITJ,uh,Uuuh
das,PRON,PDS,der,das
sieht,VERB,VVFIN,sehen,sehen
voll,UNK,PTKIFG,voll,voll
gut,ADJ,ADJD,gut,gut
aus,PART,PTKVZ,aus,aus
*_*,UNK,EMOASC,*_*,*_*
Und,CONJ,KON,und,Und
der,DET,ART,der,der
pilzkopferwin,PROPN,NE,Pilzkopferwin,pilzkopferwin
auch,ADV,ADV,auch,auch
xD,UNK,EMOASC,xD,xD
Nadine,PROPN,NE,Nadine,Nadine
bestellt,VERB,VVFIN,bestellen,bestellen
sich,PRON,PRF,sich,sich
jetzt,ADV,ADV,jetzt,jetzt
nen,DET,ART,ein,neu
Styroporschneider,NOUN,NN,Styroporschneider,Styroporschneider
für,ADP,APPR,für,für
die,DET,ART,der,die
Grigfe,NOUN,NN,Griff,Grigfe
und,CONJ,KON,und,und
macht,VERB,VVFIN,machen,machen
nen,DET,ART,ein,neu
Prototyp,NOUN,NN,Prototyp,Prototyp
.,PUNCT,$.,.,.
emojiQsmilingFaceWithSmilingEyes,UNK,EMOIMG,emojiQsmilingFaceWithSmilingEyes,emojiQsmilingFaceWithSmilingEyes
und,CONJ,KON,und,und
den,DET,ART,der,den
perfekten,ADJ,ADJA,perfekt,perfekt
Lack,NOUN,NN,Lack,Lack
für,ADP,APPR,für,für
die,DET,ART,der,die
Klingen,NOUN,NN,Klinge,Klinge
hab,AUX,VAFIN,haben,haben
ich,PRON,PPER,ich,ich
auch,ADV,ADV,auch,auch
schon,ADV,ADV,schon,schon
gefunden,VERB,VVPP,finden,finden
.,PUNCT,$.,.,.
Müssen,VERB,VMFIN,müssen,Müssen
uns,PRON,PRF,sich,uns
bald,ADV,ADV,bald,bald
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
treffen,VERB,VVINF,treffen,treffen
.,PUNCT,$.,.,.
emojiQkissingCatFaceWithClosedEyes,UNK,EMOIMG,emojiQkissingCatFaceWithClosedEyes,emojiQkissingCatFaceWithClosedEyes
Au,INTJ,ITJ,au,Au
ja,PART,PTKANT,ja,ja
!,PUNCT,$.,!,!
:),UNK,EMOASC,:),:)
unbedingt,ADJ,ADJD,unbedingt,unbedingt
!,PUNCT,$.,!,!
*_*,UNK,EMOASC,*_*,*_*
Dann,ADV,ADV,dann,Dann
kann,VERB,VMFIN,können,können
ich,PRON,PPER,ich,ich
dir,PRON,PPER,dir,dir
alles,PRON,PIS,alle,alles
zeigen,VERB,VVINF,zeigen,zeigen
.,PUNCT,$.,.,.
Man,INTJ,ITJ,Mann,Mann
ich,PRON,PPER,ich,ich
bin,AUX,VAFIN,sein,sein
schon,ADV,ADV,schon,schon
so,UNK,PTKIFG,so,so
aufgeregt,ADJ,ADJD,aufgeregt,aufregen
.,PUNCT,$.,.,.
emojiQflushedFace,UNK,EMOIMG,emojiQflushedFace,emojiQflushedFace
Jaaaa,PART,PTKANT,ja,Ja
!,PUNCT,$.,!,!
Hehe,INTJ,ITJ,hehe,Hehe
ich,PRON,PPER,ich,ich
auch,ADV,ADV,auch,auch
xD,UNK,EMOASC,xD,xD
Das,PRON,PDS,der,Das
wird,AUX,VAFIN,werden,werden
so,UNK,PTKIFG,so,so
gut,ADJ,ADJD,gut,gut
.,PUNCT,$.,.,.
emojiQsmilingCatFaceWithHeartShapedEyes,UNK,EMOIMG,emojiQsmilingCatFaceWithHeartShapedEyes,emojiQsmilingCatFaceWithHeartShapedEyes
Jaa,PART,PTKANT,ja,Ja
auf,ADP,APPR,auf,auf
jedenfall,NOUN,NN,Jedenfall,jedenfall
!,PUNCT,$.,!,!
:),UNK,EMOASC,:),:)
Und,CONJ,KON,und,Und
Sushi,NOUN,NN,Sushi,Sushi
müssen,VERB,VMFIN,müssen,müssen
wir,PRON,PPER,wir,wir
auch,ADV,ADV,auch,auch
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
essen,VERB,VVINF,essen,essen
gehen,VERB,VVINF,gehen,gehen
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,Ich
doch,UNK,PTKMA,doch,doch
auch,ADV,ADV,auch,auch
.,PUNCT,$.,.,.
XD,UNK,EMOASC,XD,XD
XD,UNK,EMOASC,XD,XD
Ahahahaha,INTJ,ITJ,ahahahaha,Ahahahaha
!,PUNCT,$.,!,!
Wie,UNK,PTKIFG,wie,Wie
herrlich,ADJ,ADJD,herrlich,herrlich
!,PUNCT,$.,!,!
XD,UNK,EMOASC,XD,XD
Der,PRON,PDS,der,Der
hat,AUX,VAFIN,haben,haben
soviel,DET,PIAT,sovieler,soviel
Potenzial,NOUN,NN,Potenzial,Potenzial
.,PUNCT,$.,.,.
Ooh,INTJ,ITJ,oh,ooh
mann,NOUN,NN,Mann,mann
",",PUNCT,"$,",",",","
wie,UNK,PTKIFG,wie,wie
herrlich,ADJ,ADJD,herrlich,herrlich
!,PUNCT,$.,!,!
Ich,PRON,PPER,ich,ich
liebe,VERB,VVFIN,lieben,lieben
dich,PRON,PPER,dich,du
dafür,ADV,PAV,dafür,dafür
!,PUNCT,$.,!,!
XD,UNK,EMOASC,XD,XD
Oha,INTJ,ITJ,oha,Oh
",",PUNCT,"$,",",",","
gryffindor,PROPN,NE,Gryffindor,Gryffindor
?,PUNCT,$.,?,?
XD,UNK,EMOASC,XD,XD
XD,UNK,EMOASC,XD,XD
du,PRON,PPER,du,du
killst,VERB,VVFIN,killen,killen
mich,PRON,PPER,mich,ich
!,PUNCT,$.,!,!
Soooo,UNK,PTKIFG,so,Soooo
herrlich,ADJ,ADJD,herrlich,herrlich
xDD,UNK,EMOASC,xDD,xDD
Das,PRON,PDS,der,das
macht,VERB,VVFIN,machen,machen
so,ADV,ADV,so,so
Spaß,NOUN,NN,Spaß,Spaß
.,PUNCT,$.,.,.
emojiQcatFaceWithWrySmile,UNK,EMOIMG,emojiQcatFaceWithWrySmile,emojiQcatFaceWithWrySmile
Uuuuh,INTJ,ITJ,uh,Uuuh
xD,UNK,EMOASC,xD,XD
jaa,PART,PTKANT,ja,ja
!,PUNCT,$.,!,!
Ich,PRON,PPER,ich,Ich
denk,VERB,VVFIN,denken,denken
mir,PRON,PRF,sich,mich
heute,ADV,ADV,heute,heute
sicher,ADJ,ADJD,sicher,sicher
noch,UNK,PTKMA,noch,noch
mehr,PRON,PIS,mehr,mehr
machen,VERB,VVFIN,machen,machen
.,PUNCT,$.,.,.
emojiQkissingCatFaceWithClosedEyes,UNK,EMOIMG,emojiQkissingCatFaceWithClosedEyes,emojiQkissingCatGesichtMitClosedEyes
Ich,PRON,PPER,ich,Ich
glaube,VERB,VVFIN,glauben,glauben
",",PUNCT,"$,",",",","
ich,PRON,PPER,ich,Ich
bleibe,VERB,VVFIN,bleiben,bleiben
bei,ADP,APPR,bei,bei
Janosch,PROPN,NE,Janosch,Janosch
.,PUNCT,$.,.,.
emojiQpersonFrowning,UNK,EMOIMG,emojiQpersonFrowning,emojiQpersonFrowning
Ja,PART,PTKANT,ja,ja
...,PUNCT,$(,...,...
benedikt,PROPN,NE,Benedikt,Benedikt
sind,AUX,VAFIN,sein,sein
irgendwie,ADV,ADV,irgendwie,irgendwie
etwas,UNK,PTKIFG,etwas,etwas
seltsam,ADJ,ADJD,seltsam,seltsam
aus,PART,PTKVZ,aus,aus
xD,UNK,EMOASC,xD,xD
Ich,PRON,PPER,ich,Ich
weiß,VERB,VVFIN,wissen,wissen
...,PUNCT,$(,...,...
dabei,ADV,PAV,dabei,dabei
hab,AUX,VAFIN,haben,haben
ich,PRON,PPER,ich,ich
mit,PRON,PRF,sich,mit
voll,UNK,PTKIFG,voll,voll
Mühe,NOUN,NN,Mühe,Mühe
gegeben,VERB,VVPP,geben,geben
.,PUNCT,$.,.,.
emojiQpersonFrowning,UNK,EMOIMG,emojiQpersonFrowning,emojiQpersonFrowning
Hm,INTJ,ITJ,hm,hm
hm,INTJ,ITJ,hm,hm
:),UNK,EMOASC,:),:)
Speckige,ADJ,ADJA,speckig,Speckig
Fettfinger,NOUN,NN,Fettfinger,Fettfinger
machen,VERB,VVFIN,machen,machen
sich,PRON,PRF,sich,sich
schlecht,ADJ,ADJD,schlecht,schlecht
.,PUNCT,$.,.,.
emojiQcatFaceWithWrySmile,UNK,EMOIMG,emojiQcatFaceWithWrySmile,emojiQcatFaceWithWrySmile
XD,UNK,EMOASC,XD,XD
Hahaha,INTJ,ITJ,hahaha,Hahaha
es,PRON,PPER,es,sein
ist,AUX,VAFIN,sein,sein
sooo,UNK,PTKIFG,so,sooo
herrlich,ADJ,ADJD,herrlich,herrlich
!,PUNCT,$.,!,!
