,token,tag,tag_STTS,lemma_gold,baseline
0,Du,_,PPER,du,Du
1,willst,_,VMFIN,wollen,willst
2,alles,_,PIS,alle,alles
3,wissen,_,VVINF,wissen,wissen
4,.,_,$.,.,.
5,Es,_,PPER,es,Es
6,ist,_,VAFIN,sein,ist
7,mein,_,PPOSAT,mein,mein
8,Töff,_,NN,Töff,Töff
9,",",_,"$,",",",","
10,oder,_,KON,oder,oder
11,!,_,$.,!,!
12,Gut,_,ADJD,gut,Gut
13,",",_,"$,",",",","
14,also,_,ADV,also,also
15,das,_,ART,der,das
16,Benzin,_,NN,Benzin,Benzin
17,geht,_,VVFIN,gehen,geht
18,hier,_,ADV,hier,hier
19,durch,_,PTKVZ,durch,durch
20,",",_,"$,",",",","
21,da,_,ADV,da,da
22,hinein,_,PTKVZ,hinein,hinein
23,.,_,$.,.,.
24,Da,_,ADV,da,Da
25,drin,_,PAV,drin,drin
26,ist,_,VAFIN,sein,ist
27,es,_,PPER,es,es
28,sehr,_,ADV,sehr,sehr
29,heiss,_,ADJD,heiß,heiss
30,.,_,$.,.,.
31,Dann,_,ADV,dann,Dann
32,die,_,ART,der,die
33,Kerze,_,NN,Kerze,Kerze
34,maken,_,VVFIN,machen,maken
35,ein,_,ART,ein,ein
36,...,_,$.,...,...
37,Ja,_,PTKANT,ja,Ja
38,",",_,"$,",",",","
39,wie,_,KOKOM,wie,wie
40,ein,_,ART,ein,ein
41,Messer,_,NN,Messer,Messer
42,auf,_,APPR,auf,auf
43,dem,_,ART,der,dem
44,Schleifstein,_,NN,Schleifstein,Schleifstein
45,.,_,$.,.,.
46,Wie,_,KOKOM,wie,Wie
47,ein,_,ART,ein,ein
48,Feuerzeug,_,NN,Feuerzeug,Feuerzeug
49,.,_,$.,.,.
50,Ein,_,ART,ein,Ein
51,Funke,_,NN,Funke,Funke
52,.,_,$.,.,.
53,Funke,_,NN,Funke,Funke
54,...,_,$(,...,...
55,gut,_,ADJD,gut,gut
56,.,_,$.,.,.
57,Anateo,_,NE,Anateo,Anateo
58,hat,_,VAFIN,haben,hat
59,uns,_,PPER,wir,uns
60,alle,_,PIS,alle,alle
61,verraten,_,VVPP,verraten,verraten
62,und,_,KON,und,und
63,er,_,PPER,er,er
64,wird,_,VAFIN,werden,wird
65,dafür,_,PAV,dafür,dafür
66,bezahlen,_,VVINF,bezahlen,bezahlen
67,.,_,$.,.,.
68,Und,_,KON,und,Und
69,wegen,_,APPR,wegen,wegen
70,der,_,ART,der,der
71,Tau'ri,_,NE,Tau'ri,Tau'ri
72,...,_,$(,...,...
73,sie,_,PPER,sie,sie
74,befanden,_,VVFIN,befinden,befanden
75,sich,_,PRF,sich,sich
76,schon,_,ADV,schon,schon
77,im,_,APPRART,in,im
78,Krieg,_,NN,Krieg,Krieg
79,gegen,_,APPR,gegen,gegen
80,uns,_,PPER,wir,uns
81,und,_,KON,und,und
82,wir,_,PPER,wir,wir
83,gegen,_,APPR,gegen,gegen
84,sie,_,PPER,sie,sie
85,...,_,$.,...,...
86,und,_,KON,und,und
87,ich,_,PPER,ich,ich
88,werde,_,VAFIN,werden,werde
89,mich,_,PRF,ich,mich
90,nicht,_,PTKNEG,nicht,nicht
91,ängstlich,_,ADJD,ängstlich,ängstlich
92,verkriechen,_,VVINF,verkriechen,verkriechen
93,.,_,$.,.,.
94,Sagt,_,VVIMP,sagen,Sagt
95,das,_,PDS,der,das
96,weiter,_,PTKVZ,weiter,weiter
97,.,_,$.,.,.
98,Schickt,_,VVIMP,schicken,Schickt
99,alle,_,PIAT,aller,alle
