token,tag,tag_STTS,lemma_gold,lemma_pred
Als,CONJ,KOKOM,als,Als
nächstes,ADJ,ADJD,nächster,nächstes
also,ADV,ADV,also,also
",",PUNCT,"$,",",",","
die,DET,ART,der,die
wissenschaftliche,ADJ,ADJA,wissenschaftlich,wissenschaftliche
Methodik,NOUN,NN,Methodik,Methodik
ein,DET,ART,ein,ein
Grundsatz,NOUN,NN,Grundsatz,Grundsatz
der,DET,ART,der,der
Physik,NOUN,NN,Physik,Physik
",",PUNCT,"$,",",",","
aller,DET,PIAT,aller,aller
Wissenschaften,NOUN,NN,Wissenschaft,Wissenschaften
—,PUNCT,$(,-,—
sagt,VERB,VVFIN,sagen,sagt
",",PUNCT,"$,",",",","
daß,SCONJ,KOUS,dass,daß
man,PRON,PIS,man,man
eine,DET,ART,ein,eine
Hypothese,NOUN,NN,Hypothese,Hypothese
nicht,PART,PTKNEG,nicht,nicht
durch,ADP,APPR,durch,durch
Beobachtung,NOUN,NN,Beobachtung,Beobachtung
beweisen,VERB,VVINF,beweisen,beweisen
kann,VERB,VMFIN,können,kann
.,PUNCT,$.,.,.
Man,PRON,PIS,man,Man
kann,VERB,VMFIN,können,kann
sie,PRON,PPER,sie,sie
nur,ADV,ADV,nur,nur
widerlegen,VERB,VVINF,widerlegen,widerlegen
.,PUNCT,$.,.,.
Das,PRON,PDS,der,Das
heißt,VERB,VVFIN,heißen,heißt
",",PUNCT,"$,",",",","
daß,SCONJ,KOUS,dass,daß
man,PRON,PIS,man,man
mehr,ADV,ADV,mehr,mehr
und,CONJ,KON,und,und
mehr,ADV,ADV,mehr,mehr
Information,NOUN,NN,Information,Information
um,ADP,APPR,um,um
eine,DET,ART,ein,eine
Hypothese,NOUN,NN,Hypothese,Hypothese
oder,CONJ,KON,oder,oder
einen,DET,ART,ein,einen
Standpunkt,NOUN,NN,Standpunkt,Standpunkt
sammeln,VERB,VVINF,sammeln,sammeln
kann,VERB,VMFIN,können,kann
die,PRON,PRELS,der,die
sie,PRON,PPER,sie,sie
bestärkt,VERB,VVFIN,bestärken,bestärkt
",",PUNCT,"$,",",",","
aber,CONJ,KON,aber,aber
nicht,PART,PTKNEG,nicht,nicht
endgültig,ADJ,ADJD,endgültig,endgültig
beweist,VERB,VVFIN,beweisen,beweist
.,PUNCT,$.,.,.
Und,CONJ,KON,und,Und
nur,ADV,ADV,nur,nur
eine,DET,ART,ein,eine
einzige,ADJ,ADJA,einziger,einzige
gegenteilige,ADJ,ADJA,gegenteilig,gegenteilige
Information,NOUN,NN,Information,Information
kann,VERB,VMFIN,können,kann
die,DET,ART,der,die
ganze,ADJ,ADJA,ganz,ganze
Theorie,NOUN,NN,Theorie,Theorie
kippen,VERB,VVINF,kippen,kippen
.,PUNCT,$.,.,.
Das,PRON,PDS,der,Das
klingt,VERB,VVFIN,klingen,klingt
vielleicht,ADV,ADV,vielleicht,vielleicht
zu,PART,PTKA,zu,zu
simpel,ADJ,ADJD,simpel,simpel
",",PUNCT,"$,",",",","
um,SCONJ,KOUI,um,um
Verhalten,NOUN,NN,Verhalten,Verhalten
zu,PART,PTKZU,zu,zu
beeinflussen,VERB,VVINF,beeinflussen,beeinflussen
",",PUNCT,"$,",",",","
aber,CONJ,KON,aber,aber
in,ADP,APPR,in,in
einer,DET,ART,ein,einer
Studie,NOUN,NN,Studie,Studie
fanden,VERB,VVFIN,finden,fanden
wir,PRON,PPER,wir,wir
heraus,PART,PTKVZ,heraus,heraus
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
Achtsamkeitstraining,NOUN,NN,Achtsamkeitstraining,Achtsamkeitstraining
Menschen,NOUN,NN,Mensch,Menschen
