,token,tag,tag_STTS,lemma_gold,baseline
0,_,UNK,--,--,_
1,Na,INTJ,ITJ,na,Na
2,.,PUNCT,$.,.,.
3,_,UNK,--,--,_
4,Ist,AUX,VAFIN,sein,Ist
5,doch,ADV,ADV,doch,doch
6,voll,ADV,ADV,voll,voll
7,egal,ADJ,ADJD,egal,egal
8,.,PUNCT,$.,.,.
9,_,UNK,--,--,_
10,Darauf,ADV,PAV,darauf,Darauf
11,kommt,VERB,VVFIN,kommen,kommt
12,es,PRON,PPER,es,es
13,doch,ADV,ADV,doch,doch
14,gar,ADV,ADV,gar,gar
15,nicht,PART,PTKNEG,nicht,nicht
16,an,PART,PTKVZ,an,an
17,.,PUNCT,$.,.,.
18,_,UNK,--,--,_
19,Nein,PART,PTKANT,nein,Nein
20,.,PUNCT,$.,.,.
21,_,UNK,--,--,_
22,Er,PRON,PPER,er,Er
23,hat,AUX,VAFIN,haben,hat
24,es,PRON,PPER,es,es
25,halt,ADV,ADV,halt,halt
26,falsch,ADJ,ADJD,falsch,falsch
27,beschrieben,VERB,VVPP,beschreiben,beschrieben
28,.,PUNCT,$.,.,.
29,_,UNK,--,--,_
30,Er,PRON,PPER,er,Er
31,hat,AUX,VAFIN,haben,hat
32,das,PRON,PDS,d,das
33,mit,ADP,APPR,mit,mit
34,Handbreiten,NOUN,NN,Handbreite,Handbreiten
35,und,CONJ,KON,und,und
36,Zentimetern,NOUN,NN,Zentimeter,Zentimetern
37,gemacht,VERB,VVPP,machen,gemacht
38,.,PUNCT,$.,.,.
39,_,UNK,--,--,_
40,Hallo,INTJ,ITJ,hallo,Hallo
41,.,PUNCT,$.,.,.
42,_,UNK,--,--,_
43,Ich,PRON,PPER,ich,Ich
44,bin,AUX,VAFIN,sein,bin
45,anwesend,ADJ,ADJD,anwesend,anwesend
46,.,PUNCT,$.,.,.
47,_,UNK,--,--,_
48,Man,PRON,PIS,man,Man
49,redet,VERB,VVFIN,reden,redet
50,nicht,PART,PTKNEG,nicht,nicht
51,von,ADP,APPR,von,von
52,anwesenden,ADJ,ADJA,anwesend,anwesenden
53,Personen,NOUN,NN,Person,Personen
54,.,PUNCT,$.,.,.
55,_,UNK,--,--,_
56,Wir,PRON,PPER,wir,Wir
57,haben,AUX,VAFIN,haben,haben
58,alles,PRON,PIS,alles,alles
59,total,ADJ,ADJD,total,total
60,.,PUNCT,$.,.,.
61,_,UNK,--,--,_
62,Okay,ADV,ADV,okay,Okay
63,.,PUNCT,$.,.,.
64,_,UNK,--,--,_
65,Danke,PART,PTKANT,danke,Danke
66,.,PUNCT,$.,.,.
67,_,UNK,--,--,_
68,Hallo,INTJ,ITJ,hallo,Hallo
69,",",PUNCT,"$,",",",","
70,Therese,PROPN,NE,Therese,Therese
